Historical Prices - NOVOLOG - 01140151
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,174.9000,174.9000,-2.13,178.7000,178.7000,180.1000,174.0000,350000000,612150,456577,257438,86,,,350000000.00,
28/05/2017,178.7000,178.7000,-1.49,182.0000,181.4000,182.0000,178.7000,350000000,625450,648173,361362,78,,,350000000.00,
25/05/2017,181.4000,181.4000,2.66,176.0000,176.7000,182.8000,176.0000,350000000,634900,740675,413319,94,,,350000000.00,
24/05/2017,176.7000,176.7000,0.74,175.4000,175.4000,178.8000,175.2000,350000000,618450,797263,452919,94,,,350000000.00,
23/05/2017,175.4000,175.4000,-0.40,176.1000,176.1000,179.8000,175.0000,350000000,613900,993830,564210,109,,,350000000.00,
22/05/2017,176.1000,176.1000,-1.18,178.2000,178.2000,178.7000,173.7000,350000000,616350,986803,559152,111,,,350000000.00,
21/05/2017,178.2000,178.2000,0.79,176.8000,176.8000,178.6000,176.7000,350000000,623700,501532,282071,50,,,350000000.00,
18/05/2017,176.8000,176.8000,-1.72,179.9000,179.9000,179.9000,174.0000,350000000,618800,1442211,818400,150,,,350000000.00,
17/05/2017,179.9000,179.9000,-1.85,183.3000,183.3000,183.4000,179.0000,350000000,629650,640483,354743,95,,,350000000.00,
16/05/2017,183.3000,183.3000,0.00,183.3000,183.3000,184.9000,180.0000,350000000,641550,537076,295289,82,,,350000000.00,
15/05/2017,183.3000,183.3000,2.52,178.8000,178.8000,183.9000,178.9000,350000000,641550,390033,214236,57,,,350000000.00,
14/05/2017,178.8000,178.8000,-3.14,184.6000,184.6000,185.0000,178.1000,350000000,625800,675467,371025,102,,,350000000.00,
11/05/2017,184.6000,184.6000,1.93,180.1000,181.1000,185.0000,180.1000,350000000,646100,857286,466284,144,,,350000000.00,
10/05/2017,181.1000,181.1000,-1.20,183.3000,183.3000,183.1000,178.5000,350000000,633850,610752,337823,95,,,350000000.00,
09/05/2017,183.3000,183.3000,0.38,182.6000,182.6000,185.8000,182.2000,350000000,641550,1885172,1025316,172,,,350000000.00,
08/05/2017,182.6000,182.6000,0.00,182.5000,182.6000,183.7000,180.3000,350000000,639100,1164701,638030,123,,,350000000.00,
07/05/2017,182.6000,182.6000,-1.88,186.1000,186.1000,186.4000,182.1000,350000000,639100,1096590,594964,102,,,350000000.00,
04/05/2017,186.1000,186.1000,1.03,185.0000,184.2000,187.9000,185.0000,350000000,651350,16890905,9071501,444,,,,
03/05/2017,184.2000,184.2000,1.15,184.0000,182.1000,184.9000,183.0000,350000000,644700,1702777,924655,126,,,,
30/04/2017,182.1000,182.1000,0.05,182.0000,182.0000,183.8000,181.2000,350000000,637350,800321,438623,81,,,,
27/04/2017,182.0000,182.0000,0.44,182.0000,181.2000,183.1000,181.0000,350000000,637000,1083529,595195,139,,,,
26/04/2017,181.2000,181.2000,2.14,177.4000,177.4000,181.9000,177.9000,350000000,634200,1355619,755112,129,,,,
25/04/2017,177.4000,177.4000,1.66,176.0000,174.5000,178.5000,176.0000,350000000,620900,966109,544104,91,,,,
24/04/2017,174.5000,174.5000,1.45,172.0000,172.0000,175.9000,172.8000,350000000,610750,742131,424560,82,,,,
23/04/2017,172.0000,172.0000,0.64,171.0000,170.9000,173.0000,170.5000,350000000,602000,531608,309670,53,,,,
20/04/2017,170.9000,170.9000,-1.67,172.0000,173.8000,172.1000,170.2000,350000000,598150,613604,357958,86,,,,
19/04/2017,173.8000,173.8000,-1.14,174.9000,175.8000,175.6000,173.0000,350000000,608300,1006115,577719,81,,,,
18/04/2017,175.8000,175.8000,-0.23,176.6000,176.2000,176.6000,175.0000,350000000,615300,598614,340802,57,,,,
13/04/2017,176.2000,176.2000,0.23,177.0000,175.8000,177.0000,175.3000,350000000,616700,410949,233101,38,,,,
12/04/2017,175.8000,175.8000,0.17,175.5000,175.5000,178.5000,175.1000,350000000,615300,418543,237680,48,,,,
09/04/2017,175.5000,175.5000,-0.28,176.0000,176.0000,177.0000,174.7000,350000000,614250,1040508,592777,78,,,,
06/04/2017,176.0000,176.0000,-0.40,177.0000,176.7000,178.0000,175.0000,350000000,616000,977726,554707,89,,,,
05/04/2017,176.7000,176.7000,1.03,174.9000,174.9000,177.0000,174.0000,350000000,618450,659407,375765,74,,,,
04/04/2017,174.9000,174.9000,0.06,174.8000,174.8000,175.8000,174.2000,350000000,612150,780085,445606,56,,,,
03/04/2017,174.8000,174.8000,0.40,174.9000,174.1000,176.6000,172.2000,350000000,611800,656195,375601,69,,,,
02/04/2017,174.1000,174.1000,0.64,173.0000,173.0000,174.7000,170.0000,350000000,609350,564790,327894,61,,,,
30/03/2017,173.0000,173.0000,-3.84,177.5000,179.9000,178.5000,167.2000,350000000,605500,4704051,2738399,341,,,,
29/03/2017,179.9000,179.9000,-0.22,180.3000,180.3000,182.1000,177.0000,350000000,629650,571774,318552,81,,,,
28/03/2017,180.3000,180.3000,0.67,183.0000,179.1000,183.0000,179.5000,350000000,631050,1316695,727587,106,,,,
27/03/2017,179.1000,179.1000,-1.92,181.0000,182.6000,181.4000,178.0000,350000000,626850,1561254,871798,103,,,,
26/03/2017,182.6000,182.6000,1.28,181.0000,180.3000,183.5000,179.3000,350000000,639100,1064154,583416,128,,,,
23/03/2017,180.3000,180.3000,2.21,179.5000,176.4000,181.5000,177.7000,350000000,631050,671731,372916,88,,,,
22/03/2017,176.4000,176.4000,-0.45,175.7000,177.2000,177.2000,174.0000,350000000,617400,2191986,1248723,142,,,,
21/03/2017,177.2000,177.2000,0.62,177.0000,176.1000,178.0000,176.1000,350000000,620200,965070,545517,92,,,,
20/03/2017,176.1000,176.1000,-0.17,177.8000,176.4000,177.8000,174.4000,350000000,616350,1592386,903608,149,,,,
19/03/2017,176.4000,176.4000,-1.67,179.4000,179.4000,180.0000,176.4000,350000000,617400,1495369,837865,110,,,,
16/03/2017,179.4000,179.4000,0.11,179.9000,179.2000,182.0000,178.9000,350000000,627900,2044173,1132175,180,,,,
15/03/2017,179.2000,179.2000,0.28,180.5000,178.7000,180.5000,179.0000,350000000,627200,1546402,860678,158,,,,
14/03/2017,178.7000,178.7000,0.34,179.6000,178.1000,181.5000,177.8000,350000000,625450,2114590,1174240,180,,,,
13/03/2017,178.1000,178.1000,-1.17,180.9000,180.2000,181.0000,178.0000,350000000,623350,2469028,1375622,218,,,,
09/03/2017,180.2000,180.2000,2.97,176.0000,175.0000,180.5000,176.0000,350000000,630700,3293972,1847948,299,,,,
08/03/2017,175.0000,175.0000,3.00,172.0000,169.9000,176.0000,171.8000,350000000,612500,4482024,2574944,385,,,,
07/03/2017,169.9000,169.9000,1.43,168.0000,167.5000,172.0000,167.0000,350000000,594650,4029679,2383114,258,,,,
06/03/2017,167.5000,167.5000,-1.18,169.0000,169.5000,171.7000,167.0000,350000000,586250,2262530,1344001,172,,,,
05/03/2017,169.5000,169.5000,0.95,168.0000,167.9000,172.0000,167.9000,350000000,593250,3661980,2152595,298,,,,
02/03/2017,167.9000,167.9000,0.36,168.0000,167.3000,169.0000,165.8000,350000000,587650,3406612,2031047,272,,,,
01/03/2017,167.3000,167.3000,2.64,164.4000,163.0000,172.6000,163.7000,350000000,585550,12595957,7484253,810,,,,
28/02/2017,163.0000,163.0000,0.00,161.0000,1.0000,164.8000,158.8000,350000000,570500,25704955,16024603,944,,,,
