Historical Prices - ONE TECHNOLOGI - 00161018
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,14360.0000,14360.0000,-0.83,14480.0000,14480.0000,14500.0000,14270.0000,6792316,975377,123109,857,40,,,6792316.00,
28/05/2017,14480.0000,14480.0000,-0.62,14600.0000,14570.0000,14600.0000,14400.0000,6792316,983527,506084,3488,56,,,6792316.00,
25/05/2017,14570.0000,14570.0000,0.14,14400.0000,14550.0000,14700.0000,14400.0000,6792316,989640,266986,1837,68,,,6792316.00,
24/05/2017,14550.0000,14550.0000,0.90,14420.0000,14420.0000,14610.0000,14440.0000,6792316,988282,157485,1084,43,,,6792316.00,
23/05/2017,14420.0000,14420.0000,1.19,14200.0000,14250.0000,14520.0000,14180.0000,6792316,979452,187767,1306,59,,,6792316.00,
22/05/2017,14250.0000,14250.0000,3.26,13900.0000,13800.0000,14370.0000,13900.0000,6792316,967905,145138,1019,35,,,6792316.00,
21/05/2017,13800.0000,13800.0000,0.58,13730.0000,13720.0000,13900.0000,13730.0000,6792316,937340,177319,1283,63,,,6792316.00,
18/05/2017,13720.0000,13720.0000,-1.15,13880.0000,13880.0000,13880.0000,13500.0000,6792316,931906,284478,2075,77,,,6792316.00,
17/05/2017,13880.0000,13880.0000,-1.28,14060.0000,14060.0000,14490.0000,13790.0000,6792316,942773,327334,2344,79,,,6792316.00,
16/05/2017,14060.0000,14060.0000,-0.14,14000.0000,14080.0000,14080.0000,13930.0000,6792316,955000,310675,2213,58,,,6792316.00,
15/05/2017,14080.0000,14080.0000,-1.40,14280.0000,14280.0000,14370.0000,14020.0000,6792316,956358,345628,2438,66,,,6792316.00,
14/05/2017,14280.0000,14280.0000,0.42,14220.0000,14220.0000,14450.0000,14240.0000,6792316,969943,106711,747,34,,,6792316.00,
11/05/2017,14220.0000,14220.0000,-0.07,14230.0000,14230.0000,14310.0000,14100.0000,6792316,965867,238691,1680,44,,,6792316.00,
10/05/2017,14230.0000,14230.0000,0.71,14130.0000,14130.0000,14240.0000,14120.0000,6792316,966547,150197,1056,43,,,6792316.00,
09/05/2017,14130.0000,14130.0000,0.50,14060.0000,14060.0000,14180.0000,13940.0000,6792316,959754,200376,1426,66,,,6792316.00,
08/05/2017,14060.0000,14060.0000,-2.23,14380.0000,14380.0000,14380.0000,13910.0000,6792316,955000,523277,3712,119,,,6792316.00,
07/05/2017,14380.0000,14380.0000,0.84,14260.0000,14260.0000,14450.0000,14240.0000,6792316,976735,170929,1196,46,,,6792316.00,
04/05/2017,14260.0000,14260.0000,-1.31,14450.0000,14450.0000,14450.0000,14220.0000,6792316,968584,471083,3291,97,,,6792316.00,
03/05/2017,14450.0000,14450.0000,0.14,14630.0000,14430.0000,14630.0000,14410.0000,6792316,981490,769749,5323,68,,,6792316.00,
30/04/2017,14430.0000,14430.0000,-0.48,14700.0000,14500.0000,14700.0000,14370.0000,6792316,980131,146341,1013,41,,,6792316.00,
27/04/2017,14500.0000,14500.0000,-0.14,14690.0000,14520.0000,14690.0000,14490.0000,6792316,984886,488675,3349,61,,,6792316.00,
26/04/2017,14520.0000,14520.0000,1.82,14260.0000,14260.0000,14620.0000,14250.0000,6792316,986244,457771,3174,76,,,6792316.00,
25/04/2017,14260.0000,14260.0000,1.86,14000.0000,14000.0000,14340.0000,13710.0000,6792316,968584,436448,3115,89,,,6792316.00,
24/04/2017,14000.0000,14000.0000,2.04,13720.0000,13720.0000,14210.0000,13710.0000,6792316,950924,214376,1533,61,,,6792316.00,
23/04/2017,13720.0000,13720.0000,0.51,13650.0000,13650.0000,13830.0000,13530.0000,6792316,931906,310182,2254,59,,,6792316.00,
20/04/2017,13650.0000,13650.0000,0.59,13670.0000,13570.0000,13690.0000,13360.0000,6792316,927151,348014,2569,63,,,6792316.00,
19/04/2017,13570.0000,13570.0000,0.44,13510.0000,13510.0000,13600.0000,13280.0000,6792316,921717,164666,1217,40,,,6792316.00,
18/04/2017,13510.0000,13510.0000,0.52,13440.0000,13440.0000,13600.0000,13280.0000,6792316,917642,248510,1856,58,,,6792316.00,
13/04/2017,13440.0000,13440.0000,-1.18,13600.0000,13600.0000,13670.0000,13410.0000,6792316,912887,128162,950,39,,,6792316.00,
12/04/2017,13600.0000,13600.0000,0.67,13510.0000,13510.0000,13690.0000,13500.0000,6792316,923755,62016,456,24,,,6792316.00,
09/04/2017,13510.0000,13510.0000,0.52,13440.0000,13440.0000,13690.0000,13370.0000,6792316,917642,198638,1475,35,,,6792316.00,
06/04/2017,13440.0000,13440.0000,2.36,13130.0000,13130.0000,13440.0000,13020.0000,6792316,912887,346718,2599,75,,,6792316.00,
05/04/2017,13130.0000,13130.0000,1.39,12950.0000,12950.0000,13210.0000,12800.0000,6792316,891831,372129,2863,68,,,6792316.00,
04/04/2017,12950.0000,12950.0000,0.23,12920.0000,12920.0000,12980.0000,12870.0000,6792316,879605,442008,3424,61,,,6792316.00,
