Historical Prices - OPKO HEALTH - 01129543
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2243.0000,2243.0000,0.13,2240.0000,2240.0000,2252.0000,2222.0000,557989291,12515700,2656625,118626,283,,,557466719.00,
28/05/2017,2240.0000,2240.0000,-3.03,2233.0000,2310.0000,2256.0000,2233.0000,557989291,12498960,2343214,104385,291,,,557466719.00,
25/05/2017,2310.0000,2310.0000,0.79,2320.0000,2292.0000,2331.0000,2286.0000,557989291,12889553,26286827,1134915,803,,,557466719.00,
24/05/2017,2292.0000,2292.0000,-2.47,2320.0000,2350.0000,2334.0000,2290.0000,557989291,12789115,6325300,273396,611,,,557466719.00,
23/05/2017,2350.0000,2350.0000,1.12,2324.0000,2324.0000,2382.0000,2323.0000,557989291,13112748,6317183,268725,581,,,557466719.00,
22/05/2017,2324.0000,2324.0000,-2.31,2377.0000,2379.0000,2377.0000,2320.0000,557989291,12967671,6897176,294296,626,,,557466719.00,
21/05/2017,2379.0000,2379.0000,-0.96,2375.0000,2402.0000,2395.0000,2357.0000,557989291,13274565,4902356,206626,455,,,557466719.00,
18/05/2017,2402.0000,2402.0000,0.04,2442.0000,2401.0000,2442.0000,2397.0000,557989291,13402903,16617031,684969,1101,,,557466719.00,
17/05/2017,2401.0000,2401.0000,-1.72,2362.0000,2443.0000,2411.0000,2339.0000,557989291,13397323,10312009,436655,925,,,557466719.00,
16/05/2017,2443.0000,2443.0000,-3.36,2482.0000,2528.0000,2482.0000,2430.0000,557989291,13631678,9459197,385844,914,,,557466719.00,
15/05/2017,2528.0000,2528.0000,-1.83,2575.0000,2575.0000,2603.0000,2528.0000,557989291,14105969,6980790,271838,641,,,557466719.00,
14/05/2017,2575.0000,2575.0000,2.39,2580.0000,2515.0000,2599.0000,2571.0000,557989291,14368224,6678943,258366,749,,,557466719.00,
