Historical Prices - PLASSON INDUS - 01081603
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,13170.0000,13170.0000,7.07,12300.0000,12300.0000,13360.0000,12300.0000,9547955,1257466,921782,7070,148,,,9547955.00,
28/05/2017,12300.0000,12300.0000,-0.65,12700.0000,12380.0000,12700.0000,12120.0000,9547955,1174398,143475,1164,67,,,9547955.00,
25/05/2017,12380.0000,12380.0000,-0.16,12370.0000,12400.0000,12430.0000,12000.0000,9547955,1182037,877847,7169,208,,,9547955.00,
24/05/2017,12400.0000,12400.0000,-1.43,12580.0000,12580.0000,12850.0000,12330.0000,9547955,1183946,979797,7809,139,,,9547955.00,
23/05/2017,12580.0000,12580.0000,0.00,12580.0000,12580.0000,12620.0000,12430.0000,9547955,1201133,704337,5601,134,,,9547955.00,
22/05/2017,12580.0000,12580.0000,2.03,12330.0000,12330.0000,12700.0000,12290.0000,9547955,1201133,507838,4058,108,,,9547955.00,
21/05/2017,12330.0000,12330.0000,3.01,12110.0000,11970.0000,12530.0000,11970.0000,9547955,1177263,659440,5371,131,,,9547955.00,
18/05/2017,11970.0000,11970.0000,-1.64,12170.0000,12170.0000,12370.0000,11920.0000,9547955,1142890,1180839,9763,177,,,9547955.00,
17/05/2017,12170.0000,12170.0000,-2.25,12460.0000,12450.0000,12530.0000,12120.0000,9547955,1161986,3127716,25579,172,,,9547955.00,
16/05/2017,12450.0000,12450.0000,-0.08,12460.0000,12460.0000,12530.0000,12400.0000,9547955,1188720,2439336,19499,76,,,9547955.00,
15/05/2017,12460.0000,12460.0000,-1.58,12660.0000,12660.0000,12730.0000,12350.0000,9547955,1189675,676480,5390,118,,,9547955.00,
14/05/2017,12660.0000,12660.0000,-1.09,12680.0000,12800.0000,12890.0000,12590.0000,9547955,1208771,149126,1173,56,,,9547955.00,
11/05/2017,12800.0000,12800.0000,0.95,12680.0000,12680.0000,12910.0000,12620.0000,9547955,1222138,4498366,35460,115,,,9547955.00,
10/05/2017,12680.0000,12680.0000,-0.94,12680.0000,12800.0000,12810.0000,12640.0000,9547955,1210681,533742,4195,67,,,9547955.00,
09/05/2017,12800.0000,12800.0000,-0.54,12870.0000,12870.0000,12910.0000,12690.0000,9547955,1222138,269116,2104,89,,,9547955.00,
08/05/2017,12870.0000,12870.0000,1.82,12640.0000,12640.0000,12890.0000,12500.0000,9547955,1228822,913605,7158,114,,,9547955.00,
07/05/2017,12640.0000,12640.0000,0.96,12520.0000,12520.0000,12650.0000,12520.0000,9547955,1206862,195417,1549,57,,,9547955.00,
04/05/2017,12520.0000,12520.0000,0.00,12360.0000,12520.0000,12690.0000,12360.0000,9547955,1195404,1744061,13904,117,,,9547955.00,
03/05/2017,12520.0000,12520.0000,1.29,12400.0000,12360.0000,12540.0000,12400.0000,9547955,1195404,790268,6320,85,,,9547955.00,
30/04/2017,12360.0000,12360.0000,0.00,12430.0000,12360.0000,12430.0000,12270.0000,9547955,1180127,284947,2306,47,,,9547955.00,
27/04/2017,12360.0000,12360.0000,-0.56,12600.0000,12430.0000,12600.0000,12310.0000,9547955,1180127,424754,3407,76,,,9547955.00,
26/04/2017,12430.0000,12430.0000,0.00,12430.0000,12430.0000,12500.0000,12330.0000,9547955,1186811,254393,2045,65,,,9547955.00,
25/04/2017,12430.0000,12430.0000,0.65,12420.0000,12350.0000,12500.0000,12370.0000,9547955,1186811,840424,6770,109,,,9547955.00,
24/04/2017,12350.0000,12350.0000,1.56,12160.0000,12160.0000,12390.0000,12210.0000,9547955,1179172,867978,7056,146,,,9547955.00,
23/04/2017,12160.0000,12160.0000,-1.06,12290.0000,12290.0000,12280.0000,11880.0000,9547955,1161031,410191,3393,82,,,9547955.00,
20/04/2017,12290.0000,12290.0000,-0.08,12300.0000,12300.0000,12350.0000,12280.0000,9547955,1173444,668591,5431,87,,,9547955.00,
19/04/2017,12300.0000,12300.0000,0.74,12210.0000,12210.0000,12350.0000,12110.0000,9547955,1174398,323018,2633,49,,,9547955.00,
18/04/2017,12210.0000,12210.0000,0.33,12240.0000,12170.0000,12280.0000,12070.0000,9547955,1165805,271124,2218,73,,,9547955.00,
13/04/2017,12170.0000,12170.0000,-0.16,12190.0000,12190.0000,12240.0000,12070.0000,9547955,1161986,255884,2104,56,,,9547955.00,
12/04/2017,12190.0000,12190.0000,0.58,12120.0000,12120.0000,12220.0000,12120.0000,9547955,1163896,102564,843,26,,,9547955.00,
09/04/2017,12120.0000,12120.0000,0.33,12080.0000,12080.0000,12160.0000,11840.0000,9547955,1157212,191189,1585,45,,,9547955.00,
