Historical Prices - POALIM - 00662577
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2358.0000,2358.0000,1.42,2306.0000,2325.0000,2358.0000,2306.0000,1334565159,31469046,163889444,6981430,2044,,,1334546463.00,
28/05/2017,2325.0000,2325.0000,1.17,2296.0000,2298.0000,2342.0000,2293.0000,1334565159,31028640,53598189,2310562,1413,,,1334546463.00,
25/05/2017,2298.0000,2298.0000,1.59,2270.0000,2262.0000,2305.0000,2259.0000,1334565159,30668307,148850484,6533553,2356,,,1334546463.00,
24/05/2017,2262.0000,2262.0000,-0.66,2303.0000,2277.0000,2305.0000,2251.0000,1334565159,30187864,89871399,3965661,2591,,,1334546463.00,
23/05/2017,2277.0000,2277.0000,-0.87,2296.0000,2297.0000,2297.0000,2267.0000,1334546463,30387623,58018335,2548241,2167,,,1334546463.00,
22/05/2017,2297.0000,2297.0000,-0.52,2308.0000,2309.0000,2312.0000,2282.0000,1334546463,30654532,73915102,3220310,2355,,,1334546463.00,
21/05/2017,2309.0000,2309.0000,2.12,2287.0000,2261.0000,2313.0000,2286.0000,1334546463,30814678,36901758,1600856,1274,,,1334546463.00,
18/05/2017,2261.0000,2261.0000,0.67,2250.0000,2246.0000,2271.0000,2220.0000,1334546463,30174096,96848966,4322643,2913,,,1334546463.00,
17/05/2017,2246.0000,2246.0000,-1.62,2281.0000,2283.0000,2290.0000,2244.0000,1334546463,29973914,49321458,2177602,1885,,,1334546463.00,
16/05/2017,2283.0000,2283.0000,-0.26,2299.0000,2289.0000,2299.0000,2262.0000,1334546463,30467696,54870600,2408379,1859,,,1334546463.00,
15/05/2017,2289.0000,2289.0000,0.70,2285.0000,2273.0000,2300.0000,2266.0000,1334546463,30547769,53618354,2344231,2028,,,1334546463.00,
14/05/2017,2273.0000,2273.0000,-0.39,2289.0000,2282.0000,2291.0000,2267.0000,1334546463,30334241,20232114,888056,748,,,1334546463.00,
11/05/2017,2282.0000,2282.0000,-0.70,2304.0000,2298.0000,2318.0000,2271.0000,1334546463,30454350,64322194,2808173,2223,,,1334546463.00,
10/05/2017,2298.0000,2298.0000,0.79,2273.0000,2280.0000,2300.0000,2266.0000,1334546463,30667878,61154441,2681022,1694,,,1334546463.00,
09/05/2017,2280.0000,2280.0000,-1.17,2307.0000,2307.0000,2311.0000,2272.0000,1334546463,30427659,69750690,3056562,2445,,,1334546463.00,
08/05/2017,2307.0000,2307.0000,-1.28,2332.0000,2337.0000,2345.0000,2296.0000,1334546463,30787987,58873772,2537389,1822,,,1334546463.00,
07/05/2017,2337.0000,2337.0000,1.21,2310.0000,2309.0000,2345.0000,2295.0000,1334546463,31188351,46068910,1988472,1158,,,1334546463.00,
04/05/2017,2309.0000,2309.0000,0.92,2292.0000,2288.0000,2309.0000,2290.0000,1334546463,30814678,217040721,9411813,1795,,,1333550613.00,
03/05/2017,2288.0000,2288.0000,0.57,2268.0000,2275.0000,2288.0000,2258.0000,1334546463,30534423,67442071,2970037,2393,,,1333550613.00,
30/04/2017,2275.0000,2275.0000,0.62,2261.0000,2261.0000,2275.0000,2255.0000,1334546463,30360932,27793080,1226056,694,,,1333550613.00,
27/04/2017,2261.0000,2261.0000,-1.22,2275.0000,2289.0000,2285.0000,2261.0000,1334546463,30174096,64995925,2859949,1429,,,1333550613.00,
26/04/2017,2289.0000,2289.0000,-0.39,2290.0000,2298.0000,2295.0000,2277.0000,1334546463,30547769,45533220,1991508,1816,,,1333550613.00,
25/04/2017,2298.0000,2298.0000,1.01,2295.0000,2275.0000,2315.0000,2288.0000,1334546463,30667878,64823417,2818208,2082,,,1333550613.00,
24/04/2017,2275.0000,2275.0000,2.16,2252.0000,2227.0000,2290.0000,2252.0000,1334546463,30360932,87179259,3829460,2377,,,1333550613.00,
23/04/2017,2227.0000,2227.0000,-0.89,2235.0000,2247.0000,2238.0000,2219.0000,1334546463,29720350,20799893,933243,743,,,1333550613.00,
