Historical Prices - POINTER - 01138189
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3802.0000,3802.0000,-1.73,3870.0000,3869.0000,3906.0000,3676.0000,8007696,304453,269199,7004,35,,,7943294.00,
28/05/2017,3869.0000,3869.0000,4.03,3719.0000,3719.0000,3900.0000,3790.0000,7986700,309005,119424,3086,25,,,7943294.00,
25/05/2017,3719.0000,3719.0000,-2.18,3802.0000,3802.0000,3802.0000,3668.0000,7986700,297025,332938,8888,30,,,7943294.00,
24/05/2017,3802.0000,3802.0000,-3.11,3924.0000,3924.0000,3925.0000,3770.0000,7979409,303377,515939,13488,39,,,7943294.00,
23/05/2017,3924.0000,3924.0000,0.85,3999.0000,3891.0000,4050.0000,3901.0000,7975509,312959,339842,8564,64,,,7943294.00,
22/05/2017,3891.0000,3891.0000,1.28,3842.0000,3842.0000,4000.0000,3865.0000,7943596,309085,223565,5723,35,,,7943294.00,
21/05/2017,3842.0000,3842.0000,5.29,3649.0000,3649.0000,3850.0000,3652.0000,7943596,305193,304805,8008,51,,,7943294.00,
18/05/2017,3649.0000,3649.0000,5.37,3460.0000,3463.0000,3900.0000,3309.0000,7943596,289862,4205730,114467,239,,,7943294.00,
17/05/2017,3463.0000,3463.0000,2.27,3386.0000,3386.0000,3472.0000,3370.0000,7943294,275076,639430,18602,77,,,7943294.00,
16/05/2017,3386.0000,3386.0000,0.36,3374.0000,3374.0000,3468.0000,3380.0000,7943294,268960,1242844,36755,18,,,7943294.00,
15/05/2017,3374.0000,3374.0000,-0.38,3387.0000,3387.0000,3392.0000,3374.0000,7943294,268007,60144,1779,12,,,7943294.00,
14/05/2017,3387.0000,3387.0000,-0.41,3401.0000,3401.0000,3407.0000,3370.0000,7943294,269039,74602,2203,19,,,7943294.00,
11/05/2017,3401.0000,3401.0000,-0.03,3402.0000,3402.0000,3429.0000,3373.0000,7943294,270151,77895,2284,11,,,7943294.00,
10/05/2017,3402.0000,3402.0000,-1.16,3442.0000,3442.0000,3440.0000,3400.0000,7943294,270231,296028,8687,21,,,7943294.00,
09/05/2017,3442.0000,3442.0000,3.61,3322.0000,3322.0000,3470.0000,3420.0000,7943294,273408,203092,5904,18,,,7943294.00,
08/05/2017,3322.0000,3322.0000,-0.03,3323.0000,3323.0000,3322.0000,3322.0000,7943294,263876,60128,1810,6,,,7943294.00,
07/05/2017,3323.0000,3323.0000,-0.21,3330.0000,3330.0000,3332.0000,3250.0000,7943294,263956,134727,4073,18,,,7943294.00,
04/05/2017,3330.0000,3330.0000,0.82,3303.0000,3303.0000,3342.0000,3302.0000,7943294,264512,685690,20608,31,,,7936419.00,
03/05/2017,3303.0000,3303.0000,-0.69,3326.0000,3326.0000,3340.0000,3247.0000,7943294,262367,338429,10264,36,,,7936419.00,
30/04/2017,3326.0000,3326.0000,-0.12,3330.0000,3330.0000,3333.0000,3309.0000,7943294,264194,29935,900,5,,,7936419.00,
27/04/2017,3330.0000,3330.0000,0.03,3329.0000,3329.0000,3330.0000,3327.0000,7943294,264512,35128,1055,11,,,7936419.00,
26/04/2017,3329.0000,3329.0000,0.57,3310.0000,3310.0000,3345.0000,3310.0000,7943294,264432,32028,962,4,,,7936419.00,
25/04/2017,3310.0000,3310.0000,0.00,3310.0000,3310.0000,3312.0000,3307.0000,7943294,262923,5429,164,4,,,7936419.00,
24/04/2017,3310.0000,3310.0000,0.03,3309.0000,3309.0000,3350.0000,3309.0000,7943294,262923,273963,8275,16,,,7936419.00,
23/04/2017,3309.0000,3309.0000,0.00,3309.0000,3309.0000,3309.0000,3306.0000,7943294,262844,63522,1920,5,,,7936419.00,
20/04/2017,3309.0000,3309.0000,1.63,3256.0000,3256.0000,3325.0000,3251.0000,7943294,262844,185625,5647,24,,,7936419.00,
19/04/2017,3256.0000,3256.0000,-2.40,3336.0000,3336.0000,3331.0000,3170.0000,7943294,258634,103327,3162,25,,,7936419.00,
18/04/2017,3336.0000,3336.0000,-0.15,3341.0000,3341.0000,3340.0000,3334.0000,7943294,264988,51657,1548,12,,,7936419.00,
13/04/2017,3341.0000,3341.0000,-2.82,3438.0000,3438.0000,3341.0000,3340.0000,7943294,265385,68990,2065,9,,,7936419.00,
12/04/2017,3438.0000,3438.0000,0.00,3438.0000,3438.0000,3438.0000,3438.0000,7943294,273090,6154,179,4,,,7936419.00,
09/04/2017,3438.0000,3438.0000,0.82,3410.0000,3410.0000,3485.0000,3355.0000,7943294,273090,186459,5392,15,,,7936419.00,
06/04/2017,3410.0000,3410.0000,5.18,3242.0000,3242.0000,3410.0000,3281.0000,7943294,270866,250788,7385,17,,,7926809.00,
05/04/2017,3242.0000,3242.0000,-1.28,3284.0000,3284.0000,3273.0000,3231.0000,7943294,257522,23051,711,8,,,7926809.00,
04/04/2017,3284.0000,3284.0000,-4.09,3424.0000,3424.0000,3347.0000,3260.0000,7943294,260858,70966,2158,12,,,7926809.00,
