Historical Prices - RALCO - 00393017
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4267.0000,4267.0000,-0.12,4272.0000,4272.0000,4300.0000,4250.0000,3963932,169141,7596,178,4,,,3963932.00,
28/05/2017,4272.0000,4272.0000,0.00,4272.0000,4272.0000,4272.0000,4272.0000,3963932,169339,1111,26,2,,,3963932.00,
25/05/2017,4272.0000,4272.0000,-1.27,4327.0000,4327.0000,4327.0000,4239.0000,3963932,169339,33538,785,10,,,3963932.00,
24/05/2017,4327.0000,4327.0000,0.30,4346.0000,4314.0000,4346.0000,4320.0000,3963932,171519,25488,589,10,,,3963932.00,
23/05/2017,4314.0000,4314.0000,-0.74,3900.0000,4346.0000,4346.0000,3900.0000,3963932,171004,23471,544,12,,,3963932.00,
22/05/2017,4346.0000,4346.0000,0.12,4341.0000,4341.0000,4346.0000,4346.0000,3963932,172272,11256,259,4,,,3963932.00,
21/05/2017,4341.0000,4341.0000,0.84,4305.0000,4305.0000,4346.0000,4340.0000,3963932,172074,14847,342,5,,,3963932.00,
18/05/2017,4305.0000,4305.0000,0.02,4304.0000,4304.0000,4332.0000,4171.0000,3963932,170647,208586,4902,20,,,3963932.00,
17/05/2017,4304.0000,4304.0000,2.87,4347.0000,4184.0000,4347.0000,4261.0000,3963932,170608,8737,203,5,,,3963932.00,
16/05/2017,4184.0000,4184.0000,0.55,4173.0000,4161.0000,4226.0000,4101.0000,3963932,165851,110276,2644,23,,,3963932.00,
15/05/2017,4161.0000,4161.0000,2.34,4147.0000,4066.0000,4170.0000,4130.0000,3963932,164939,188820,4557,18,,,3963932.00,
14/05/2017,4066.0000,4066.0000,0.02,4173.0000,4065.0000,4173.0000,4065.0000,3963932,161173,40896,1004,6,,,3963932.00,
11/05/2017,4065.0000,4065.0000,0.17,4171.0000,4058.0000,4171.0000,4031.0000,3963932,161134,17359,427,10,,,3963932.00,
10/05/2017,4058.0000,4058.0000,0.45,4040.0000,4040.0000,4175.0000,4026.0000,3963932,160856,35226,868,9,,,3963932.00,
