Historical Prices - RATIO       L - 00394015
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,275.0000,275.0000,0.00,272.2000,275.0000,278.0000,272.2000,1044485416,2872335,5204684,1891761,621,,,1044455710.00,
28/05/2017,275.0000,275.0000,3.77,265.0000,265.0000,276.0000,264.4000,1044455710,2872253,6281865,2317716,949,,,1044455710.00,
25/05/2017,265.0000,265.0000,1.11,262.1000,262.1000,265.9000,260.3000,1044455710,2767808,3732942,1414631,372,,,1044455710.00,
24/05/2017,262.1000,262.1000,0.38,262.5000,261.1000,263.4000,258.4000,1044455710,2737518,3902146,1494107,422,,,1044455710.00,
23/05/2017,261.1000,261.1000,-0.87,263.2000,263.4000,265.2000,259.8000,1044455710,2727074,3438529,1313788,388,,,1044455710.00,
22/05/2017,263.4000,263.4000,-0.23,264.0000,264.0000,265.6000,262.9000,1044455710,2751096,2898370,1098382,277,,,1044455710.00,
21/05/2017,264.0000,264.0000,-0.04,268.0000,264.1000,269.4000,262.0000,1044455710,2757363,5279359,1988714,599,,,1044455710.00,
18/05/2017,264.1000,264.1000,-2.22,270.0000,270.1000,271.8000,264.1000,1044455710,2758408,3170067,1191902,376,,,1044455710.00,
17/05/2017,270.1000,270.1000,-2.35,276.8000,276.6000,277.4000,270.1000,1044455710,2821075,4618902,1687451,480,,,1044455710.00,
16/05/2017,276.6000,276.6000,-0.36,278.0000,277.6000,281.1000,273.0000,1044455710,2888964,11862837,4262272,764,,,1044455710.00,
15/05/2017,277.6000,277.6000,-1.32,280.0000,281.3000,280.0000,273.0000,1044455710,2899409,7860478,2849278,717,,,1044455710.00,
14/05/2017,281.3000,281.3000,7.82,260.7000,260.9000,281.3000,258.5000,1044455710,2938054,14200929,5269447,1068,,,1044455710.00,
11/05/2017,260.9000,260.9000,0.35,258.0000,260.0000,262.0000,255.5000,1044455710,2724985,10408008,4033515,948,,,1044455710.00,
10/05/2017,260.0000,260.0000,-0.76,262.2000,262.0000,262.2000,255.3000,1044455710,2715585,6865155,2649548,605,,,1044455710.00,
09/05/2017,262.0000,262.0000,-1.95,267.0000,267.2000,267.0000,261.0000,1044455710,2736474,4730565,1796408,466,,,1044455710.00,
08/05/2017,267.2000,267.2000,-0.74,269.0000,269.2000,269.0000,265.3000,1044455710,2790786,2919217,1092968,316,,,1044455710.00,
07/05/2017,269.2000,269.2000,-0.22,269.8000,269.8000,270.3000,266.7000,1044455710,2811675,2900235,1080103,272,,,1044455710.00,
04/05/2017,269.8000,269.8000,-0.77,270.5000,271.9000,272.9000,269.8000,1044455710,2817942,9153384,3385914,354,,,1044455710.00,
03/05/2017,271.9000,271.9000,0.74,270.2000,269.9000,272.6000,270.2000,1044455710,2839875,3812646,1402845,428,,,1044455710.00,
30/04/2017,269.9000,269.9000,1.16,267.0000,266.8000,272.5000,266.7000,1044455710,2818986,4986281,1848511,376,,,1044455710.00,
27/04/2017,266.8000,266.8000,2.10,263.0000,261.3000,267.9000,260.0000,1044455710,2786608,6982461,2650665,642,,,1044455710.00,
26/04/2017,261.3000,261.3000,0.89,259.0000,259.0000,262.3000,257.2000,1044455710,2729163,3242455,1247688,375,,,1044455710.00,
25/04/2017,259.0000,259.0000,0.66,258.0000,257.3000,259.3000,254.0000,1044455710,2705140,6399269,2495853,587,,,1044455710.00,
24/04/2017,257.3000,257.3000,-0.66,261.0000,259.0000,261.7000,255.7000,1044455710,2687385,6697227,2592045,1436,,,1044455710.00,
23/04/2017,259.0000,259.0000,-1.56,263.3000,263.1000,264.9000,256.5000,1044455710,2705140,5879927,2263802,942,,,1044455710.00,
20/04/2017,263.1000,263.1000,-1.97,267.0000,268.4000,267.3000,262.8000,1044455710,2747963,6236805,2356886,448,,,1044455710.00,
19/04/2017,268.4000,268.4000,1.28,264.8000,265.0000,269.4000,263.6000,1044455710,2803319,2216764,831514,296,,,1044455710.00,
18/04/2017,265.0000,265.0000,-1.08,268.0000,267.9000,268.0000,263.8000,1044455710,2767808,4365130,1645462,725,,,1044455710.00,
13/04/2017,267.9000,267.9000,-0.37,268.9000,268.9000,268.9000,266.0000,1044455710,2798097,2672150,1000874,250,,,1044455710.00,
12/04/2017,268.9000,268.9000,-0.48,270.2000,270.2000,271.0000,268.0000,1044455710,2808541,468118,173694,112,,,1044455710.00,
09/04/2017,270.2000,270.2000,0.07,270.0000,270.0000,273.5000,265.0000,1044455710,2822119,2288786,845709,264,,,1044455710.00,
06/04/2017,270.0000,270.0000,-1.82,273.5000,275.0000,273.5000,268.4000,1044455710,2820030,6162907,2278057,321,,,1044455710.00,
05/04/2017,275.0000,275.0000,0.00,276.5000,275.0000,276.7000,273.0000,1044455710,2872253,3671325,1336390,284,,,1044455710.00,
04/04/2017,275.0000,275.0000,1.97,270.0000,269.7000,276.7000,269.5000,1044455710,2872253,5286515,1929209,431,,,1044455710.00,
03/04/2017,269.7000,269.7000,-0.52,273.0000,271.1000,276.2000,269.3000,1044455710,2816897,5027358,1834189,468,,,1044455710.00,
02/04/2017,271.1000,271.1000,1.23,269.0000,267.8000,272.1000,266.8000,1044455710,2831519,2521649,933227,277,,,1044455710.00,
30/03/2017,267.8000,267.8000,1.06,265.0000,265.0000,267.8000,262.1000,1044455710,2797052,3960157,1492309,522,,,1044455710.00,
29/03/2017,265.0000,265.0000,-2.14,271.0000,270.8000,271.4000,263.7000,1044455710,2767808,10168078,3823901,982,,,1044455710.00,
28/03/2017,270.8000,270.8000,-0.44,272.0000,272.0000,273.9000,267.0000,1044455710,2828386,6856784,2535906,521,,,1044455710.00,
27/03/2017,272.0000,272.0000,-2.09,276.2000,277.8000,277.8000,272.0000,1044455710,2840920,4803735,1741701,461,,,1044455710.00,
26/03/2017,277.8000,277.8000,-0.29,278.0000,278.6000,280.0000,276.6000,1044455710,2901498,2116558,761436,235,,,1044455710.00,
23/03/2017,278.6000,278.6000,-0.78,282.0000,280.8000,282.4000,276.0000,1044455710,2909854,4196717,1504294,462,,,1044455710.00,
22/03/2017,280.8000,280.8000,-0.78,282.0000,283.0000,282.9000,280.1000,1044455710,2932832,4785914,1700062,402,,,1044455710.00,
21/03/2017,283.0000,283.0000,0.35,284.3000,282.0000,288.0000,283.0000,1044455710,2955810,9596948,3360854,496,,,1044455710.00,
20/03/2017,282.0000,282.0000,-0.53,283.7000,283.5000,285.7000,282.0000,1044455710,2945365,4926372,1737312,305,,,1044455710.00,
19/03/2017,283.5000,283.5000,-0.84,285.9000,285.9000,285.9000,281.8000,1044455710,2961032,2814674,993319,241,,,1044455710.00,
16/03/2017,285.9000,285.9000,-1.28,290.0000,289.6000,290.2000,282.5000,1044455710,2986099,5682915,1985963,372,,,1044455710.00,
15/03/2017,289.6000,289.6000,1.37,285.5000,285.7000,290.8000,285.0000,1044455710,3024744,4293977,1486628,345,,,1044455710.00,
