Historical Prices - RAVAL - 01103878
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,874.9000,874.9000,-0.11,875.9000,875.9000,880.6000,869.9000,77836316,680990,254161,29020,42,,,77836316.00,
28/05/2017,875.9000,875.9000,-0.53,880.6000,880.6000,882.9000,850.4000,77836316,681768,723134,83135,107,,,77836316.00,
25/05/2017,880.6000,880.6000,-0.60,870.1000,885.9000,882.2000,870.1000,77836316,685427,470034,53680,30,,,77836316.00,
24/05/2017,885.9000,885.9000,0.12,884.8000,884.8000,897.8000,883.0000,77836316,689552,165637,18597,35,,,77836316.00,
23/05/2017,884.8000,884.8000,0.83,877.5000,877.5000,890.0000,874.2000,77836316,688696,77572,8773,22,,,77836316.00,
22/05/2017,877.5000,877.5000,1.48,864.7000,864.7000,886.6000,860.3000,77836316,683014,110043,12641,32,,,77836316.00,
21/05/2017,864.7000,864.7000,-0.21,845.6000,866.5000,869.8000,845.6000,77836316,673051,218383,25392,46,,,77836316.00,
18/05/2017,866.5000,866.5000,-0.12,866.6000,867.5000,867.5000,850.1000,77836316,674452,512491,59603,52,,,77836316.00,
17/05/2017,867.5000,867.5000,-1.21,878.1000,878.1000,870.3000,860.0000,77836316,675230,677564,78376,82,,,77836316.00,
16/05/2017,878.1000,878.1000,-0.78,869.0000,885.0000,884.0000,840.0000,77836316,683481,948928,109302,129,,,77836316.00,
15/05/2017,885.0000,885.0000,-4.82,929.8000,929.8000,935.4000,880.2000,77836316,688851,1555150,173395,184,,,77836316.00,
14/05/2017,929.8000,929.8000,0.11,928.8000,928.8000,931.0000,923.5000,77836316,723722,188171,20272,35,,,77836316.00,
11/05/2017,928.8000,928.8000,0.16,927.3000,927.3000,930.8000,924.6000,77836316,722944,180471,19450,40,,,77836316.00,
10/05/2017,927.3000,927.3000,-0.10,928.2000,928.2000,931.0000,926.0000,77836316,721776,246316,26535,51,,,77836316.00,
09/05/2017,928.2000,928.2000,2.30,907.3000,907.3000,930.0000,906.7000,77836316,722477,271639,29489,48,,,77836316.00,
08/05/2017,907.3000,907.3000,0.07,906.7000,906.7000,908.7000,904.0000,77836316,706209,119534,13182,30,,,77836316.00,
07/05/2017,906.7000,906.7000,0.74,900.0000,900.0000,910.0000,888.0000,77836316,705742,183716,20312,33,,,77836316.00,
04/05/2017,900.0000,900.0000,0.76,893.2000,893.2000,914.7000,884.9000,77836316,700527,489752,54527,61,,,77836316.00,
03/05/2017,893.2000,893.2000,1.01,884.3000,884.3000,896.0000,877.0000,77836316,695234,166450,18798,32,,,77836316.00,
30/04/2017,884.3000,884.3000,0.57,879.3000,879.3000,890.0000,872.5000,77836316,688307,60468,6863,18,,,77836316.00,
27/04/2017,879.3000,879.3000,1.07,870.0000,870.0000,883.0000,871.0000,77836316,684415,164354,18764,25,,,77836316.00,
26/04/2017,870.0000,870.0000,0.02,869.8000,869.8000,875.3000,862.7000,77836316,677176,108811,12537,23,,,77836316.00,
25/04/2017,869.8000,869.8000,0.46,865.8000,865.8000,871.7000,861.7000,77836316,677020,67245,7746,12,,,77836316.00,
24/04/2017,865.8000,865.8000,1.32,856.0000,854.5000,868.1000,856.0000,77836316,673907,91274,10542,22,,,77836316.00,
23/04/2017,854.5000,854.5000,-0.05,854.9000,854.9000,856.7000,852.1000,77836316,665111,49486,5791,12,,,77836316.00,
20/04/2017,854.9000,854.9000,-0.33,857.7000,857.7000,857.0000,852.0000,77836316,665423,352573,41276,56,EX D,0.98813,77836316.00,
19/04/2017,857.6968,868.0000,-0.79,870.1000,874.9000,872.7000,863.1000,77836316,675619,239432,27649,41,,,77836316.00,
18/04/2017,864.5149,874.9000,-0.42,878.6000,878.6000,878.0000,870.2000,77836316,680990,158483,18099,30,,,77836316.00,
13/04/2017,868.1710,878.6000,0.02,878.4000,878.4000,879.3000,876.3000,77836316,683870,41126,4681,9,,,77836316.00,
12/04/2017,867.9734,878.4000,0.18,876.8000,876.8000,888.1000,876.4000,77836316,683714,58095,6602,15,,,77836316.00,
09/04/2017,866.3924,876.8000,-0.16,876.7000,878.2000,880.0000,875.9000,77836316,682469,143565,16380,27,,,77836316.00,
06/04/2017,867.7758,878.2000,-2.54,901.1000,901.1000,901.0000,878.2000,77836316,683559,363242,40985,36,,,77836316.00,
05/04/2017,890.4039,901.1000,1.18,890.6000,890.6000,904.9000,897.0000,77836316,701383,120891,13412,28,,,77836316.00,
04/04/2017,880.0286,890.6000,0.01,890.5000,890.5000,900.0000,888.5000,77836316,693210,206572,23123,43,,,77836316.00,
03/04/2017,879.9298,890.5000,-0.79,897.6000,897.6000,900.1000,889.5000,77836316,693132,272918,30518,44,,,77836316.00,
02/04/2017,886.9455,897.6000,1.34,885.7000,885.7000,900.0000,886.7000,77836316,698659,220226,24574,38,,,77836316.00,
30/03/2017,875.1867,885.7000,-0.96,894.3000,894.3000,897.0000,870.0000,77836316,689396,148863,16806,34,,,77836316.00,
29/03/2017,883.6847,894.3000,2.15,875.5000,875.5000,898.8000,874.6000,77836316,696090,99999,11233,28,,,77836316.00,
28/03/2017,865.1078,875.5000,1.14,865.6000,865.6000,879.0000,861.4000,77836316,681457,235021,27074,38,,,77836316.00,
27/03/2017,855.3253,865.6000,-1.05,874.8000,874.8000,872.1000,860.1000,77836316,673751,162396,18699,23,,,77836316.00,
26/03/2017,864.4161,874.8000,1.04,865.8000,865.8000,889.0000,856.7000,77836316,680912,194312,22425,41,,,77836316.00,
23/03/2017,855.5230,865.8000,0.60,860.6000,860.6000,875.0000,856.2000,77836316,673907,78345,9063,21,,,77836316.00,
22/03/2017,850.3847,860.6000,-0.60,865.2000,865.8000,865.2000,853.0000,77836316,669859,164917,19190,29,,,77836316.00,
21/03/2017,855.5230,865.8000,0.55,861.7000,861.1000,875.0000,851.3000,77836316,673907,138928,16020,34,,,77836316.00,
20/03/2017,850.8787,861.1000,0.47,857.1000,857.1000,872.1000,851.1000,77836316,670249,98612,11498,25,,,77836316.00,
19/03/2017,846.9262,857.1000,-0.65,862.7000,862.7000,878.9000,851.2000,77836316,667135,127952,14914,25,,,77836316.00,
16/03/2017,852.4598,862.7000,0.34,865.0000,859.8000,865.0000,851.0000,77836316,671494,217208,25260,37,,,77836316.00,
15/03/2017,849.5942,859.8000,-0.24,861.9000,861.9000,861.3000,858.9000,77836316,669237,125947,14642,18,,,77836316.00,
14/03/2017,851.6692,861.9000,0.40,858.5000,858.5000,864.9000,858.5000,77836316,670871,150949,17522,39,,,77836316.00,
13/03/2017,848.3096,858.5000,0.88,851.0000,851.0000,861.8000,851.0000,77836316,668225,239733,27956,47,,,77836316.00,
09/03/2017,840.8986,851.0000,0.06,850.5000,850.5000,854.1000,848.0000,77836316,662387,78288,9200,15,,,77836316.00,
08/03/2017,840.4046,850.5000,-1.27,861.4000,861.4000,879.0000,850.0000,77836316,661998,469094,54797,82,,,77836316.00,
07/03/2017,851.1752,861.4000,-0.08,862.1000,862.1000,862.7000,860.2000,77836316,670482,166425,19318,34,,,77836316.00,
06/03/2017,851.8669,862.1000,-2.30,882.4000,882.4000,871.0000,860.0000,77836316,671027,227402,26359,42,,,77836316.00,
05/03/2017,871.9259,882.4000,-0.85,890.0000,890.0000,890.0000,881.0000,77836316,686828,212938,24123,42,,,77836316.00,
02/03/2017,879.4357,890.0000,4.20,854.1000,854.1000,890.0000,851.2000,77836316,692743,739389,84388,48,,,77836316.00,
01/03/2017,843.9618,854.1000,-0.12,855.1000,855.1000,859.8000,844.5000,77836316,664800,62941,7373,16,,,77836316.00,
28/02/2017,844.9500,855.1000,0.65,849.0000,849.6000,859.8000,849.0000,77836316,665578,137013,16034,28,,,77836316.00,
27/02/2017,839.5152,849.6000,-0.05,850.0000,850.0000,855.1000,849.0000,77836316,661297,350994,41285,47,,,77836316.00,
26/02/2017,839.9105,850.0000,-0.46,853.9000,853.9000,858.2000,849.8000,77836316,661609,478495,56056,44,,,77836316.00,
23/02/2017,843.7642,853.9000,-0.54,858.5000,858.5000,860.0000,853.7000,77836316,664644,466353,54482,47,,,77836316.00,
22/02/2017,848.3096,858.5000,-0.51,856.0000,862.9000,861.0000,855.7000,77836316,668225,348393,40583,50,,,77836316.00,
21/02/2017,852.6574,862.9000,-0.15,864.2000,864.2000,871.9000,854.9000,77836316,671650,255355,29510,45,,,77836316.00,
20/02/2017,853.9419,864.2000,0.90,856.5000,856.5000,865.0000,856.5000,77836316,672661,205675,23824,45,,,77836316.00,
19/02/2017,846.3333,856.5000,0.63,851.1000,851.1000,867.8000,852.0000,77836316,666668,152159,17779,34,,,77836316.00,
16/02/2017,840.9974,851.1000,-1.10,860.6000,860.6000,869.7000,851.0000,77836316,662465,819708,96017,101,,,77836316.00,
15/02/2017,850.3847,860.6000,-0.78,867.4000,867.4000,868.3000,858.0000,77836316,669859,359222,41693,63,,,77836316.00,
14/02/2017,857.1040,867.4000,-1.18,884.9000,877.8000,890.0000,861.0000,77836316,675152,1108574,126348,137,,,77836316.00,
13/02/2017,867.3805,877.8000,2.70,860.0000,854.7000,888.7000,860.0000,77836316,683247,2178239,247863,193,,,77836316.00,
12/02/2017,844.5547,854.7000,-0.62,860.0000,860.0000,860.0000,844.5000,77836316,665267,681925,80142,119,,,77836316.00,
09/02/2017,849.7918,860.0000,1.18,850.0000,850.0000,876.3000,840.4000,77836316,669392,2699644,314275,107,,,71236316.00,
08/02/2017,839.9105,850.0000,-1.51,863.0000,863.0000,866.1000,850.0000,77836316,661609,255112,29817,48,,,71236316.00,
07/02/2017,852.7562,863.0000,-0.60,864.9000,868.2000,868.1000,860.2000,77836316,671727,572897,66358,63,,,71236316.00,
06/02/2017,857.8945,868.2000,0.36,867.0000,865.1000,870.9000,865.0000,77836316,675775,125297,14417,28,,,71236316.00,
05/02/2017,854.8313,865.1000,0.52,860.6000,860.6000,873.0000,865.0000,77836316,673362,181024,20860,22,,,71236316.00,
02/02/2017,850.3847,860.6000,0.14,859.4000,859.4000,876.5000,860.1000,77836316,669859,184534,21389,41,,,71236316.00,
01/02/2017,849.1989,859.4000,0.73,853.2000,853.2000,861.1000,851.4000,77836316,668925,163489,19061,45,,,71236316.00,
31/01/2017,843.0725,853.2000,0.01,853.1000,853.1000,856.3000,851.3000,77836316,664099,226440,26561,42,,,71236316.00,
30/01/2017,842.9737,853.1000,-0.54,857.7000,857.7000,862.7000,850.1000,77836316,664022,267896,31423,37,,,71236316.00,
29/01/2017,847.5191,857.7000,0.40,854.3000,854.3000,858.0000,857.0000,77836316,667602,88052,10267,18,,,71236316.00,
26/01/2017,844.1595,854.3000,-0.81,861.3000,861.3000,860.0000,852.0000,77836316,664956,382267,44719,48,,,71236316.00,
25/01/2017,851.0764,861.3000,-0.09,860.0000,862.1000,863.0000,855.1000,77836316,670404,518612,60377,61,,,71236316.00,
24/01/2017,851.8669,862.1000,0.91,852.0000,854.3000,874.6000,852.0000,77836316,671027,359338,41913,58,,,71236316.00,
23/01/2017,844.1595,854.3000,-2.43,875.1000,875.6000,877.0000,852.1000,77836316,664956,860829,99939,113,,,71236316.00,
22/01/2017,865.2066,875.6000,-1.57,889.6000,889.6000,898.1000,875.1000,77836316,681535,356502,40468,69,,,71236316.00,
19/01/2017,879.0404,889.6000,-1.37,902.0000,902.0000,906.1000,886.5000,77836316,692432,292869,32763,43,,,71236316.00,
18/01/2017,891.2933,902.0000,-0.32,904.9000,904.9000,909.8000,896.1000,77836316,702084,188768,20894,42,,,71236316.00,
17/01/2017,894.1588,904.9000,2.53,882.6000,882.6000,907.9000,877.1000,77836316,704341,441225,49463,94,,,71236316.00,
16/01/2017,872.1235,882.6000,-0.11,883.6000,883.6000,886.6000,877.0000,77836316,686983,246626,27974,53,,,71236316.00,
15/01/2017,873.1117,883.6000,2.34,860.0000,863.4000,898.0000,860.0000,77836316,687762,594753,67600,86,,,71236316.00,
12/01/2017,853.1514,863.4000,-0.56,889.0000,868.3000,889.0000,861.0000,77836316,672039,800343,91375,124,,,71236316.00,
11/01/2017,857.9933,868.3000,-1.70,883.3000,883.3000,908.6000,865.0000,77836316,675853,913911,103528,89,,,71236316.00,
10/01/2017,872.8152,883.3000,-0.91,891.4000,891.4000,905.0000,877.0000,77836316,687528,809993,91355,141,,,71236316.00,
09/01/2017,880.8191,891.4000,-1.71,916.0000,906.9000,934.2000,890.0000,77836316,693833,1891827,207496,267,,,71236316.00,
08/01/2017,896.1351,906.9000,1.62,892.4000,892.4000,943.0000,892.4000,77836316,705898,1730367,190324,242,,,71236316.00,
05/01/2017,881.8072,892.4000,-0.34,895.4000,895.4000,908.9000,877.3000,77836316,694611,905448,100700,128,,,71236316.00,
04/01/2017,884.7716,895.4000,-0.08,896.1000,896.1000,905.2000,892.3000,77836316,696946,501621,55873,66,,,71236316.00,
03/01/2017,885.4633,896.1000,1.14,889.7000,886.0000,900.9000,889.7000,77836316,697491,477237,53464,61,,,71236316.00,
02/01/2017,875.4832,886.0000,3.55,855.6000,855.6000,889.0000,855.6000,77836316,689630,908549,102837,93,,,71236316.00,
01/01/2017,845.4440,855.6000,1.25,845.0000,845.0000,863.7000,850.2000,77836316,665968,70962,8298,17,,,71236316.00,
29/12/2016,834.9699,845.0000,-3.24,873.2000,873.3000,874.3000,840.0000,77836316,657717,263617,30903,43,,,71236316.00,
28/12/2016,862.9339,873.3000,3.19,846.3000,846.3000,885.0000,842.9000,77836316,679745,222071,25726,42,,,71236316.00,
27/12/2016,836.2544,846.3000,-1.14,856.1000,856.1000,852.0000,830.8000,77836316,658729,402204,47434,76,,,71236316.00,
26/12/2016,845.9381,856.1000,-0.63,861.5000,861.5000,868.1000,848.9000,77836316,666357,316584,36678,33,,,71236316.00,
25/12/2016,851.2740,861.5000,-1.17,871.7000,871.7000,871.7000,855.5000,77836316,670560,97269,11245,32,,,71236316.00,
22/12/2016,861.3529,871.7000,-0.47,875.8000,875.8000,885.0000,869.7000,77836316,678499,564277,64299,66,,,71236316.00,
21/12/2016,865.4043,875.8000,0.47,866.0000,871.7000,890.7000,865.8000,77836316,681690,672925,76687,71,,,71236316.00,
20/12/2016,861.3529,871.7000,-0.60,877.0000,877.0000,880.0000,841.0000,77836316,678499,646078,74190,54,,,71236316.00,
19/12/2016,866.5900,877.0000,-0.20,878.8000,878.8000,888.6000,865.0000,77836316,682624,430387,49152,62,,,71236316.00,
18/12/2016,868.3686,878.8000,0.50,874.4000,874.4000,885.1000,875.0000,77836316,684026,50715,5773,17,,,71236316.00,
15/12/2016,864.0209,874.4000,-4.01,901.8000,910.9000,901.8000,870.1000,77836316,680601,111856,12748,40,,,71236316.00,
14/12/2016,900.0876,910.9000,0.53,906.1000,906.1000,919.8000,908.8000,77836316,709011,276249,30263,55,,,71236316.00,
13/12/2016,895.3446,906.1000,2.22,886.4000,886.4000,908.6000,891.9000,77836316,705275,219946,24294,53,,,71236316.00,
12/12/2016,875.8784,886.4000,-0.19,888.1000,888.1000,894.3000,873.0000,77836316,689941,174716,19706,61,EX D,0.98799,71236316.00,
