Historical Prices - REIT 1 - 01098920
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1302.0000,1302.0000,-0.69,1318.0000,1311.0000,1330.0000,1302.0000,165127945,2149966,3279187,250698,348,,,164620232.00,
28/05/2017,1311.0000,1311.0000,-0.83,1334.0000,1322.0000,1334.0000,1308.0000,165127945,2164827,1511301,114433,245,,,164620232.00,
25/05/2017,1322.0000,1322.0000,-2.15,1357.0000,1351.0000,1357.0000,1314.0000,164653577,2176720,8963399,674234,491,,,164620232.00,
24/05/2017,1351.0000,1351.0000,0.00,1357.0000,1351.0000,1358.0000,1340.0000,164653577,2224470,2268151,168105,244,EX D,0.98974,164620232.00,
23/05/2017,1350.9951,1365.0000,2.09,1337.0000,1337.0000,1365.0000,1332.0000,164653577,2247521,4829333,357541,482,,,164620232.00,
22/05/2017,1323.2824,1337.0000,2.85,1299.0000,1300.0000,1341.0000,1292.0000,164653577,2201418,5886914,446636,461,,,164620232.00,
21/05/2017,1286.6620,1300.0000,1.72,1299.0000,1278.0000,1308.0000,1293.0000,164620232,2140063,2195354,168860,224,,,164620232.00,
18/05/2017,1264.8877,1278.0000,-0.54,1280.0000,1285.0000,1296.0000,1268.0000,164620232,2103847,5170502,404079,459,,,164620232.00,
17/05/2017,1271.8159,1285.0000,-2.73,1320.0000,1321.0000,1328.0000,1270.0000,164620232,2115370,4111854,315044,506,,,164620232.00,
16/05/2017,1307.4465,1321.0000,1.62,1300.0000,1300.0000,1323.0000,1300.0000,164620232,2174633,5035096,382564,789,,,164620232.00,
15/05/2017,1286.6620,1300.0000,1.64,1279.0000,1279.0000,1303.0000,1279.0000,164620232,2140063,3996920,308152,426,,,164620232.00,
14/05/2017,1265.8775,1279.0000,-0.54,1287.0000,1286.0000,1292.0000,1279.0000,164620232,2105493,1986131,154456,329,,,164620232.00,
11/05/2017,1272.8056,1286.0000,0.70,1277.0000,1277.0000,1286.0000,1269.0000,164620232,2117016,2642935,207000,238,,,164620232.00,
10/05/2017,1263.8980,1277.0000,1.03,1260.0000,1264.0000,1277.0000,1259.0000,164620232,2102200,2137070,168212,247,,,164620232.00,
09/05/2017,1251.0314,1264.0000,0.32,1264.0000,1260.0000,1265.0000,1248.0000,164620232,2080800,3773501,300135,288,,,164620232.00,
08/05/2017,1247.0724,1260.0000,-0.79,1269.0000,1270.0000,1269.0000,1256.0000,164620232,2074215,4115652,325792,262,,,164620232.00,
07/05/2017,1256.9698,1270.0000,1.03,1260.0000,1257.0000,1270.0000,1248.0000,164620232,2090677,1962451,155423,212,,,164620232.00,
04/05/2017,1244.1032,1257.0000,0.72,1248.0000,1248.0000,1265.0000,1242.0000,164620232,2069276,3009116,240006,284,,,163979251.00,
03/05/2017,1235.1955,1248.0000,1.88,1231.0000,1225.0000,1250.0000,1227.0000,164620232,2054461,2616695,210420,308,,,163979251.00,
30/04/2017,1212.4315,1225.0000,0.00,1233.0000,1225.0000,1233.0000,1225.0000,164620232,2016598,1336807,108938,144,,,163979251.00,
27/04/2017,1212.4315,1225.0000,0.66,1222.0000,1217.0000,1228.0000,1218.0000,164620232,2016598,3643153,298049,342,,,163979251.00,
26/04/2017,1204.5136,1217.0000,0.16,1215.0000,1215.0000,1220.0000,1213.0000,164620232,2003428,3483791,286277,278,,,163979251.00,
25/04/2017,1202.5341,1215.0000,0.08,1214.0000,1214.0000,1220.0000,1207.0000,164620232,2000136,4724088,390215,277,,,163979251.00,
24/04/2017,1201.5444,1214.0000,0.00,1212.0000,1214.0000,1225.0000,1211.0000,164620232,1998490,2358810,193868,295,,,163979251.00,
23/04/2017,1201.5444,1214.0000,-1.30,1230.0000,1230.0000,1230.0000,1212.0000,164620232,1998490,2165510,177288,243,,,163979251.00,
20/04/2017,1217.3802,1230.0000,-1.20,1245.0000,1245.0000,1245.0000,1210.0000,164620232,2024829,5343137,432849,278,,,163979251.00,
19/04/2017,1232.2263,1245.0000,2.64,1219.0000,1213.0000,1245.0000,1210.0000,164620232,2049522,2803424,227457,417,,,163979251.00,
18/04/2017,1200.5546,1213.0000,0.75,1204.0000,1204.0000,1216.0000,1202.0000,164620232,1996843,1921451,159231,243,,,163979251.00,
13/04/2017,1191.6470,1204.0000,-1.71,1225.0000,1225.0000,1230.0000,1204.0000,164620232,1982028,2568868,212131,279,,,163979251.00,
12/04/2017,1212.4315,1225.0000,-0.89,1237.0000,1236.0000,1243.0000,1216.0000,164620232,2016598,1825512,148516,228,,,163979251.00,
09/04/2017,1223.3186,1236.0000,-2.52,1263.0000,1268.0000,1265.0000,1235.0000,164620232,2034706,3237229,258756,318,,,163979251.00,
06/04/2017,1254.9903,1268.0000,0.00,1257.0000,1268.0000,1268.0000,1242.0000,164230653,2082445,8117124,643952,411,,,163947279.00,
05/04/2017,1254.9903,1268.0000,1.85,1245.0000,1245.0000,1268.0000,1240.0000,164230653,2082445,3888206,310530,391,,,163947279.00,
04/04/2017,1232.2263,1245.0000,2.38,1215.0000,1216.0000,1245.0000,1215.0000,164230653,2044672,2580179,209110,279,,,163947279.00,
03/04/2017,1203.5238,1216.0000,0.75,1207.0000,1207.0000,1225.0000,1207.0000,164125378,1995765,4825721,396942,364,,,163947279.00,
02/04/2017,1194.6162,1207.0000,0.33,1213.0000,1203.0000,1213.0000,1193.0000,164125378,1980993,4485759,372833,283,,,163947279.00,
30/03/2017,1190.6572,1203.0000,0.08,1208.0000,1202.0000,1210.0000,1202.0000,164125378,1974428,1762271,146246,196,,,163947279.00,
29/03/2017,1189.6675,1202.0000,0.17,1200.0000,1200.0000,1210.0000,1198.0000,164125378,1972787,2477373,205835,204,,,163947279.00,
28/03/2017,1187.6880,1200.0000,-0.17,1203.0000,1202.0000,1210.0000,1189.0000,164070092,1968841,2450244,204747,232,,,163947279.00,
27/03/2017,1189.6675,1202.0000,-0.91,1213.0000,1213.0000,1213.0000,1200.0000,164070092,1972123,5468946,453529,485,,,163947279.00,
26/03/2017,1200.5546,1213.0000,-0.16,1215.0000,1215.0000,1219.0000,1210.0000,164070092,1990170,2316649,190726,221,,,163947279.00,
23/03/2017,1202.5341,1215.0000,1.93,1193.0000,1192.0000,1215.0000,1193.0000,164070092,1993452,2009641,166711,237,EX D,0.98757,163947279.00,
22/03/2017,1179.7671,1207.0000,0.08,1205.0000,1206.0000,1210.0000,1198.0000,164070092,1980326,2765891,229739,234,,,163947279.00,
21/03/2017,1178.7896,1206.0000,0.75,1198.0000,1197.0000,1229.0000,1196.0000,164070092,1978685,5864677,484947,339,,,163947279.00,
20/03/2017,1169.9927,1197.0000,1.35,1185.0000,1181.0000,1199.0000,1184.0000,164070092,1963919,2707315,227086,320,,,163947279.00,
19/03/2017,1154.3538,1181.0000,-0.34,1185.0000,1185.0000,1189.0000,1170.0000,163979251,1936595,3315453,280578,461,,,163947279.00,
16/03/2017,1158.2635,1185.0000,0.34,1195.0000,1181.0000,1200.0000,1181.0000,163979251,1943154,10345904,871118,388,,,163947279.00,
15/03/2017,1154.3538,1181.0000,-0.34,1190.0000,1185.0000,1192.0000,1174.0000,163979251,1936595,4618586,390366,307,,,163947279.00,
14/03/2017,1158.2635,1185.0000,0.59,1181.0000,1178.0000,1190.0000,1179.0000,163979251,1943154,1963787,165744,440,,,163947279.00,
13/03/2017,1151.4215,1178.0000,-1.09,1190.0000,1191.0000,1190.0000,1173.0000,163979251,1931676,2807028,237507,300,,,163947279.00,
09/03/2017,1164.1281,1191.0000,-0.67,1195.0000,1199.0000,1199.0000,1186.0000,163979251,1952993,4944401,413480,320,,,163947279.00,
08/03/2017,1171.9476,1199.0000,1.35,1190.0000,1183.0000,1200.0000,1187.0000,163979251,1966111,2170738,181594,238,,,163947279.00,
07/03/2017,1156.3086,1183.0000,0.77,1173.0000,1174.0000,1188.0000,1162.0000,163979251,1939875,3262776,276296,298,,,163947279.00,
06/03/2017,1147.5117,1174.0000,-0.17,1170.0000,1176.0000,1175.0000,1158.0000,163979251,1925116,1741901,149257,207,,,163947279.00,
05/03/2017,1149.4665,1176.0000,-0.34,1176.0000,1180.0000,1181.0000,1170.0000,163979251,1928396,12597510,1071865,234,,,163947279.00,
02/03/2017,1153.3763,1180.0000,1.46,1163.0000,1163.0000,1180.0000,1155.0000,163979251,1934955,5053778,430131,278,,,163947279.00,
01/03/2017,1136.7598,1163.0000,1.93,1142.0000,1141.0000,1163.0000,1142.0000,163947279,1906707,8742243,756819,314,,,163947279.00,
28/02/2017,1115.2563,1141.0000,0.26,1135.0000,1138.0000,1154.0000,1135.0000,163947279,1870638,3427725,299428,252,,,163947279.00,
27/02/2017,1112.3240,1138.0000,-1.64,1162.0000,1157.0000,1162.0000,1133.0000,163947279,1865720,39773655,3491593,386,,,163947279.00,
26/02/2017,1130.8952,1157.0000,-0.60,1165.0000,1164.0000,1166.0000,1154.0000,163947279,1896870,3517738,303903,164,,,163947279.00,
23/02/2017,1137.7373,1164.0000,0.26,1156.0000,1161.0000,1166.0000,1155.0000,163947279,1908346,2945184,253739,163,,,163947279.00,
22/02/2017,1134.8050,1161.0000,0.61,1149.0000,1154.0000,1163.0000,1149.0000,163947279,1903428,2541307,219619,455,,,163947279.00,
21/02/2017,1127.9629,1154.0000,-0.52,1155.0000,1160.0000,1158.0000,1147.0000,163947279,1891952,7848406,681494,457,,,163947279.00,
20/02/2017,1133.8275,1160.0000,-0.17,1162.0000,1162.0000,1165.0000,1156.0000,163947279,1901788,7011510,604928,195,,,163947279.00,
19/02/2017,1135.7824,1162.0000,0.09,1168.0000,1161.0000,1168.0000,1160.0000,163947279,1905067,1795103,154339,168,,,163947279.00,
16/02/2017,1134.8050,1161.0000,0.09,1160.0000,1160.0000,1166.0000,1150.0000,163947279,1903428,3251793,280537,301,,,163947279.00,
15/02/2017,1133.8275,1160.0000,-0.60,1160.0000,1167.0000,1167.0000,1150.0000,163947279,1901788,2548501,219935,301,,,163947279.00,
14/02/2017,1140.6696,1167.0000,0.60,1152.0000,1160.0000,1168.0000,1152.0000,163947279,1913265,1483203,127820,190,,,163947279.00,
13/02/2017,1133.8275,1160.0000,1.13,1149.0000,1147.0000,1165.0000,1144.0000,163947279,1901788,7357699,638415,448,,,163947279.00,
12/02/2017,1121.1209,1147.0000,0.97,1138.0000,1136.0000,1148.0000,1133.0000,163947279,1880475,3191457,279558,282,,,163947279.00,
09/02/2017,1110.3690,1136.0000,0.53,1130.0000,1130.0000,1136.0000,1127.0000,163947279,1862441,25310537,2230825,493,,,159581199.00,
08/02/2017,1104.5044,1130.0000,1.44,1128.0000,1114.0000,1133.0000,1118.0000,163947279,1852604,6834291,606483,376,,,159581199.00,
07/02/2017,1088.8654,1114.0000,-0.71,1119.0000,1122.0000,1134.0000,1114.0000,163947279,1826373,4784005,424694,461,,,159581199.00,
06/02/2017,1096.6849,1122.0000,1.72,1104.0000,1103.0000,1124.0000,1103.0000,163947279,1839488,4690070,421433,457,,,159581199.00,
05/02/2017,1078.1136,1103.0000,0.00,1103.0000,1103.0000,1107.0000,1100.0000,163947279,1808338,2108227,191121,179,,,159581199.00,
02/02/2017,1078.1136,1103.0000,-1.08,1118.0000,1115.0000,1118.0000,1103.0000,163947279,1808338,1992515,179954,227,,,159581199.00,
01/02/2017,1089.8429,1115.0000,0.45,1110.0000,1110.0000,1120.0000,1110.0000,163947279,1828012,4919684,440572,217,,,159581199.00,
31/01/2017,1084.9557,1110.0000,0.63,1100.0000,1103.0000,1116.0000,1100.0000,163947279,1819815,1302660,117688,189,,,159581199.00,
30/01/2017,1078.1136,1103.0000,0.00,1106.0000,1103.0000,1108.0000,1099.0000,163947279,1808338,1228811,111284,177,,,159581199.00,
29/01/2017,1078.1136,1103.0000,-0.45,1107.0000,1108.0000,1111.0000,1103.0000,163947279,1808338,2357569,212969,226,,,159581199.00,
26/01/2017,1083.0008,1108.0000,-0.27,1107.0000,1111.0000,1112.0000,1096.0000,163947279,1816536,3246138,293209,357,,,159581199.00,
25/01/2017,1085.9331,1111.0000,0.36,1092.0000,1107.0000,1116.0000,1092.0000,163947279,1821454,2194070,197885,231,,,159581199.00,
24/01/2017,1082.0234,1107.0000,0.82,1100.0000,1098.0000,1117.0000,1100.0000,163947279,1814896,7349932,662611,482,,,159581199.00,
23/01/2017,1073.2264,1098.0000,-1.52,1117.0000,1115.0000,1118.0000,1085.0000,163947279,1800141,5953468,537091,494,,,159581199.00,
22/01/2017,1089.8429,1115.0000,-0.27,1115.0000,1118.0000,1124.0000,1115.0000,163947279,1828012,3706348,330838,244,,,159581199.00,
19/01/2017,1092.7752,1118.0000,-0.36,1115.0000,1122.0000,1125.0000,1115.0000,163947279,1832931,3027173,270138,272,,,159581199.00,
18/01/2017,1096.6849,1122.0000,-0.36,1126.0000,1126.0000,1126.0000,1118.0000,163947279,1839488,7296223,650724,208,,,159581199.00,
17/01/2017,1100.5946,1126.0000,0.45,1120.0000,1121.0000,1126.0000,1117.0000,163947279,1846046,2408888,214490,271,,,159581199.00,
16/01/2017,1095.7075,1121.0000,0.63,1115.0000,1114.0000,1128.0000,1115.0000,163947279,1837849,3162021,281813,315,,,159581199.00,
15/01/2017,1088.8654,1114.0000,-1.24,1132.0000,1128.0000,1132.0000,1109.0000,163947279,1826373,2920501,260321,383,,,159581199.00,
12/01/2017,1102.5496,1128.0000,-0.53,1135.0000,1134.0000,1135.0000,1124.0000,163947279,1849325,2757188,244691,294,,,159581199.00,
11/01/2017,1108.4142,1134.0000,0.44,1134.0000,1129.0000,1136.0000,1122.0000,163947279,1859162,3137996,277851,294,,,159581199.00,
10/01/2017,1103.5269,1129.0000,0.00,1129.0000,1129.0000,1131.0000,1122.0000,163920793,1850666,7216615,642002,273,,,159581199.00,
09/01/2017,1103.5269,1129.0000,0.27,1126.0000,1126.0000,1134.0000,1115.0000,163920793,1850666,4619718,410836,380,,,159581199.00,
08/01/2017,1100.5946,1126.0000,0.36,1122.0000,1122.0000,1130.0000,1122.0000,163920793,1845748,1601971,142378,172,,,159581199.00,
05/01/2017,1096.6849,1122.0000,-0.18,1120.0000,1124.0000,1129.0000,1116.0000,163920793,1839191,2183229,194445,228,,,159581199.00,
04/01/2017,1098.6398,1124.0000,-0.53,1129.0000,1130.0000,1145.0000,1122.0000,163920793,1842470,4317725,383059,379,,,159581199.00,
03/01/2017,1104.5044,1130.0000,1.62,1116.0000,1112.0000,1132.0000,1116.0000,163920793,1852305,5789874,516106,410,,,159581199.00,
02/01/2017,1086.9105,1112.0000,2.49,1089.0000,1085.0000,1116.0000,1084.0000,163920793,1822799,5853995,529721,406,,,159581199.00,
01/01/2017,1060.5198,1085.0000,2.17,1062.0000,1062.0000,1087.0000,1061.0000,163920793,1778541,2964774,276636,306,,,159581199.00,
29/12/2016,1038.0386,1062.0000,-0.75,1070.0000,1070.0000,1071.0000,1062.0000,163920793,1740839,5285219,496147,345,,,159581199.00,
28/12/2016,1045.8582,1070.0000,0.47,1065.0000,1065.0000,1075.0000,1063.0000,163920793,1753952,4331968,405105,362,,,159581199.00,
27/12/2016,1040.9710,1065.0000,0.28,1063.0000,1062.0000,1067.0000,1056.0000,163920793,1745756,7283920,685996,341,,,159581199.00,
26/12/2016,1038.0386,1062.0000,-0.47,1067.0000,1067.0000,1071.0000,1056.0000,163920793,1740839,6726760,632578,301,,,159581199.00,
25/12/2016,1042.9259,1067.0000,-0.93,1077.0000,1077.0000,1078.0000,1067.0000,163920793,1749035,2716730,253603,237,,,159581199.00,
22/12/2016,1052.7002,1077.0000,-0.46,1082.0000,1082.0000,1083.0000,1075.0000,163920793,1765427,2055562,190664,200,,,159581199.00,
21/12/2016,1057.5874,1082.0000,-0.82,1090.0000,1091.0000,1098.0000,1081.0000,163920793,1773623,1938606,178394,235,,,159581199.00,
20/12/2016,1066.3844,1091.0000,0.74,1083.0000,1083.0000,1095.0000,1076.0000,163920793,1788376,3074744,283529,275,,,159581199.00,
19/12/2016,1058.5648,1083.0000,0.84,1077.0000,1074.0000,1090.0000,1074.0000,163920793,1775262,2396153,221415,264,,,159581199.00,
18/12/2016,1049.7679,1074.0000,0.37,1071.0000,1070.0000,1084.0000,1071.0000,163920793,1760509,2289070,212817,269,,,159581199.00,
15/12/2016,1045.8582,1070.0000,-2.28,1091.0000,1095.0000,1091.0000,1068.0000,163920793,1753952,4388449,407788,415,,,159581199.00,
14/12/2016,1070.2941,1095.0000,-1.53,1112.0000,1112.0000,1113.0000,1092.0000,163909446,1794808,3536441,320715,440,,,159581199.00,
13/12/2016,1086.9105,1112.0000,-0.09,1113.0000,1113.0000,1124.0000,1112.0000,163909446,1822673,1772814,158516,226,,,159581199.00,
12/12/2016,1087.8880,1113.0000,-1.07,1130.0000,1125.0000,1130.0000,1112.0000,163909446,1824312,1036561,92625,152,,,159581199.00,
11/12/2016,1099.6173,1125.0000,1.17,1115.0000,1112.0000,1125.0000,1113.0000,163909446,1843981,1547263,138136,209,EX D,0.98844,159581199.00,
08/12/2016,1086.9056,1125.0000,0.54,1118.0000,1119.0000,1130.0000,1117.0000,163909446,1843981,1927725,171374,196,,,159581199.00,
07/12/2016,1081.1088,1119.0000,-0.18,1121.0000,1121.0000,1125.0000,1114.0000,163909446,1834147,1748364,156325,202,,,159581199.00,
06/12/2016,1083.0410,1121.0000,-0.44,1125.0000,1126.0000,1132.0000,1118.0000,163909446,1837425,2275752,202283,234,,,159581199.00,
05/12/2016,1087.8717,1126.0000,0.99,1109.0000,1115.0000,1135.0000,1108.0000,163909446,1845620,3016645,269722,615,,,159581199.00,
04/12/2016,1077.2443,1115.0000,-0.27,1117.0000,1118.0000,1125.0000,1114.0000,163909446,1827590,785092,70222,143,,,159581199.00,
01/12/2016,1080.1427,1118.0000,-0.62,1124.0000,1125.0000,1128.0000,1116.0000,163909446,1832508,4884381,436023,218,,,159581199.00,
30/11/2016,1086.9056,1125.0000,-0.44,1131.0000,1130.0000,1148.0000,1125.0000,163837398,1843171,3961414,350344,326,,,159581199.00,
29/11/2016,1091.7364,1130.0000,1.07,1108.0000,1118.0000,1131.0000,1108.0000,163837398,1851363,2726427,243174,309,,,159581199.00,
28/11/2016,1080.1427,1118.0000,0.90,1108.0000,1108.0000,1123.0000,1105.0000,163837398,1831702,2898531,260239,263,,,159581199.00,
27/11/2016,1070.4813,1108.0000,0.00,1108.0000,1108.0000,1114.0000,1108.0000,163837398,1815318,881182,79403,121,,,159581199.00,
24/11/2016,1070.4813,1108.0000,0.36,1105.0000,1104.0000,1118.0000,1104.0000,163837398,1815318,2583458,232485,208,,,159581199.00,
23/11/2016,1066.6168,1104.0000,-1.25,1117.0000,1118.0000,1128.0000,1104.0000,163837398,1808765,2343372,210424,217,,,159581199.00,
22/11/2016,1080.1427,1118.0000,0.27,1125.0000,1115.0000,1130.0000,1118.0000,163837398,1831702,4156609,370382,245,,,159581199.00,
21/11/2016,1077.2443,1115.0000,0.54,1110.0000,1109.0000,1132.0000,1110.0000,163837398,1826787,4141002,368929,394,,,159581199.00,
20/11/2016,1071.4475,1109.0000,0.00,1100.0000,1109.0000,1112.0000,1097.0000,163837398,1816957,2305982,208532,300,,,159581199.00,
17/11/2016,1071.4475,1109.0000,-1.77,1126.0000,1129.0000,1131.0000,1109.0000,163809106,1816643,4184111,373017,313,,,159581199.00,
16/11/2016,1090.7703,1129.0000,3.96,1083.0000,1086.0000,1139.0000,1083.0000,163809106,1849405,9476440,847944,693,,,159581199.00,
