Historical Prices - SCHNAPP - 01103571
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3261.0000,3261.0000,-8.04,3555.0000,3546.0000,3578.0000,3233.0000,12694897,413981,1674877,49147,90,,,12694897.00,
28/05/2017,3546.0000,3546.0000,-0.31,3557.0000,3557.0000,3593.0000,3469.0000,12694897,450161,587797,16644,41,,,12694897.00,
25/05/2017,3557.0000,3557.0000,-0.08,3560.0000,3560.0000,3593.0000,3543.0000,12694897,451557,446921,12524,23,,,12694897.00,
24/05/2017,3560.0000,3560.0000,0.79,3548.0000,3532.0000,3580.0000,3466.0000,12694897,451938,552062,15535,46,,,12694897.00,
23/05/2017,3532.0000,3532.0000,0.97,3498.0000,3498.0000,3544.0000,3516.0000,12694897,448384,70848,2006,17,,,12694897.00,
22/05/2017,3498.0000,3498.0000,0.52,3480.0000,3480.0000,3534.0000,3386.0000,12694897,444068,337762,9704,31,,,12694897.00,
21/05/2017,3480.0000,3480.0000,0.75,3454.0000,3454.0000,3500.0000,3480.0000,12694897,441782,383925,11023,35,,,12694897.00,
18/05/2017,3454.0000,3454.0000,-1.17,3495.0000,3495.0000,3501.0000,3376.0000,12694897,438482,213393,6149,42,,,12694897.00,
17/05/2017,3495.0000,3495.0000,-0.34,3507.0000,3507.0000,3535.0000,3427.0000,12694897,443687,534542,15309,61,,,12694897.00,
16/05/2017,3507.0000,3507.0000,1.12,3468.0000,3468.0000,3562.0000,3423.0000,12694897,445210,203328,5739,23,,,12694897.00,
15/05/2017,3468.0000,3468.0000,0.96,3435.0000,3435.0000,3520.0000,3399.0000,12694897,440259,273685,7861,26,,,12694897.00,
14/05/2017,3435.0000,3435.0000,1.72,3377.0000,3377.0000,3435.0000,3349.0000,12694897,436070,531332,15605,37,,,12694897.00,
11/05/2017,3377.0000,3377.0000,0.06,3375.0000,3375.0000,3437.0000,3325.0000,12694897,428707,696092,20630,35,,,12694897.00,
10/05/2017,3375.0000,3375.0000,-0.15,3380.0000,3380.0000,3450.0000,3345.0000,12694897,428453,992372,29287,47,,,12694897.00,
09/05/2017,3380.0000,3380.0000,0.78,3354.0000,3354.0000,3462.0000,3321.0000,12694897,429088,242889,7167,42,,,12694897.00,
08/05/2017,3354.0000,3354.0000,1.02,3320.0000,3320.0000,3380.0000,3301.0000,12694897,425787,109446,3274,15,,,12694897.00,
07/05/2017,3320.0000,3320.0000,-0.54,3340.0000,3338.0000,3399.0000,3303.0000,12694897,421471,895666,26944,30,,,12694897.00,
04/05/2017,3338.0000,3338.0000,-0.54,3356.0000,3356.0000,3400.0000,3264.0000,12694897,423756,1024336,30664,48,,,12694897.00,
03/05/2017,3356.0000,3356.0000,-1.55,3409.0000,3409.0000,3430.0000,3320.0000,12694897,426041,240153,7190,48,,,12694897.00,
30/04/2017,3409.0000,3409.0000,-1.96,3477.0000,3477.0000,3520.0000,3407.0000,12694897,432769,586812,17119,36,,,12694897.00,
27/04/2017,3477.0000,3477.0000,2.11,3405.0000,3405.0000,3525.0000,3362.0000,12694897,441402,835212,24550,70,,,12694897.00,
26/04/2017,3405.0000,3405.0000,-1.42,3454.0000,3454.0000,3497.0000,3390.0000,12694897,432261,102155,2988,28,,,12694897.00,
25/04/2017,3454.0000,3454.0000,1.17,3414.0000,3414.0000,3500.0000,3350.0000,12694897,438482,185327,5381,29,,,12694897.00,
24/04/2017,3414.0000,3414.0000,-0.76,3440.0000,3440.0000,3518.0000,3390.0000,12694897,433404,200433,5839,41,,,12694897.00,
23/04/2017,3440.0000,3440.0000,-0.12,3444.0000,3444.0000,3523.0000,3419.0000,12694897,436704,572180,16587,40,,,12694897.00,
20/04/2017,3444.0000,3444.0000,0.29,3434.0000,3434.0000,3451.0000,3390.0000,12694897,437212,366031,10660,45,,,12694897.00,
19/04/2017,3434.0000,3434.0000,-0.32,3445.0000,3445.0000,3466.0000,3367.0000,12694897,435943,138940,4058,25,,,12694897.00,
18/04/2017,3445.0000,3445.0000,1.06,3409.0000,3409.0000,3479.0000,3329.0000,12694897,437339,200969,5906,44,,,12694897.00,
13/04/2017,3409.0000,3409.0000,-1.30,3454.0000,3454.0000,3478.0000,3385.0000,12694897,432769,130815,3821,32,,,12694897.00,
12/04/2017,3454.0000,3454.0000,1.02,3419.0000,3419.0000,3523.0000,3383.0000,12694897,438482,269036,7730,41,,,12694897.00,
09/04/2017,3419.0000,3419.0000,0.89,3389.0000,3389.0000,3549.0000,3385.0000,12694897,434039,100968,2936,41,EX D,0.98289,12694897.00,
06/04/2017,3389.0047,3448.0000,0.00,3448.0000,3448.0000,3457.0000,3353.0000,12694897,437720,443987,12966,63,,,12694897.00,
05/04/2017,3389.0047,3448.0000,1.68,3391.0000,3391.0000,3599.0000,3310.0000,12694897,437720,649237,19024,104,,,12694897.00,
04/04/2017,3332.9800,3391.0000,-3.39,3510.0000,3510.0000,3490.0000,3382.0000,12694897,430484,281514,8277,69,,,12694897.00,
03/04/2017,3449.9439,3510.0000,-0.28,3520.0000,3520.0000,3559.0000,3491.0000,12694897,445591,156946,4449,34,,,12694897.00,
02/04/2017,3459.7728,3520.0000,-0.76,3600.0000,3547.0000,3600.0000,3498.0000,12694897,446860,181359,5110,42,,,12694897.00,
30/03/2017,3486.3108,3547.0000,1.34,3500.0000,3500.0000,3598.0000,3496.0000,12694897,450288,237928,6746,45,,,12694897.00,
29/03/2017,3440.1150,3500.0000,3.70,3375.0000,3375.0000,3506.0000,3388.0000,12694897,444321,677579,19464,104,,,12694897.00,
28/03/2017,3317.2538,3375.0000,0.27,3366.0000,3366.0000,3403.0000,3338.0000,12694897,428453,70830,2103,21,,,12694897.00,
27/03/2017,3308.4077,3366.0000,-0.15,3371.0000,3371.0000,3400.0000,3300.0000,12694897,427310,229681,6869,37,,,12694897.00,
26/03/2017,3313.3222,3371.0000,-0.53,3389.0000,3389.0000,3402.0000,3370.0000,12694897,427945,222062,6578,27,,,12694897.00,
23/03/2017,3331.0142,3389.0000,0.21,3382.0000,3382.0000,3434.0000,3370.0000,12694897,430230,333842,9859,49,,,12694897.00,
22/03/2017,3324.1340,3382.0000,-0.47,3396.0000,3398.0000,3433.0000,3333.0000,12694897,429341,75058,2221,27,,,12694897.00,
21/03/2017,3339.8602,3398.0000,0.68,3375.0000,3375.0000,3437.0000,3359.0000,12694897,431373,360759,10587,41,,,12694897.00,
20/03/2017,3317.2538,3375.0000,0.36,3363.0000,3363.0000,3404.0000,3365.0000,12694897,428453,35131,1041,10,,,12694897.00,
19/03/2017,3305.4591,3363.0000,0.03,3362.0000,3362.0000,3397.0000,3337.0000,12694897,426929,75951,2257,18,,,12694897.00,
16/03/2017,3304.4762,3362.0000,0.54,3344.0000,3344.0000,3387.0000,3344.0000,12694897,426802,89271,2659,22,,,12694897.00,
15/03/2017,3286.7842,3344.0000,-0.62,3365.0000,3365.0000,3444.0000,3315.0000,12694897,424517,333431,9954,57,,,12694897.00,
14/03/2017,3307.4249,3365.0000,-2.29,3444.0000,3444.0000,3469.0000,3281.0000,12694897,427183,425779,12480,74,,,12694897.00,
13/03/2017,3385.0732,3444.0000,1.74,3386.0000,3385.0000,3497.0000,3386.0000,12694897,437212,389009,11259,69,,,12694897.00,
09/03/2017,3327.0827,3385.0000,1.71,3328.0000,3328.0000,3420.0000,3290.0000,12694897,429722,192264,5732,50,,,12694897.00,
08/03/2017,3271.0579,3328.0000,1.59,3276.0000,3276.0000,3339.0000,3276.0000,12694897,422486,159545,4802,38,,,12694897.00,
07/03/2017,3219.9476,3276.0000,0.71,3253.0000,3253.0000,3297.0000,3239.0000,12694897,415885,133392,4072,33,,,12694897.00,
06/03/2017,3197.3412,3253.0000,0.93,3223.0000,3223.0000,3279.0000,3208.0000,12694897,412965,145053,4467,32,,,12694897.00,
05/03/2017,3167.8545,3223.0000,-1.44,3270.0000,3270.0000,3297.0000,3204.0000,12694897,409157,192673,5928,21,,,12694897.00,
02/03/2017,3214.0503,3270.0000,-0.73,3294.0000,3294.0000,3323.0000,3270.0000,12694897,415123,332483,10139,27,,,12694897.00,
01/03/2017,3237.6397,3294.0000,1.48,3246.0000,3246.0000,3298.0000,3290.0000,12694897,418170,32771,995,9,,,12694897.00,
28/02/2017,3190.4609,3246.0000,0.06,3244.0000,3244.0000,3299.0000,3216.0000,12694897,412076,212134,6535,36,,,12694897.00,
27/02/2017,3188.4952,3244.0000,-0.49,3260.0000,3260.0000,3298.0000,3205.0000,12694897,411822,261651,8084,30,,,12694897.00,
26/02/2017,3204.2214,3260.0000,0.12,3256.0000,3256.0000,3270.0000,3235.0000,12694897,413854,121662,3746,24,,,12694897.00,
23/02/2017,3200.2898,3256.0000,-0.34,3267.0000,3267.0000,3280.0000,3236.0000,12694897,413346,127677,3918,29,,,12694897.00,
22/02/2017,3211.1016,3267.0000,-0.43,3281.0000,3281.0000,3300.0000,3236.0000,12694897,414742,164719,5034,50,,,12694897.00,
21/02/2017,3224.8621,3281.0000,-0.03,3278.0000,3282.0000,3320.0000,3278.0000,12694897,416520,223259,6793,46,,,12694897.00,
20/02/2017,3225.8450,3282.0000,1.74,3226.0000,3226.0000,3290.0000,3226.0000,12694897,416647,195580,5957,37,,,12694897.00,
19/02/2017,3170.8031,3226.0000,1.38,3182.0000,3182.0000,3230.0000,3191.0000,12694897,409537,206633,6415,29,,,12694897.00,
16/02/2017,3127.5560,3182.0000,0.25,3174.0000,3174.0000,3194.0000,3100.0000,12694897,403952,393356,12470,60,,,12694897.00,
15/02/2017,3119.6929,3174.0000,-1.06,3210.0000,3208.0000,3211.0000,3160.0000,12694897,402936,146909,4617,32,,,12694897.00,
14/02/2017,3153.1111,3208.0000,0.79,3183.0000,3183.0000,3280.0000,3201.0000,12694897,407252,174375,5417,49,,,12694897.00,
13/02/2017,3128.5389,3183.0000,1.02,3151.0000,3151.0000,3189.0000,3149.0000,12694897,404079,340547,10754,47,,,12694897.00,
12/02/2017,3097.0864,3151.0000,-2.45,3230.0000,3230.0000,3222.0000,3130.0000,12694897,400016,419491,13289,86,,,12694897.00,
09/02/2017,3174.7347,3230.0000,-0.34,3260.0000,3241.0000,3273.0000,3198.0000,12694897,410045,9163277,283681,79,,,12155000.00,
08/02/2017,3185.5465,3241.0000,-0.80,3267.0000,3267.0000,3265.0000,3209.0000,12694897,411442,215796,6644,30,,,12155000.00,
07/02/2017,3211.1016,3267.0000,0.49,3251.0000,3251.0000,3296.0000,3250.0000,12694897,414742,23980,734,12,,,12155000.00,
