Historical Prices - SCOPE - 00288019
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,11890.0000,11890.0000,-0.92,12040.0000,12000.0000,12180.0000,11840.0000,10893872,1295281,1499710,12542,199,,,10893872.00,
28/05/2017,12000.0000,12000.0000,-0.74,12130.0000,12090.0000,12190.0000,11800.0000,10893872,1307265,2017358,16854,263,,,10893872.00,
25/05/2017,12090.0000,12090.0000,1.34,11970.0000,11930.0000,12200.0000,11900.0000,10893872,1317069,3378175,28045,328,,,10893872.00,
24/05/2017,11930.0000,11930.0000,2.40,11620.0000,11650.0000,11930.0000,11620.0000,10893872,1299639,3977537,33597,346,,,10893872.00,
23/05/2017,11650.0000,11650.0000,2.19,11400.0000,11400.0000,11650.0000,11400.0000,10893872,1269136,4388735,37919,333,,,10893872.00,
22/05/2017,11400.0000,11400.0000,2.98,11170.0000,11070.0000,11550.0000,11080.0000,10893872,1241901,4536048,39840,389,,,10893872.00,
21/05/2017,11070.0000,11070.0000,2.59,10820.0000,10790.0000,11280.0000,10820.0000,10893872,1205952,1646753,14924,206,,,10893872.00,
18/05/2017,10790.0000,10790.0000,-2.53,11000.0000,11070.0000,11000.0000,10780.0000,10893872,1175449,3046806,27989,324,,,10893872.00,
17/05/2017,11070.0000,11070.0000,-3.32,11420.0000,11450.0000,11420.0000,10980.0000,10893872,1205952,5108796,45988,480,,,10893872.00,
16/05/2017,11450.0000,11450.0000,4.09,11000.0000,11000.0000,11730.0000,10800.0000,10893872,1247348,5919736,51890,774,,,10893872.00,
15/05/2017,11000.0000,11000.0000,10.11,10000.0000,9990.0000,11000.0000,9912.0000,10893872,1198326,11092932,104964,653,,,10893872.00,
14/05/2017,9990.0000,9990.0000,-0.10,10000.0000,10000.0000,10090.0000,9901.0000,10893872,1088298,1223486,12261,142,,,10893872.00,
11/05/2017,10000.0000,10000.0000,-0.60,10060.0000,10060.0000,10170.0000,9906.0000,10893872,1089387,1803935,18030,283,,,10893872.00,
10/05/2017,10060.0000,10060.0000,-3.08,10300.0000,10380.0000,10360.0000,10000.0000,10893872,1095924,3230978,31953,500,,,10893872.00,
09/05/2017,10380.0000,10380.0000,1.76,10380.0000,10200.0000,10380.0000,10010.0000,10893872,1130784,2708326,26571,311,,,10893872.00,
08/05/2017,10200.0000,10200.0000,-0.87,10330.0000,10290.0000,10340.0000,9979.0000,10893872,1111175,2356354,23350,236,,,10893872.00,
07/05/2017,10290.0000,10290.0000,0.59,10230.0000,10230.0000,10370.0000,10220.0000,10893872,1120979,1724864,16765,160,,,10893872.00,
04/05/2017,10230.0000,10230.0000,0.89,10190.0000,10140.0000,10290.0000,10190.0000,10893872,1114443,5259475,51458,345,,,10893872.00,
03/05/2017,10140.0000,10140.0000,1.48,9992.0000,9992.0000,10180.0000,9972.0000,10893872,1104639,2215087,22008,246,,,10893872.00,
30/04/2017,9992.0000,9992.0000,-1.94,10190.0000,10190.0000,10190.0000,9894.0000,10893872,1088516,2214317,22062,206,,,10893872.00,
27/04/2017,10190.0000,10190.0000,-1.36,10490.0000,10330.0000,10490.0000,10120.0000,10893872,1110086,2285285,22241,225,,,10893872.00,
26/04/2017,10330.0000,10330.0000,0.78,10290.0000,10250.0000,10330.0000,10190.0000,10893872,1125337,1634204,15937,177,,,10893872.00,
25/04/2017,10250.0000,10250.0000,0.00,10250.0000,10250.0000,10350.0000,10120.0000,10893872,1116622,1470458,14405,185,,,10893872.00,
24/04/2017,10250.0000,10250.0000,2.09,10040.0000,10040.0000,10290.0000,10040.0000,10893872,1116622,2393092,23474,211,,,10893872.00,
23/04/2017,10040.0000,10040.0000,-0.69,10000.0000,10110.0000,10110.0000,9966.0000,10893872,1093745,1849448,18421,161,,,10893872.00,
20/04/2017,10110.0000,10110.0000,1.99,9943.0000,9913.0000,10120.0000,9930.0000,10893872,1101370,1273418,12689,170,,,10893872.00,
19/04/2017,9913.0000,9913.0000,1.15,9800.0000,9800.0000,10100.0000,9636.0000,10893872,1079910,2976893,29937,274,,,10893872.00,
