Historical Prices - SELLA REAL EST - 01109644
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,708.0000,708.0000,-1.10,716.0000,715.9000,718.0000,705.6000,140109288,991974,4474936,627076,302,,,140109288.00,
28/05/2017,715.9000,715.9000,0.15,714.8000,714.8000,721.9000,714.9000,140109288,1003042,2794340,390396,191,,,140109288.00,
25/05/2017,714.8000,714.8000,-1.27,723.5000,724.0000,724.0000,713.0000,140109288,1001501,2835277,395929,387,,,140109288.00,
24/05/2017,724.0000,724.0000,0.82,717.6000,718.1000,724.0000,708.8000,140109288,1014391,7111289,987045,268,EX D,0.98505,140109288.00,
23/05/2017,718.1015,729.0000,1.84,716.0000,715.8000,730.9000,713.6000,140109288,1021397,3100504,426894,350,,,140109288.00,
22/05/2017,705.0988,715.8000,0.68,710.0000,711.0000,716.3000,708.1000,140109288,1002902,3014847,422853,313,,,140109288.00,
21/05/2017,700.3706,711.0000,0.78,706.0000,705.5000,715.0000,704.3000,140109288,996177,2291131,321628,193,,,140109288.00,
18/05/2017,694.9528,705.5000,0.38,699.0000,702.8000,713.7000,697.6000,140109288,988471,3537790,501953,376,,,140109288.00,
17/05/2017,692.2931,702.8000,-1.13,714.0000,710.8000,716.9000,700.3000,140109288,984688,5377859,759863,551,,,140109288.00,
16/05/2017,700.1735,710.8000,3.13,695.3000,689.2000,712.9000,695.3000,140109288,995897,6272681,889611,535,,,140109288.00,
15/05/2017,678.8965,689.2000,0.61,685.4000,685.0000,693.0000,685.0000,140109288,965633,7328711,1061215,332,,,140109288.00,
14/05/2017,674.7593,685.0000,0.28,684.0000,683.1000,686.7000,684.0000,140109288,959749,1738296,253807,186,,,140109288.00,
11/05/2017,672.8877,683.1000,0.37,680.6000,680.6000,683.2000,678.0000,140109288,957087,2959382,435209,229,,,140109288.00,
10/05/2017,670.4250,680.6000,0.13,679.7000,679.7000,681.0000,677.8000,140109288,953584,1348013,198423,179,,,140109288.00,
09/05/2017,669.5385,679.7000,0.37,677.5000,677.2000,680.0000,677.5000,140109288,952323,1233654,181855,192,,,140109288.00,
08/05/2017,667.0759,677.2000,0.18,678.0000,676.0000,681.0000,672.5000,140109288,948820,2788149,411224,224,,,140109288.00,
07/05/2017,665.8938,676.0000,0.25,680.6000,674.3000,680.6000,674.9000,140109288,947139,2309345,340840,271,,,140109288.00,
04/05/2017,664.2192,674.3000,-0.78,679.6000,679.6000,680.6000,673.7000,140109288,944757,2595620,384225,297,,,140109288.00,
03/05/2017,669.4400,679.6000,1.54,670.0000,669.3000,680.0000,670.0000,140109288,952183,6287778,928048,228,,,140109288.00,
30/04/2017,659.2940,669.3000,0.04,670.0000,669.0000,670.8000,669.0000,140109288,937751,436923,65274,101,,,140109288.00,
27/04/2017,658.9985,669.0000,0.81,669.0000,663.6000,672.0000,663.1000,140109288,937331,3694203,552085,312,,,140109288.00,
26/04/2017,653.6792,663.6000,0.11,660.0000,662.9000,665.0000,658.0000,140109288,929765,1203382,181727,179,,,140109288.00,
25/04/2017,652.9896,662.9000,0.23,661.8000,661.4000,663.5000,658.5000,140109288,928784,1972394,298375,165,,,140109288.00,
24/04/2017,651.5121,661.4000,1.13,653.0000,654.0000,662.0000,653.0000,140109288,926683,1442220,218781,299,,,140109288.00,
23/04/2017,644.2227,654.0000,-1.21,655.2000,662.0000,661.5000,654.0000,140109288,916315,6484265,988336,339,,,140109288.00,
20/04/2017,652.1031,662.0000,0.82,656.6000,656.6000,665.6000,654.5000,140109288,927523,10342690,1563417,409,,,140109288.00,
19/04/2017,646.7838,656.6000,2.43,641.0000,641.0000,660.6000,641.0000,140109288,919958,3804296,581626,415,,,140109288.00,
18/04/2017,631.4171,641.0000,0.05,640.8000,640.7000,648.5000,639.5000,140109288,898101,3530615,548991,384,,,140109288.00,
13/04/2017,631.1215,640.7000,-0.82,645.4000,646.0000,645.4000,640.1000,140109288,897680,1028018,160048,185,,,140109288.00,
12/04/2017,636.3423,646.0000,-1.01,653.1000,652.6000,656.7000,645.2000,140109288,905106,1034682,159091,153,,,140109288.00,
09/04/2017,642.8436,652.6000,-0.62,656.7000,656.7000,658.0000,651.3000,140109288,914353,812381,124160,137,,,140109288.00,
06/04/2017,646.8823,656.7000,-0.35,659.0000,659.0000,660.0000,652.0000,140109288,920098,2092894,319427,203,,,140109288.00,
05/04/2017,649.1480,659.0000,0.95,656.0000,652.8000,659.0000,652.0000,140109288,923320,2244783,343536,175,,,140109288.00,
04/04/2017,643.0406,652.8000,0.34,650.5000,650.6000,654.0000,650.5000,140109288,914633,697629,106968,106,,,140109288.00,
03/04/2017,640.8735,650.6000,-0.11,651.3000,651.3000,656.5000,650.4000,140109288,911551,4708560,720829,289,,,140109288.00,
02/04/2017,641.5631,651.3000,1.01,646.0000,644.8000,654.0000,643.5000,140109288,912532,1517601,233534,266,,,140109288.00,
30/03/2017,635.1602,644.8000,-0.03,650.0000,645.0000,650.0000,644.1000,140109288,903425,1346387,208351,159,,,140109288.00,
29/03/2017,635.3573,645.0000,-1.39,654.6000,654.1000,656.0000,644.9000,140109288,903705,3859741,594478,328,EX D,0.98598,140109288.00,
28/03/2017,644.3203,663.4000,0.65,660.0000,659.1000,666.9000,659.9000,140109288,929485,2028766,305941,253,,,140109288.00,
27/03/2017,640.1440,659.1000,-0.87,664.9000,664.9000,664.9000,658.0000,140109288,923460,4236669,642220,380,,,140109288.00,
26/03/2017,645.7772,664.9000,-0.64,669.9000,669.2000,669.9000,663.4000,140109288,931587,1206560,180949,131,,,140109288.00,
23/03/2017,649.9535,669.2000,1.10,661.9000,661.9000,674.9000,661.9000,140109288,937611,3531224,528986,311,,,140109288.00,
22/03/2017,642.8635,661.9000,-0.47,660.0000,665.0000,665.0000,660.0000,140109288,927383,2458650,371286,253,,,140109288.00,
21/03/2017,645.8743,665.0000,1.98,658.0000,652.1000,666.4000,652.7000,140109288,931727,15081129,2288970,463,,,140109288.00,
20/03/2017,633.3454,652.1000,-0.38,657.3000,654.6000,667.7000,650.8000,140109288,913653,3397930,516540,372,,,140109288.00,
19/03/2017,635.7734,654.6000,-0.05,654.9000,654.9000,656.8000,653.9000,140109288,917155,830038,126792,131,,,140109288.00,
16/03/2017,636.0648,654.9000,0.89,653.0000,649.1000,657.1000,653.0000,140109288,917576,1156842,176716,155,,,140109288.00,
15/03/2017,630.4316,649.1000,0.11,648.4000,648.4000,655.0000,647.2000,140109288,909449,1308692,201219,174,,,140109288.00,
14/03/2017,629.7517,648.4000,0.11,650.0000,647.7000,653.5000,647.2000,140109288,908469,1414862,217511,185,,,140109288.00,
13/03/2017,629.0718,647.7000,-0.09,649.0000,648.3000,650.0000,645.7000,140109288,907488,1343916,207417,141,,,140109288.00,
09/03/2017,629.6546,648.3000,-0.25,644.8000,649.9000,649.9000,643.1000,140109288,908329,1332084,206480,195,,,140109288.00,
08/03/2017,631.2086,649.9000,1.06,643.0000,643.1000,650.0000,643.0000,140109288,910570,955005,147637,167,,,140109288.00,
07/03/2017,624.6041,643.1000,0.09,640.0000,642.5000,647.8000,640.0000,140109288,901043,1694275,263366,184,,,140109288.00,
06/03/2017,624.0215,642.5000,-1.64,649.0000,653.2000,650.3000,641.3000,140109288,900202,1620638,251466,265,,,140109288.00,
05/03/2017,634.4137,653.2000,0.34,651.0000,651.0000,655.0000,645.0000,140109288,915194,612438,94065,151,,,140109288.00,
02/03/2017,632.2770,651.0000,1.59,640.4000,640.8000,651.0000,638.5000,140109288,912111,3290838,507542,216,,,140109288.00,
01/03/2017,622.3704,640.8000,1.09,633.9000,633.9000,641.9000,633.5000,140109288,897820,1826125,286101,261,,,140109288.00,
28/02/2017,615.6688,633.9000,-0.02,630.1000,634.0000,635.4000,630.1000,140109288,888153,841883,132771,145,,,140109288.00,
