Historical Prices - SHANIV - 01080837
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,473.2000,473.2000,-1.62,481.0000,481.0000,475.2000,473.0000,46782010,221372,107815,22786,11,,,46782010.00,
28/05/2017,481.0000,481.0000,-0.72,484.5000,484.5000,481.9000,480.8000,46782010,225021,16346,3398,7,,,46782010.00,
25/05/2017,484.5000,484.5000,-0.12,485.1000,485.1000,495.9000,475.8000,46782010,226659,54909,11401,13,,,46782010.00,
24/05/2017,485.1000,485.1000,-2.26,496.3000,496.3000,490.0000,484.3000,46782010,226940,57835,11890,13,,,46782010.00,
23/05/2017,496.3000,496.3000,-0.96,501.1000,501.1000,500.0000,491.2000,46782010,232179,36821,7419,9,,,46782010.00,
22/05/2017,501.1000,501.1000,2.08,490.9000,490.9000,502.2000,499.9000,46782010,234425,11932,2381,4,,,46782010.00,
21/05/2017,490.9000,490.9000,2.27,489.4000,480.0000,491.4000,488.0000,46782010,229653,15345,3126,6,,,46782010.00,
18/05/2017,480.0000,480.0000,0.46,477.8000,477.8000,482.1000,473.4000,46782010,224554,20530,4277,7,,,46782010.00,
17/05/2017,477.8000,477.8000,-2.47,489.9000,489.9000,490.0000,472.1000,46782010,223524,38012,7931,11,,,46782010.00,
16/05/2017,489.9000,489.9000,0.00,489.9000,489.9000,489.9000,489.9000,46782010,229185,9798,2000,1,,,46782010.00,
15/05/2017,489.9000,489.9000,-0.71,493.4000,493.4000,492.1000,489.1000,46782010,229185,132698,27061,19,,,46782010.00,
14/05/2017,493.4000,493.4000,-0.86,497.7000,497.7000,497.0000,490.1000,46782010,230822,97580,19779,15,,,46782010.00,
11/05/2017,497.7000,497.7000,1.70,489.4000,489.4000,503.0000,489.0000,46782010,232834,28687,5764,8,,,46782010.00,
10/05/2017,489.4000,489.4000,0.87,485.2000,485.2000,500.0000,483.2000,46782010,228951,53216,10852,13,,,46782010.00,
09/05/2017,485.2000,485.2000,0.00,485.2000,485.2000,0.0000,0.0000,46782010,226986,0,0,0,,,46782010.00,
08/05/2017,485.2000,485.2000,-0.39,487.0000,487.1000,487.0000,479.0000,46782010,226986,18576,3829,7,,,46782010.00,
07/05/2017,487.1000,487.1000,-1.18,492.9000,492.9000,490.7000,485.0000,46782010,227875,22077,4532,8,,,46782010.00,
04/05/2017,492.9000,492.9000,1.36,486.3000,486.3000,495.6000,488.0000,46782010,230589,222129,45231,18,,,46782010.00,
03/05/2017,486.3000,486.3000,0.19,485.4000,485.4000,488.9000,486.0000,46782010,227501,93455,19222,15,,,46782010.00,
30/04/2017,485.4000,485.4000,-1.22,491.4000,491.4000,492.3000,484.0000,46782010,227080,53884,11108,10,,,46782010.00,
27/04/2017,491.4000,491.4000,0.29,490.0000,490.0000,494.1000,494.1000,46782010,229887,677,137,2,,,46782010.00,
26/04/2017,490.0000,490.0000,0.18,489.1000,489.1000,498.6000,490.0000,46782010,229232,131556,26826,10,,,46782010.00,
25/04/2017,489.1000,489.1000,-0.55,491.8000,491.8000,494.3000,485.0000,46782010,228811,11500,2351,5,,,46782010.00,
24/04/2017,491.8000,491.8000,1.67,483.7000,483.7000,499.8000,475.3000,46782010,230074,173006,35211,23,EX D,0.98694,46782010.00,
23/04/2017,483.6993,490.1000,-0.39,492.0000,492.0000,492.0000,482.4000,46782010,229279,113956,23223,17,,,46782010.00,
20/04/2017,485.5745,492.0000,1.30,485.7000,485.7000,494.9000,481.0000,46782010,230167,407578,83288,14,,,46782010.00,
