Historical Prices - SHAPIR      ENG - 01133875
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1098.0000,1098.0000,0.27,1092.0000,1095.0000,1100.0000,1081.0000,350100000,3844098,1469977,134146,226,,,350100000.00,
28/05/2017,1095.0000,1095.0000,-0.27,1108.0000,1098.0000,1110.0000,1066.0000,350100000,3833595,2153050,197517,346,,,350100000.00,
25/05/2017,1098.0000,1098.0000,-0.27,1104.0000,1101.0000,1108.0000,1065.0000,350100000,3844098,2298481,211638,404,,,350100000.00,
24/05/2017,1101.0000,1101.0000,0.09,1097.0000,1100.0000,1114.0000,1097.0000,350100000,3854601,1431698,129634,189,,,350100000.00,
23/05/2017,1100.0000,1100.0000,1.38,1085.0000,1085.0000,1100.0000,1078.0000,350100000,3851100,1363459,124758,211,,,350100000.00,
22/05/2017,1085.0000,1085.0000,-0.09,1086.0000,1086.0000,1086.0000,1076.0000,350100000,3798585,1481903,137022,240,,,350100000.00,
21/05/2017,1086.0000,1086.0000,1.12,1077.0000,1074.0000,1105.0000,1063.0000,350100000,3802086,2107809,194526,340,,,350100000.00,
18/05/2017,1074.0000,1074.0000,-0.19,1076.0000,1076.0000,1080.0000,1051.0000,350100000,3760074,1876269,176469,286,,,350100000.00,
17/05/2017,1076.0000,1076.0000,-0.19,1086.0000,1078.0000,1086.0000,1065.0000,350100000,3767076,2051556,190773,307,,,350100000.00,
16/05/2017,1078.0000,1078.0000,0.28,1075.0000,1075.0000,1084.0000,1075.0000,350100000,3774078,1325347,122855,202,,,350100000.00,
15/05/2017,1075.0000,1075.0000,0.56,1089.0000,1069.0000,1089.0000,1075.0000,350100000,3763575,2873866,265986,303,,,350100000.00,
14/05/2017,1069.0000,1069.0000,0.75,1070.0000,1061.0000,1078.0000,1060.0000,350100000,3742569,1665295,155783,216,,,350100000.00,
11/05/2017,1061.0000,1061.0000,0.76,1060.0000,1053.0000,1069.0000,1052.0000,350100000,3714561,2263461,213272,282,,,350100000.00,
10/05/2017,1053.0000,1053.0000,-3.31,1099.0000,1089.0000,1099.0000,1053.0000,350100000,3686553,6465764,606931,462,,,350100000.00,
09/05/2017,1089.0000,1089.0000,0.37,1088.0000,1085.0000,1099.0000,1083.0000,350100000,3812589,9222777,846155,468,,,350100000.00,
08/05/2017,1085.0000,1085.0000,2.84,1064.0000,1055.0000,1099.0000,1060.0000,350100000,3798585,8534285,791054,529,,,350100000.00,
07/05/2017,1055.0000,1055.0000,3.13,1030.0000,1023.0000,1079.0000,1028.0000,350100000,3693555,9200902,883471,448,,,350100000.00,
04/05/2017,1023.0000,1023.0000,-0.20,1026.0000,1025.0000,1030.0000,1008.0000,350100000,3581523,2973121,291280,274,,,350100000.00,
03/05/2017,1025.0000,1025.0000,-0.39,1038.0000,1029.0000,1038.0000,1021.0000,350100000,3588525,2526124,246328,266,,,350100000.00,
30/04/2017,1029.0000,1029.0000,0.29,1028.0000,1026.0000,1030.0000,1017.0000,350100000,3602529,1292479,125851,167,,,350100000.00,
27/04/2017,1026.0000,1026.0000,-0.19,1030.0000,1028.0000,1031.0000,1018.0000,350100000,3592026,2040734,199057,235,,,350100000.00,
26/04/2017,1028.0000,1028.0000,1.68,1018.0000,1011.0000,1031.0000,1009.0000,350100000,3599028,4078275,399746,375,,,350100000.00,
25/04/2017,1011.0000,1011.0000,0.20,1018.0000,1009.0000,1020.0000,1003.0000,350100000,3539511,3377077,332999,380,,,350100000.00,
24/04/2017,1009.0000,1009.0000,1.68,992.3000,992.3000,1019.0000,980.2000,350100000,3532509,4595237,455864,419,,,350100000.00,
23/04/2017,992.3000,992.3000,-1.26,1008.0000,1005.0000,1015.0000,988.0000,350100000,3474042,1508183,151543,263,,,350100000.00,
20/04/2017,1005.0000,1005.0000,0.66,998.4000,998.4000,1018.0000,996.5000,350100000,3518505,3432339,341622,395,,,350100000.00,
19/04/2017,998.4000,998.4000,1.98,986.0000,979.0000,1005.0000,980.5000,350100000,3495398,1953718,196180,275,,,350100000.00,
18/04/2017,979.0000,979.0000,-1.90,989.0000,998.0000,994.9000,975.1000,350100000,3427479,5388583,547890,352,,,350100000.00,
13/04/2017,998.0000,998.0000,-1.77,1013.0000,1016.0000,1020.0000,985.0000,350100000,3493998,3560954,354943,240,,,350100000.00,
12/04/2017,1016.0000,1016.0000,0.49,1015.0000,1011.0000,1030.0000,1011.0000,350100000,3557016,1197254,117043,180,,,350100000.00,
09/04/2017,1011.0000,1011.0000,-0.39,1029.0000,1015.0000,1032.0000,999.5000,350100000,3539511,1529089,150342,206,,,350100000.00,
06/04/2017,1015.0000,1015.0000,2.49,990.3000,990.3000,1015.0000,987.4000,350100000,3553515,2083459,207288,257,,,350100000.00,
05/04/2017,990.3000,990.3000,0.60,981.7000,984.4000,1001.0000,981.7000,350100000,3467040,2843139,288086,409,EX D,0.97177,350100000.00,
04/04/2017,984.4030,1013.0000,1.10,1014.0000,1002.0000,1023.0000,1001.0000,350100000,3546513,4317281,426140,484,,,350100000.00,
03/04/2017,973.7135,1002.0000,0.30,1002.0000,999.0000,1011.0000,999.0000,350100000,3508002,4771585,476118,318,,,350100000.00,
02/04/2017,970.7982,999.0000,0.13,997.7000,997.7000,1014.0000,996.1000,350100000,3497499,1289919,128520,185,,,350100000.00,
30/03/2017,969.5349,997.7000,-0.03,1015.0000,998.0000,1015.0000,965.0000,350100000,3492948,11084340,1108144,351,,,350100000.00,
29/03/2017,969.8265,998.0000,-0.50,1022.0000,1003.0000,1028.0000,995.0000,350100000,3493998,5891146,583422,736,,,350100000.00,
28/03/2017,974.6853,1003.0000,1.65,990.0000,986.7000,1008.0000,990.0000,350100000,3511503,2006108,200020,266,,,350100000.00,
27/03/2017,958.8455,986.7000,-0.17,988.4000,988.4000,990.0000,970.9000,350100000,3454437,4047219,413229,526,,,350100000.00,
26/03/2017,960.4975,988.4000,-0.27,991.1000,991.1000,1008.0000,986.0000,350100000,3460388,1948203,195660,331,,,350100000.00,
23/03/2017,963.1212,991.1000,1.09,981.1000,980.4000,995.2000,981.1000,350100000,3469841,1623737,164314,276,,,350100000.00,
22/03/2017,952.7233,980.4000,-2.64,1006.0000,1007.0000,1006.0000,978.2000,350100000,3432380,3956653,400618,510,,,350100000.00,
21/03/2017,978.5724,1007.0000,-1.56,1030.0000,1023.0000,1045.0000,1005.0000,350100000,3525507,3428258,334717,446,,,350100000.00,
20/03/2017,994.1207,1023.0000,0.99,1024.0000,1013.0000,1029.0000,1014.0000,350100000,3581523,4042506,395522,229,,,350100000.00,
19/03/2017,984.4030,1013.0000,-1.84,1044.0000,1032.0000,1044.0000,1007.0000,350100000,3546513,2286156,224765,328,,,350100000.00,
16/03/2017,1002.8666,1032.0000,-0.29,1049.0000,1035.0000,1050.0000,1023.0000,350100000,3613032,3516602,337571,458,,,350100000.00,
15/03/2017,1005.7820,1035.0000,0.98,1030.0000,1025.0000,1039.0000,1027.0000,350100000,3623535,4479013,433044,488,,,350100000.00,
14/03/2017,996.0643,1025.0000,2.50,1002.0000,1000.0000,1036.0000,1002.0000,350100000,3588525,3179853,311049,399,,,350100000.00,
13/03/2017,971.7700,1000.0000,1.52,985.0000,985.0000,1010.0000,985.7000,350100000,3501000,1209386,120780,199,,,350100000.00,
09/03/2017,957.1935,985.0000,-0.55,991.0000,990.4000,1003.0000,980.0000,350100000,3448485,2559335,257777,383,,,350100000.00,
08/03/2017,962.4410,990.4000,1.81,974.0000,972.8000,995.0000,973.5000,350100000,3467390,3946886,399721,372,,,350100000.00,
07/03/2017,945.3379,972.8000,1.27,968.0000,960.6000,976.7000,958.9000,350100000,3405773,2700561,277936,473,,,350100000.00,
06/03/2017,933.4823,960.6000,-0.82,971.4000,968.5000,977.0000,956.5000,350100000,3363061,1562860,162017,268,,,350100000.00,
05/03/2017,941.1592,968.5000,-1.15,979.8000,979.8000,980.0000,965.9000,350100000,3390719,1764636,181063,253,,,350100000.00,
02/03/2017,952.1402,979.8000,2.95,951.7000,951.7000,979.8000,951.7000,350100000,3430280,2904467,299407,265,,,350100000.00,
01/03/2017,924.8335,951.7000,1.24,940.0000,940.0000,959.9000,880.0000,350100000,3331902,2640107,280758,288,,,350100000.00,
28/02/2017,913.4638,940.0000,-0.55,942.6000,945.2000,951.0000,933.0000,350100000,3290940,3032421,321503,254,,,350100000.00,
27/02/2017,918.5170,945.2000,-2.27,970.1000,967.2000,970.1000,944.5000,350100000,3309145,1805256,189892,287,,,350100000.00,
26/02/2017,939.8959,967.2000,-0.20,969.1000,969.1000,985.0000,966.9000,350100000,3386167,2882042,297215,194,,,350100000.00,
23/02/2017,941.7423,969.1000,1.01,958.0000,959.4000,972.0000,958.0000,350100000,3392819,1614943,167078,207,,,350100000.00,
22/02/2017,932.3161,959.4000,0.14,958.1000,958.1000,967.9000,955.5000,350100000,3358859,3661355,380831,283,,,350100000.00,
21/02/2017,931.0528,958.1000,0.62,942.0000,952.2000,959.8000,930.1000,350100000,3354308,6242087,664267,475,,,350100000.00,
20/02/2017,925.3194,952.2000,0.66,949.0000,946.0000,956.0000,947.0000,350100000,3333652,1498663,157399,257,,,350100000.00,
19/02/2017,919.2944,946.0000,1.27,935.0000,934.1000,952.0000,935.0000,350100000,3311946,2764503,293588,174,,,350100000.00,
16/02/2017,907.7304,934.1000,-1.66,949.9000,949.9000,960.9000,932.3000,350100000,3270284,4099003,432033,327,,,350100000.00,
15/02/2017,923.0843,949.9000,-0.91,960.0000,958.6000,968.6000,946.1000,350100000,3325600,1883075,196135,297,,,350100000.00,
14/02/2017,931.5387,958.6000,0.94,949.7000,949.7000,961.9000,945.8000,350100000,3356059,1795727,188066,239,,,350100000.00,
13/02/2017,922.8900,949.7000,1.23,938.9000,938.2000,950.2000,938.4000,350100000,3324900,3861497,409124,276,,,350100000.00,
12/02/2017,911.7146,938.2000,0.88,932.6000,930.0000,943.0000,921.3000,350100000,3284638,1501787,161264,246,,,350100000.00,
09/02/2017,903.7461,930.0000,0.19,928.2000,928.2000,936.0000,908.0000,350100000,3255930,28131352,3027386,492,,,350100000.00,
08/02/2017,901.9969,928.2000,0.80,925.0000,920.8000,944.0000,913.0000,350100000,3249628,5117331,552239,423,,,350100000.00,
07/02/2017,894.8058,920.8000,-0.05,922.0000,921.3000,922.0000,913.9000,350100000,3223721,2350156,255718,387,,,350100000.00,
06/02/2017,895.2917,921.3000,2.39,900.4000,899.8000,922.7000,897.0000,350100000,3225471,5786581,633146,447,,,350100000.00,
05/02/2017,874.3986,899.8000,0.23,904.0000,897.7000,906.6000,895.1000,350100000,3150200,1180656,131236,332,,,350100000.00,
02/02/2017,872.3579,897.7000,0.48,894.0000,893.4000,905.0000,893.9000,350100000,3142848,2146870,238518,399,,,350100000.00,
01/02/2017,868.1793,893.4000,1.47,881.1000,880.5000,898.1000,873.9000,350100000,3127793,3342847,376760,564,,,350100000.00,
31/01/2017,855.6435,880.5000,3.58,849.5000,850.1000,888.0000,840.5000,350100000,3082631,1864800,213095,353,,,350100000.00,
30/01/2017,826.1017,850.1000,-0.04,870.0000,850.4000,874.0000,840.2000,350100000,2976200,6087253,718347,457,,,350100000.00,
29/01/2017,826.3932,850.4000,-1.05,859.4000,859.4000,869.9000,847.1000,350100000,2977250,2988454,349358,312,,,350100000.00,
26/01/2017,835.1391,859.4000,-1.64,873.7000,873.7000,873.7000,855.0000,350100000,3008759,2369734,274737,363,,,350100000.00,
25/01/2017,849.0354,873.7000,0.15,884.7000,872.4000,884.7000,855.0000,350100000,3058824,1786130,204876,304,,,350100000.00,
24/01/2017,847.7721,872.4000,0.59,867.3000,867.3000,875.0000,864.9000,350100000,3054272,1504519,172995,372,,,350100000.00,
23/01/2017,842.8161,867.3000,-0.82,874.9000,874.5000,887.0000,857.3000,350100000,3036417,3301956,377945,455,,,350100000.00,
22/01/2017,849.8129,874.5000,2.44,850.0000,853.7000,879.5000,850.0000,350100000,3061625,1162023,134678,170,,,350100000.00,
19/01/2017,829.6000,853.7000,0.31,850.1000,851.1000,860.9000,847.0000,350100000,2988804,1655362,193991,246,,,350100000.00,
18/01/2017,827.0734,851.1000,-1.06,860.2000,860.2000,859.6000,850.0000,350100000,2979701,693675,81222,166,,,350100000.00,
17/01/2017,835.9166,860.2000,-0.46,864.8000,864.2000,879.0000,853.4000,350100000,3011560,1549714,179646,233,,,350100000.00,
16/01/2017,839.8036,864.2000,0.12,871.0000,863.2000,879.8000,864.0000,350100000,3025564,1943078,224364,225,EX D,0.99184,350100000.00,
15/01/2017,838.8303,870.3000,1.94,856.1000,853.7000,874.0000,851.0000,350100000,3046920,1178034,136707,248,,,350100000.00,
12/01/2017,822.8305,853.7000,-0.79,868.3000,860.5000,874.4000,850.3000,350100000,2988804,1093994,127792,203,,,350100000.00,
11/01/2017,829.3846,860.5000,-1.35,872.0000,872.3000,872.1000,852.0000,350100000,3012611,2284432,266068,311,,,350100000.00,
10/01/2017,840.7579,872.3000,-0.78,879.2000,879.2000,879.2000,871.0000,350100000,3053922,1472878,168555,246,,,350100000.00,
09/01/2017,847.4084,879.2000,-0.94,887.5000,887.5000,890.0000,875.0000,350100000,3078079,1421658,161077,237,,,350100000.00,
08/01/2017,855.4083,887.5000,-0.98,909.0000,896.3000,910.0000,882.1000,350100000,3107138,1952753,218009,252,,,350100000.00,
05/01/2017,863.8901,896.3000,2.38,881.0000,875.5000,899.9000,873.2000,350100000,3137946,1315517,149041,232,,,350100000.00,
04/01/2017,843.8422,875.5000,-0.74,885.0000,882.0000,890.0000,870.0000,350100000,3065126,2769675,315183,371,,,350100000.00,
