Historical Prices - SHIKUN & BINUI - 01081942
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,860.1000,860.1000,-3.99,898.0000,895.8000,898.6000,860.1000,405216690,3485269,4935827,565610,608,,,405216690.00,
28/05/2017,895.8000,895.8000,-3.19,920.1000,925.3000,925.9000,894.0000,405216690,3629931,2659873,294008,566,,,405216690.00,
25/05/2017,925.3000,925.3000,-1.56,942.9000,940.0000,947.1000,915.6000,405216690,3749470,1663675,177942,253,,,405216690.00,
24/05/2017,940.0000,940.0000,2.47,905.0000,917.3000,948.0000,901.8000,405216690,3809037,3784886,406711,469,,,405216690.00,
23/05/2017,917.3000,917.3000,-1.06,931.7000,927.1000,931.7000,906.7000,405216690,3717053,2648885,289415,383,,,405216690.00,
22/05/2017,927.1000,927.1000,1.52,913.8000,913.2000,928.5000,901.0000,405216690,3756764,2467361,269180,312,,,405216690.00,
21/05/2017,913.2000,913.2000,1.13,920.0000,903.0000,936.0000,909.5000,405216690,3700439,2175661,236416,244,,,405216690.00,
18/05/2017,903.0000,903.0000,-2.38,920.0000,925.0000,920.2000,895.0000,405216690,3659107,4446356,491705,611,,,405216690.00,
17/05/2017,925.0000,925.0000,-3.75,960.0000,961.0000,960.0000,925.0000,405216690,3748254,6107531,643847,568,,,405216690.00,
16/05/2017,961.0000,961.0000,-0.36,963.8000,964.5000,972.3000,943.4000,405216690,3894132,1737147,180681,291,,,405216690.00,
15/05/2017,964.5000,964.5000,-0.41,969.2000,968.5000,975.0000,946.4000,405216690,3908315,3397889,351446,405,,,405216690.00,
14/05/2017,968.5000,968.5000,0.56,963.1000,963.1000,970.4000,956.3000,405216690,3924524,1309187,135486,214,,,405216690.00,
11/05/2017,963.1000,963.1000,2.25,941.9000,941.9000,966.3000,947.0000,405216690,3902642,3703893,385829,432,,,405216690.00,
10/05/2017,941.9000,941.9000,-1.18,953.8000,953.1000,960.7000,938.0000,405216690,3816736,4112863,433349,462,,,405216690.00,
09/05/2017,953.1000,953.1000,1.94,935.7000,935.0000,960.1000,935.7000,405216690,3862120,4932964,519260,1107,,,405216690.00,
08/05/2017,935.0000,935.0000,-1.33,955.0000,947.6000,955.0000,935.0000,405216690,3788776,5427140,574598,447,,,405216690.00,
07/05/2017,947.6000,947.6000,0.26,945.0000,945.1000,949.0000,935.0000,405216690,3839833,3086782,328545,341,,,405216690.00,
04/05/2017,945.1000,945.1000,-1.35,958.0000,958.0000,960.0000,945.1000,405216690,3829703,7600320,799606,358,,,403449839.00,
03/05/2017,958.0000,958.0000,3.02,930.6000,929.9000,959.9000,930.6000,405216690,3881976,2082706,219750,373,,,403449839.00,
