Historical Prices - SHUFERSAL - 00777037
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1956.0000,1956.0000,1.35,1931.0000,1930.0000,1964.0000,1931.0000,224342821,4388146,7885707,403959,807,,,212316521.00,
28/05/2017,1930.0000,1930.0000,0.00,1940.0000,1930.0000,1940.0000,1914.0000,224342821,4329816,3211327,166654,356,,,212316521.00,
25/05/2017,1930.0000,1930.0000,2.44,1880.0000,1884.0000,1935.0000,1880.0000,224342821,4329816,8088236,422538,554,,,212316521.00,
24/05/2017,1884.0000,1884.0000,-1.98,1946.0000,1922.0000,1949.0000,1877.0000,224342821,4226619,9092376,478423,1026,,,212316521.00,
23/05/2017,1922.0000,1922.0000,0.95,1905.0000,1904.0000,1940.0000,1887.0000,224342821,4311869,8210163,428327,595,,,212316521.00,
22/05/2017,1904.0000,1904.0000,1.93,1880.0000,1868.0000,1908.0000,1872.0000,224342821,4271487,5794066,306237,382,,,212316521.00,
21/05/2017,1868.0000,1868.0000,0.16,1875.0000,1865.0000,1895.0000,1865.0000,224342821,4190724,2499281,132695,327,,,212316521.00,
18/05/2017,1865.0000,1865.0000,-0.53,1850.0000,1875.0000,1870.0000,1850.0000,224342821,4183994,4596566,246931,435,,,212316521.00,
17/05/2017,1875.0000,1875.0000,0.75,1862.0000,1861.0000,1884.0000,1833.0000,224342821,4206428,9038036,484948,730,,,212316521.00,
16/05/2017,1861.0000,1861.0000,0.65,1848.0000,1849.0000,1864.0000,1837.0000,224342821,4175020,4333118,233341,359,,,212316521.00,
15/05/2017,1849.0000,1849.0000,-0.27,1855.0000,1854.0000,1868.0000,1822.0000,224342821,4148099,4252679,230984,422,,,212316521.00,
14/05/2017,1854.0000,1854.0000,-1.38,1880.0000,1880.0000,1880.0000,1833.0000,224342821,4159316,4387155,237006,419,,,212316521.00,
11/05/2017,1880.0000,1880.0000,-0.27,1887.0000,1885.0000,1909.0000,1870.0000,224342821,4217645,4449156,235643,479,,,212316521.00,
10/05/2017,1885.0000,1885.0000,0.80,1870.0000,1870.0000,1900.0000,1865.0000,224342821,4228862,5205476,276002,445,,,212316521.00,
09/05/2017,1870.0000,1870.0000,0.05,1877.0000,1869.0000,1877.0000,1863.0000,224342821,4195211,7957350,425858,620,,,212316521.00,
