Historical Prices - SKYLINE - 01131556
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2645.0000,2645.0000,-3.18,2732.0000,2732.0000,2738.0000,2621.0000,16736780,442688,599422,22200,74,,,16736780.00,
28/05/2017,2732.0000,2732.0000,1.94,2680.0000,2680.0000,2787.0000,2680.0000,16736780,457249,407752,14891,57,,,16736780.00,
25/05/2017,2680.0000,2680.0000,-5.03,2823.0000,2822.0000,2823.0000,2665.0000,16736780,448546,1041450,38032,136,,,16736780.00,
24/05/2017,2822.0000,2822.0000,-0.04,2823.0000,2823.0000,2835.0000,2810.0000,16736780,472312,166833,5911,29,,,16736780.00,
23/05/2017,2823.0000,2823.0000,-0.28,2831.0000,2831.0000,2838.0000,2813.0000,16736780,472479,94989,3361,32,,,16736780.00,
22/05/2017,2831.0000,2831.0000,-1.77,2897.0000,2882.0000,2945.0000,2750.0000,16736780,473818,446538,15654,102,,,16736780.00,
21/05/2017,2882.0000,2882.0000,-1.10,2914.0000,2914.0000,2949.0000,2867.0000,16736780,482354,235932,8126,49,,,16736780.00,
18/05/2017,2914.0000,2914.0000,0.55,2898.0000,2898.0000,2922.0000,2810.0000,16736780,487710,287373,10124,68,,,16736780.00,
17/05/2017,2898.0000,2898.0000,-3.43,3001.0000,3001.0000,3015.0000,2881.0000,16736780,485032,647225,22061,77,,,16736780.00,
16/05/2017,3001.0000,3001.0000,0.64,2982.0000,2982.0000,3017.0000,2988.0000,16736780,502271,223082,7440,45,,,16736780.00,
15/05/2017,2982.0000,2982.0000,-1.19,3000.0000,3018.0000,3009.0000,2975.0000,16736780,499091,161725,5422,51,,,16736780.00,
14/05/2017,3018.0000,3018.0000,-0.46,3018.0000,3032.0000,3031.0000,2915.0000,16736780,505116,550132,18441,107,,,16736780.00,
11/05/2017,3032.0000,3032.0000,-1.08,3065.0000,3065.0000,3060.0000,3013.0000,16736780,507459,154599,5079,37,,,16736780.00,
10/05/2017,3065.0000,3065.0000,-0.91,3119.0000,3093.0000,3119.0000,3050.0000,16736780,512982,393264,12749,77,,,16736780.00,
09/05/2017,3093.0000,3093.0000,1.28,3054.0000,3054.0000,3104.0000,3075.0000,16736780,517669,277671,9007,51,,,16736780.00,
08/05/2017,3054.0000,3054.0000,2.79,3059.0000,2971.0000,3073.0000,3005.0000,16736780,511141,720265,23604,104,,,16736780.00,
07/05/2017,2971.0000,2971.0000,2.55,2899.0000,2897.0000,3000.0000,2870.0000,16736780,497250,511828,17492,94,,,16736780.00,
04/05/2017,2897.0000,2897.0000,1.22,2862.0000,2862.0000,2968.0000,2865.0000,16736780,484865,693095,23818,101,,,16736780.00,
03/05/2017,2862.0000,2862.0000,-3.18,3050.0000,2956.0000,3069.0000,2857.0000,16736780,479007,1687642,56846,223,,,16736780.00,
30/04/2017,2956.0000,2956.0000,4.53,2828.0000,2828.0000,3000.0000,2857.0000,16736780,494739,2080994,70209,298,,,16736780.00,
27/04/2017,2828.0000,2828.0000,1.58,2784.0000,2784.0000,2842.0000,2810.0000,16736780,473316,127047,4488,30,,,16736780.00,
26/04/2017,2784.0000,2784.0000,-0.71,2804.0000,2804.0000,2809.0000,2770.0000,16736780,465952,189470,6788,41,,,16736780.00,
