Historical Prices - SPACE COM - 01092345
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2759.0000,2759.0000,-3.73,2870.0000,2866.0000,2900.0000,2735.0000,20616353,568805,763721,26953,88,,,20616353.00,
28/05/2017,2866.0000,2866.0000,0.70,2846.0000,2846.0000,2909.0000,2820.0000,20616353,590865,870515,30397,72,,,20616353.00,
25/05/2017,2846.0000,2846.0000,-1.52,2844.0000,2890.0000,2879.0000,2822.0000,20616353,586741,483462,16974,73,,,20616353.00,
24/05/2017,2890.0000,2890.0000,-0.82,2914.0000,2914.0000,2915.0000,2880.0000,20616353,595813,177356,6122,39,,,20616353.00,
23/05/2017,2914.0000,2914.0000,1.46,2900.0000,2872.0000,2920.0000,2844.0000,20616353,600761,320517,11046,45,,,20616353.00,
22/05/2017,2872.0000,2872.0000,0.60,2855.0000,2855.0000,2900.0000,2856.0000,20616353,592102,241055,8373,41,,,20616353.00,
21/05/2017,2855.0000,2855.0000,3.14,2770.0000,2768.0000,2860.0000,2770.0000,20616353,588597,330298,11600,53,,,20616353.00,
18/05/2017,2768.0000,2768.0000,-3.01,2854.0000,2854.0000,2876.0000,2709.0000,20616353,570661,1754336,63543,215,,,20616353.00,
17/05/2017,2854.0000,2854.0000,-4.10,2976.0000,2976.0000,2970.0000,2850.0000,20616353,588391,1497414,51802,180,,,20616353.00,
16/05/2017,2976.0000,2976.0000,-0.90,3000.0000,3003.0000,3030.0000,2956.0000,20616353,613543,1117565,37293,136,,,20616353.00,
15/05/2017,3003.0000,3003.0000,1.01,2970.0000,2973.0000,3014.0000,2968.0000,20616353,619109,1147364,38318,117,,,20616353.00,
14/05/2017,2973.0000,2973.0000,-0.13,2977.0000,2977.0000,3000.0000,2925.0000,20616353,612924,791810,26735,113,,,20616353.00,
11/05/2017,2977.0000,2977.0000,3.37,2929.0000,2880.0000,3030.0000,2887.0000,20616353,613749,15309684,524481,528,,,20616353.00,
10/05/2017,2880.0000,2880.0000,-3.06,2971.0000,2971.0000,2971.0000,2846.0000,20616353,593751,6141228,211469,330,,,20616353.00,
09/05/2017,2971.0000,2971.0000,4.36,2868.0000,2847.0000,2984.0000,2860.0000,20616353,612512,2973795,102227,293,,,20616353.00,
08/05/2017,2847.0000,2847.0000,2.85,2779.0000,2768.0000,2866.0000,2740.0000,20616353,586948,3034398,108281,234,,,20616353.00,
07/05/2017,2768.0000,2768.0000,2.56,2699.0000,2699.0000,2797.0000,2680.0000,20616353,570661,2472124,90015,201,,,20616353.00,
04/05/2017,2699.0000,2699.0000,4.37,2586.0000,2586.0000,2730.0000,2555.0000,20616353,556435,2146981,80634,195,,,20616353.00,
03/05/2017,2586.0000,2586.0000,-0.54,2600.0000,2600.0000,2601.0000,2570.0000,20616353,533139,146242,5672,32,,,20616353.00,
30/04/2017,2600.0000,2600.0000,2.32,2541.0000,2541.0000,2601.0000,2545.0000,20616353,536025,449545,17382,57,,,20616353.00,
27/04/2017,2541.0000,2541.0000,-0.97,2566.0000,2566.0000,2570.0000,2510.0000,20616353,523862,237387,9354,33,,,20616353.00,
26/04/2017,2566.0000,2566.0000,2.64,2500.0000,2500.0000,2580.0000,2500.0000,20616353,529016,367861,14449,45,,,20616353.00,
25/04/2017,2500.0000,2500.0000,3.18,2423.0000,2423.0000,2501.0000,2428.0000,20616353,515409,441668,17771,63,,,20616353.00,
24/04/2017,2423.0000,2423.0000,1.68,2383.0000,2383.0000,2426.0000,2380.0000,20616353,499534,228285,9478,31,,,20616353.00,
23/04/2017,2383.0000,2383.0000,-0.87,2391.0000,2404.0000,2395.0000,2380.0000,20616353,491288,178614,7481,41,,,20616353.00,
20/04/2017,2404.0000,2404.0000,-1.68,2445.0000,2445.0000,2430.0000,2393.0000,20616353,495617,311536,12926,41,,,20616353.00,
19/04/2017,2445.0000,2445.0000,-1.21,2475.0000,2475.0000,2490.0000,2430.0000,20616353,504070,123291,5015,38,,,20616353.00,
18/04/2017,2475.0000,2475.0000,0.45,2464.0000,2464.0000,2490.0000,2464.0000,20616353,510255,37175,1502,17,,,20616353.00,
13/04/2017,2464.0000,2464.0000,-0.65,2488.0000,2480.0000,2488.0000,2455.0000,20616353,507987,86125,3486,25,,,20616353.00,
12/04/2017,2480.0000,2480.0000,-0.12,2500.0000,2483.0000,2500.0000,2466.0000,20616353,511286,45906,1849,17,,,20616353.00,
09/04/2017,2483.0000,2483.0000,-2.21,2539.0000,2539.0000,2523.0000,2471.0000,20616353,511904,146043,5851,35,,,20616353.00,
06/04/2017,2539.0000,2539.0000,2.84,2469.0000,2469.0000,2539.0000,2480.0000,20616353,523449,222882,8860,26,,,20616353.00,
05/04/2017,2469.0000,2469.0000,-0.80,2489.0000,2489.0000,2550.0000,2459.0000,20616353,509018,231013,9248,41,,,20616353.00,
04/04/2017,2489.0000,2489.0000,-0.76,2488.0000,2508.0000,2521.0000,2470.0000,20616353,513141,263880,10606,51,,,20616353.00,
03/04/2017,2508.0000,2508.0000,0.97,2484.0000,2484.0000,2554.0000,2480.0000,20616353,517058,450021,17958,58,,,20616353.00,
02/04/2017,2484.0000,2484.0000,3.93,2390.0000,2390.0000,2495.0000,2446.0000,20616353,512110,236038,9541,34,,,20616353.00,
30/03/2017,2390.0000,2390.0000,-2.69,2456.0000,2456.0000,2497.0000,2390.0000,20616353,492731,642482,26669,55,,,20616353.00,
29/03/2017,2456.0000,2456.0000,0.86,2432.0000,2435.0000,2493.0000,2432.0000,20616353,506338,28118,1145,15,,,20616353.00,
28/03/2017,2435.0000,2435.0000,-1.14,2465.0000,2463.0000,2472.0000,2425.0000,20616353,502008,248759,10190,59,,,20616353.00,
27/03/2017,2463.0000,2463.0000,-1.56,2488.0000,2502.0000,2490.0000,2460.0000,20616353,507781,247311,9993,51,,,20616353.00,
26/03/2017,2502.0000,2502.0000,-1.03,2528.0000,2528.0000,2547.0000,2500.0000,20616353,515821,270507,10792,54,,,20616353.00,
