Historical Prices - SUMMIT - 01081686
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2528.0000,2528.0000,0.08,2526.0000,2526.0000,2549.0000,2511.0000,66618116,1684106,700794,27729,170,,,66618116.00,
28/05/2017,2526.0000,2526.0000,-0.67,2490.0000,2543.0000,2540.0000,2490.0000,66618116,1682774,327083,12956,103,,,66618116.00,
25/05/2017,2543.0000,2543.0000,-1.47,2551.0000,2581.0000,2590.0000,2530.0000,66618116,1694099,1019342,39911,198,,,66618116.00,
24/05/2017,2581.0000,2581.0000,-1.19,2614.0000,2612.0000,2650.0000,2572.0000,66618116,1719414,540772,20773,136,,,66618116.00,
23/05/2017,2612.0000,2612.0000,1.40,2576.0000,2576.0000,2717.0000,2576.0000,66618116,1740065,1450955,55147,208,,,66618116.00,
22/05/2017,2576.0000,2576.0000,2.10,2523.0000,2523.0000,2590.0000,2521.0000,66618116,1716083,557932,21787,128,,,66618116.00,
21/05/2017,2523.0000,2523.0000,1.45,2489.0000,2487.0000,2553.0000,2489.0000,66618116,1680775,677035,26866,122,,,66618116.00,
18/05/2017,2487.0000,2487.0000,0.12,2500.0000,2484.0000,2539.0000,2460.0000,66618116,1656793,699219,28187,139,,,66618116.00,
17/05/2017,2484.0000,2484.0000,-4.17,2525.0000,2592.0000,2600.0000,2476.0000,66618116,1654794,1548024,61463,249,,,66618116.00,
16/05/2017,2592.0000,2592.0000,-1.41,2629.0000,2629.0000,2627.0000,2556.0000,66618116,1726742,11807506,458923,250,,,66618116.00,
15/05/2017,2629.0000,2629.0000,-1.05,2652.0000,2657.0000,2688.0000,2601.0000,66618116,1751390,1359009,51324,212,,,66618116.00,
14/05/2017,2657.0000,2657.0000,-0.82,2678.0000,2679.0000,2678.0000,2649.0000,66618116,1770043,818503,30759,105,,,66618116.00,
11/05/2017,2679.0000,2679.0000,-0.63,2696.0000,2696.0000,2730.0000,2651.0000,66618116,1784699,1196880,44782,197,,,66618116.00,
10/05/2017,2696.0000,2696.0000,-0.59,2712.0000,2712.0000,2732.0000,2689.0000,66618116,1796024,1526092,56445,170,,,66618116.00,
09/05/2017,2712.0000,2712.0000,-0.11,2715.0000,2715.0000,2777.0000,2698.0000,66618116,1806683,1838866,67329,291,,,66618116.00,
08/05/2017,2715.0000,2715.0000,-0.37,2725.0000,2725.0000,2750.0000,2688.0000,66618116,1808682,3064597,112813,190,,,66618116.00,
07/05/2017,2725.0000,2725.0000,1.60,2680.0000,2682.0000,2756.0000,2656.0000,66618116,1815344,1091793,40314,132,,,66618116.00,
04/05/2017,2682.0000,2682.0000,0.00,2682.0000,2682.0000,2702.0000,2630.0000,66618116,1786698,1761284,65958,237,,,66618116.00,
03/05/2017,2682.0000,2682.0000,-0.11,2682.0000,2685.0000,2692.0000,2673.0000,66618116,1786698,840997,31376,132,,,66618116.00,
30/04/2017,2685.0000,2685.0000,-0.33,2694.0000,2694.0000,2701.0000,2682.0000,66618116,1788696,384788,14300,76,,,66618116.00,
27/04/2017,2694.0000,2694.0000,0.52,2699.0000,2680.0000,2699.0000,2669.0000,66618116,1794692,1308673,48597,134,,,66618116.00,
26/04/2017,2680.0000,2680.0000,0.04,2698.0000,2679.0000,2698.0000,2661.0000,66618116,1785366,892333,33319,128,,,66618116.00,
25/04/2017,2679.0000,2679.0000,0.15,2690.0000,2675.0000,2693.0000,2665.0000,66618116,1784699,1049228,39083,162,,,66618116.00,
24/04/2017,2675.0000,2675.0000,2.10,2590.0000,2620.0000,2680.0000,2590.0000,66618116,1782035,1786971,67068,255,,,66618116.00,
23/04/2017,2620.0000,2620.0000,-1.76,2640.0000,2667.0000,2688.0000,2597.0000,66618116,1745395,1115557,42197,166,,,66618116.00,
20/04/2017,2667.0000,2667.0000,1.37,2631.0000,2631.0000,2687.0000,2618.0000,66618116,1776705,2595960,97469,291,,,66618116.00,
19/04/2017,2631.0000,2631.0000,3.01,2556.0000,2554.0000,2659.0000,2541.0000,66618116,1752723,2588514,99979,284,,,66618116.00,
18/04/2017,2554.0000,2554.0000,3.03,2479.0000,2479.0000,2560.0000,2483.0000,66618116,1701427,969847,38346,135,,,66618116.00,
13/04/2017,2479.0000,2479.0000,0.69,2464.0000,2462.0000,2519.0000,2458.0000,66618116,1651463,624282,25062,132,,,66618116.00,
12/04/2017,2462.0000,2462.0000,0.74,2525.0000,2444.0000,2525.0000,2425.0000,66618116,1640138,1033610,41983,100,,,66618116.00,
09/04/2017,2444.0000,2444.0000,-0.20,2449.0000,2449.0000,2460.0000,2414.0000,66618116,1628147,2065262,84341,120,EX D,0.99959,66618116.00,
06/04/2017,2448.9955,2450.0000,-0.97,2463.0000,2474.0000,2472.0000,2450.0000,66618116,1632144,8416232,342939,351,,,79547099.00,
05/04/2017,2472.9857,2474.0000,-0.24,2482.0000,2480.0000,2508.0000,2461.0000,66618116,1648132,1553588,62774,201,,,79547099.00,
04/04/2017,2478.9832,2480.0000,0.32,2472.0000,2472.0000,2508.0000,2462.0000,66618116,1652129,6927359,278965,231,,,79547099.00,
