Historical Prices - TADIRAN HOLDING - 00258012
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,9842.0000,9842.0000,0.07,9785.0000,9835.0000,9992.0000,9783.0000,8499723,836543,444947,4501,99,,,8499723.00,
28/05/2017,9835.0000,9835.0000,0.04,9831.0000,9831.0000,10010.0000,9831.0000,8499723,835948,217255,2194,46,,,8499723.00,
25/05/2017,9831.0000,9831.0000,-1.32,9870.0000,9963.0000,9925.0000,9813.0000,8499723,835608,733654,7454,144,,,8499723.00,
24/05/2017,9963.0000,9963.0000,-0.37,10000.0000,10000.0000,10000.0000,9750.0000,8499723,846827,1278451,12964,200,,,8499723.00,
23/05/2017,10000.0000,10000.0000,0.36,10110.0000,9964.0000,10150.0000,9943.0000,8499723,849972,3293917,32801,267,,,8499723.00,
22/05/2017,9964.0000,9964.0000,-0.15,9979.0000,9979.0000,10160.0000,9865.0000,8499723,846912,1678344,16794,251,,,8499723.00,
21/05/2017,9979.0000,9979.0000,2.87,9844.0000,9701.0000,10000.0000,9766.0000,8499723,848187,980067,9890,156,,,8499723.00,
18/05/2017,9701.0000,9701.0000,-3.18,10050.0000,10020.0000,10050.0000,9664.0000,8499723,824558,1620734,16629,234,,,8499723.00,
17/05/2017,10020.0000,10020.0000,1.63,10090.0000,9859.0000,10160.0000,9778.0000,8499723,851672,2219018,22274,292,,,8499723.00,
16/05/2017,9859.0000,9859.0000,0.84,9777.0000,9777.0000,9876.0000,9777.0000,8499723,837988,774230,7871,160,,,8499723.00,
15/05/2017,9777.0000,9777.0000,-1.13,10000.0000,9889.0000,10000.0000,9743.0000,8499723,831018,476068,4843,131,,,8499723.00,
14/05/2017,9889.0000,9889.0000,-0.17,9906.0000,9906.0000,9984.0000,9808.0000,8499723,840538,1280497,12888,133,,,8499723.00,
11/05/2017,9906.0000,9906.0000,-0.12,9949.0000,9918.0000,9950.0000,9803.0000,8499723,841983,1015270,10249,143,,,8499723.00,
10/05/2017,9918.0000,9918.0000,2.14,9710.0000,9710.0000,9994.0000,9710.0000,8499723,843003,1766588,17852,279,,,8499723.00,
09/05/2017,9710.0000,9710.0000,2.76,9449.0000,9449.0000,9755.0000,9449.0000,8499723,825323,1880037,19567,226,,,8499723.00,
08/05/2017,9449.0000,9449.0000,-1.14,9555.0000,9558.0000,9568.0000,9352.0000,8499723,803139,1155779,12197,174,,,8499723.00,
07/05/2017,9558.0000,9558.0000,3.01,9415.0000,9279.0000,9599.0000,9415.0000,8499723,812404,664627,6960,102,,,8499723.00,
04/05/2017,9279.0000,9279.0000,-2.09,9430.0000,9477.0000,9477.0000,9128.0000,8499723,788689,550721,5871,116,,,8499723.00,
03/05/2017,9477.0000,9477.0000,0.00,9477.0000,9477.0000,9580.0000,9430.0000,8499723,805519,667423,7003,117,,,8499723.00,
30/04/2017,9477.0000,9477.0000,-0.87,9619.0000,9560.0000,9619.0000,9416.0000,8499723,805519,401974,4239,68,,,8499723.00,
27/04/2017,9560.0000,9560.0000,0.95,9600.0000,9470.0000,9600.0000,9331.0000,8499723,812574,1291525,13530,146,,,8499723.00,
26/04/2017,9470.0000,9470.0000,0.73,9401.0000,9401.0000,9554.0000,9360.0000,8499723,804924,713163,7569,139,,,8499723.00,
25/04/2017,9401.0000,9401.0000,2.15,9203.0000,9203.0000,9422.0000,9194.0000,8499723,799059,541326,5830,101,,,8499723.00,
24/04/2017,9203.0000,9203.0000,1.54,9063.0000,9063.0000,9210.0000,9035.0000,8499723,782230,1246457,13659,152,,,8499723.00,
23/04/2017,9063.0000,9063.0000,-0.74,9131.0000,9131.0000,9129.0000,9017.0000,8499723,770330,694416,7649,92,,,8499723.00,
20/04/2017,9131.0000,9131.0000,-0.35,9163.0000,9163.0000,9277.0000,9065.0000,8499723,776110,1024763,11191,154,,,8499723.00,
19/04/2017,9163.0000,9163.0000,1.55,9023.0000,9023.0000,9176.0000,8993.0000,8499723,778830,1295002,14146,167,,,8499723.00,
18/04/2017,9023.0000,9023.0000,0.47,8981.0000,8981.0000,9068.0000,8977.0000,8499723,766930,303837,3375,92,,,8499723.00,
13/04/2017,8981.0000,8981.0000,-1.18,9088.0000,9088.0000,9088.0000,8980.0000,8499723,763360,544279,6035,102,,,8499723.00,
12/04/2017,9088.0000,9088.0000,-1.13,9180.0000,9192.0000,9223.0000,9050.0000,8499723,772455,370650,4065,85,,,8499723.00,
09/04/2017,9192.0000,9192.0000,0.19,9175.0000,9175.0000,9230.0000,9101.0000,8499723,781295,335417,3661,63,,,8499723.00,
06/04/2017,9175.0000,9175.0000,-1.41,9306.0000,9306.0000,9306.0000,9118.0000,8499723,779850,1080108,11758,163,,,8495283.00,
05/04/2017,9306.0000,9306.0000,-0.31,9335.0000,9335.0000,9349.0000,9246.0000,8499723,790984,1187036,12765,134,,,8495283.00,
04/04/2017,9335.0000,9335.0000,1.94,9155.0000,9157.0000,9347.0000,9024.0000,8499723,793449,1311370,14219,209,,,8495283.00,
03/04/2017,9157.0000,9157.0000,0.64,9118.0000,9099.0000,9259.0000,9050.0000,8499723,778320,1908810,20925,154,,,8495283.00,
02/04/2017,9099.0000,9099.0000,-1.80,9200.0000,9266.0000,9201.0000,9080.0000,8499723,773390,655639,7185,182,,,8495283.00,
30/03/2017,9266.0000,9266.0000,-0.71,9350.0000,9332.0000,9465.0000,9223.0000,8499723,787584,789438,8494,122,,,8495283.00,
29/03/2017,9332.0000,9332.0000,-1.86,9509.0000,9509.0000,9555.0000,9261.0000,8499723,793194,833472,8844,140,,,8495283.00,
28/03/2017,9509.0000,9509.0000,0.01,9508.0000,9508.0000,9551.0000,9508.0000,8499723,808239,592141,6224,92,,,8495283.00,
27/03/2017,9508.0000,9508.0000,-2.14,9720.0000,9716.0000,9801.0000,9424.0000,8499723,808154,1591499,16459,176,,,8495283.00,
26/03/2017,9716.0000,9716.0000,0.91,9628.0000,9628.0000,9774.0000,9558.0000,8499723,825833,355502,3679,78,,,8495283.00,
23/03/2017,9628.0000,9628.0000,0.33,9596.0000,9596.0000,9774.0000,9595.0000,8499723,818353,494779,5121,120,,,8495283.00,
22/03/2017,9596.0000,9596.0000,-0.81,9580.0000,9674.0000,9672.0000,9532.0000,8499723,815633,835478,8703,143,,,8495283.00,
21/03/2017,9674.0000,9674.0000,2.09,9550.0000,9476.0000,9690.0000,9490.0000,8499723,822263,1220719,12688,185,,,8495283.00,
20/03/2017,9476.0000,9476.0000,0.89,9392.0000,9392.0000,9560.0000,9380.0000,8499723,805434,985009,10382,123,,,8495283.00,
19/03/2017,9392.0000,9392.0000,2.66,9149.0000,9149.0000,9392.0000,9159.0000,8499723,798294,982210,10534,113,,,8495283.00,
16/03/2017,9149.0000,9149.0000,2.18,8954.0000,8954.0000,9195.0000,8916.0000,8499723,777640,844793,9393,106,,,8495283.00,
15/03/2017,8954.0000,8954.0000,-0.51,8950.0000,9000.0000,9012.0000,8897.0000,8499723,761065,2010081,22470,153,EX D,0.97455,8495283.00,
14/03/2017,8999.9693,9235.0000,0.37,9200.0000,9201.0000,9249.0000,9199.0000,8499723,784949,798049,8661,100,,,8495283.00,
13/03/2017,8966.8346,9201.0000,1.72,9178.0000,9045.0000,9249.0000,9096.0000,8499723,782060,2204973,23975,214,,,8495283.00,
09/03/2017,8814.8048,9045.0000,-1.95,9400.0000,9225.0000,9400.0000,9011.0000,8495283,768398,698467,7563,152,,,8495283.00,
08/03/2017,8990.2238,9225.0000,-0.40,9290.0000,9262.0000,9395.0000,9201.0000,8495283,783690,1428957,15351,149,,,8495283.00,
07/03/2017,9026.2821,9262.0000,4.01,8905.0000,8905.0000,9300.0000,8771.0000,8495283,786833,10818699,118600,540,,,8495283.00,
06/03/2017,8678.3678,8905.0000,-8.90,9400.0000,9775.0000,9400.0000,8850.0000,8495283,756505,10535445,115901,751,,,8495283.00,
05/03/2017,9526.2263,9775.0000,-0.15,9829.0000,9790.0000,9850.0000,9720.0000,8495283,830414,576494,5873,90,,,8495283.00,
02/03/2017,9540.8445,9790.0000,2.07,9591.0000,9591.0000,9790.0000,9555.0000,8495283,831688,793922,8169,118,,,8495283.00,
01/03/2017,9346.9091,9591.0000,0.13,9500.0000,9579.0000,9649.0000,9460.0000,8495283,814783,926657,9735,175,,,8495283.00,
28/02/2017,9335.2145,9579.0000,-0.76,9503.0000,9652.0000,9726.0000,9502.0000,8495283,813763,496804,5170,102,,,8495283.00,
27/02/2017,9406.3566,9652.0000,0.04,9640.0000,9648.0000,9770.0000,9538.0000,8495283,819965,979708,10166,133,,,8495283.00,
26/02/2017,9402.4584,9648.0000,-0.96,9742.0000,9742.0000,9783.0000,9565.0000,8495283,819625,603971,6242,78,,,8495283.00,
23/02/2017,9494.0661,9742.0000,1.16,9630.0000,9630.0000,9748.0000,9564.0000,8495283,827610,513615,5306,80,,,8495283.00,
22/02/2017,9384.9165,9630.0000,0.41,9591.0000,9591.0000,9815.0000,9400.0000,8495283,818096,1073578,11193,133,,,8495283.00,
21/02/2017,9346.9091,9591.0000,2.16,9388.0000,9388.0000,9660.0000,9390.0000,8495283,814783,580324,6081,97,,,8495283.00,
20/02/2017,9149.0754,9388.0000,-0.94,9564.0000,9477.0000,9800.0000,9350.0000,8495283,797537,2050286,21610,254,,,8495283.00,
19/02/2017,9235.8104,9477.0000,4.28,9171.0000,9088.0000,9564.0000,9088.0000,8495283,805098,951530,10162,143,,,8495283.00,
16/02/2017,8856.7104,9088.0000,0.72,9023.0000,9023.0000,9101.0000,8960.0000,8495283,772051,927577,10264,115,,,8495283.00,
15/02/2017,8793.3647,9023.0000,-0.22,9043.0000,9043.0000,9249.0000,9001.0000,8495283,766529,630727,6908,128,,,8495283.00,
14/02/2017,8812.8557,9043.0000,-0.76,9112.0000,9112.0000,9112.0000,9000.0000,8495283,768228,1185514,13121,179,,,8495283.00,
13/02/2017,8880.0996,9112.0000,3.08,8840.0000,8840.0000,9139.0000,8840.0000,8495283,774090,758139,8431,90,,,8495283.00,
12/02/2017,8615.0220,8840.0000,-0.06,8933.0000,8845.0000,9155.0000,8840.0000,8495283,750983,1118638,12529,266,,,8495283.00,
09/02/2017,8619.8948,8845.0000,-1.83,9010.0000,9010.0000,9194.0000,8845.0000,8495283,751408,11125213,125474,184,,,7786072.00,
08/02/2017,8780.6955,9010.0000,0.33,8980.0000,8980.0000,9146.0000,8902.0000,8495283,765425,2813510,31253,135,,,7786072.00,
07/02/2017,8751.4590,8980.0000,-1.48,9115.0000,9115.0000,9238.0000,8921.0000,8495283,762876,1112720,12155,191,,,7786072.00,
06/02/2017,8883.0233,9115.0000,0.79,9044.0000,9044.0000,9172.0000,9044.0000,8495283,774345,1140228,12512,161,,,7786072.00,
05/02/2017,8813.8302,9044.0000,2.26,8942.0000,8844.0000,9047.0000,8939.0000,8495283,768313,1064098,11791,193,,,7786072.00,
02/02/2017,8618.9202,8844.0000,0.52,8798.0000,8798.0000,8900.0000,8751.0000,8495283,751323,788813,8902,147,,,7786072.00,
01/02/2017,8574.0909,8798.0000,1.10,8702.0000,8702.0000,8800.0000,8621.0000,8495283,747415,4770631,54758,254,,,7786072.00,
31/01/2017,8480.5341,8702.0000,1.39,8650.0000,8583.0000,8800.0000,8531.0000,8495283,739260,4251500,49421,194,,,7786072.00,
30/01/2017,8364.5627,8583.0000,1.26,8476.0000,8476.0000,8701.0000,8396.0000,8495283,729150,887879,10299,135,,,7786072.00,
29/01/2017,8260.2858,8476.0000,0.13,8465.0000,8465.0000,8514.0000,8370.0000,8495283,720060,235137,2788,44,,,7786072.00,
26/01/2017,8249.5658,8465.0000,-0.79,8532.0000,8532.0000,8688.0000,8380.0000,8495283,719126,631677,7433,95,,,7786072.00,
25/01/2017,8314.8606,8532.0000,0.64,8478.0000,8478.0000,8596.0000,8478.0000,8495283,724818,280656,3290,61,,,7786072.00,
24/01/2017,8262.2349,8478.0000,2.42,8250.0000,8278.0000,8495.0000,8250.0000,8495283,720230,1432213,17059,100,,,7786072.00,
23/01/2017,8067.3249,8278.0000,-1.63,8370.0000,8415.0000,8405.0000,8258.0000,8495283,703240,1513996,18160,137,,,7786072.00,
22/01/2017,8200.8383,8415.0000,-0.72,8476.0000,8476.0000,8540.0000,8389.0000,8495283,714878,635990,7529,97,,,7786072.00,
19/01/2017,8260.2858,8476.0000,0.18,8461.0000,8461.0000,8480.0000,8440.0000,8495283,720060,1586165,18733,136,,,7786072.00,
18/01/2017,8245.6676,8461.0000,-0.45,8455.0000,8499.0000,8510.0000,8404.0000,8495283,718786,1963912,23193,217,,,7786072.00,
17/01/2017,8282.7005,8499.0000,0.85,8499.0000,8427.0000,8500.0000,8411.0000,8495283,722014,3356394,39683,108,,,7786072.00,
16/01/2017,8212.5329,8427.0000,-0.87,8501.0000,8501.0000,8501.0000,8416.0000,8495283,715898,587220,6964,101,,,7786072.00,
15/01/2017,8284.6496,8501.0000,-1.29,8640.0000,8612.0000,8640.0000,8453.0000,8495283,722184,614616,7224,100,,,7786072.00,
12/01/2017,8392.8246,8612.0000,-1.96,8784.0000,8784.0000,8817.0000,8552.0000,8495283,731614,1136943,13161,136,,,7786072.00,
11/01/2017,8560.4472,8784.0000,-0.11,8701.0000,8794.0000,8797.0000,8701.0000,8495283,746226,274512,3125,69,,,7786072.00,
