Historical Prices - TALDOR - 00477018
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3042.0000,3042.0000,-1.04,3072.0000,3074.0000,3072.0000,3033.0000,11009642,334913,217209,7122,24,,,10943981.00,
28/05/2017,3074.0000,3074.0000,-0.03,3075.0000,3075.0000,3098.0000,3039.0000,11009642,338436,278898,9090,22,,,10943981.00,
25/05/2017,3075.0000,3075.0000,0.00,3065.0000,3075.0000,3089.0000,3045.0000,11009642,338546,398411,12988,32,,,10943981.00,
24/05/2017,3075.0000,3075.0000,-0.19,3081.0000,3081.0000,3090.0000,3034.0000,11009642,338546,144250,4715,34,,,10943981.00,
23/05/2017,3081.0000,3081.0000,2.63,3002.0000,3002.0000,3152.0000,3002.0000,11009642,339207,511792,16538,79,,,10943981.00,
22/05/2017,3002.0000,3002.0000,1.32,2963.0000,2963.0000,3088.0000,2958.0000,11009642,330509,178264,5936,39,,,10943981.00,
21/05/2017,2963.0000,2963.0000,-0.80,2987.0000,2987.0000,2984.0000,2958.0000,11009642,326216,51106,1725,13,,,10943981.00,
18/05/2017,2987.0000,2987.0000,-3.65,3100.0000,3100.0000,3061.0000,2945.0000,11009642,328858,211121,7059,31,,,10943981.00,
17/05/2017,3100.0000,3100.0000,-0.58,3118.0000,3118.0000,3118.0000,3080.0000,11009642,341299,154871,4996,37,,,10943981.00,
16/05/2017,3118.0000,3118.0000,-0.06,3186.0000,3120.0000,3186.0000,3090.0000,11009642,343281,144096,4611,24,,,10943981.00,
15/05/2017,3120.0000,3120.0000,0.55,3103.0000,3103.0000,3212.0000,3109.0000,11009642,343501,107638,3407,30,,,10943981.00,
14/05/2017,3103.0000,3103.0000,0.00,3103.0000,3103.0000,3134.0000,3084.0000,11009642,341629,518186,16700,59,,,10943981.00,
11/05/2017,3103.0000,3103.0000,-1.18,3140.0000,3140.0000,3145.0000,3094.0000,11009642,341629,129786,4166,32,,,10943981.00,
10/05/2017,3140.0000,3140.0000,3.63,3092.0000,3030.0000,3148.0000,3056.0000,11009642,345703,398189,12756,52,,,10943981.00,
09/05/2017,3030.0000,3030.0000,1.51,2985.0000,2985.0000,3065.0000,2982.0000,11009642,333592,635946,21223,39,,,10943981.00,
08/05/2017,2985.0000,2985.0000,-0.30,2994.0000,2994.0000,2994.0000,2967.0000,11009642,328638,1132465,37915,33,,,10943981.00,
07/05/2017,2994.0000,2994.0000,2.78,2913.0000,2913.0000,3000.0000,2914.0000,11009642,329629,284184,9594,31,,,10943981.00,
04/05/2017,2913.0000,2913.0000,-0.03,2914.0000,2914.0000,2934.0000,2857.0000,11009642,320711,656676,22545,42,,,10943981.00,
03/05/2017,2914.0000,2914.0000,0.55,2898.0000,2898.0000,2920.0000,2879.0000,11009642,320821,210257,7250,31,,,10943981.00,
30/04/2017,2898.0000,2898.0000,1.05,2840.0000,2868.0000,2917.0000,2840.0000,11009642,319059,127568,4421,34,,,10943981.00,
27/04/2017,2868.0000,2868.0000,-1.14,2901.0000,2901.0000,2911.0000,2865.0000,11009642,315757,59332,2068,15,,,10943981.00,
26/04/2017,2901.0000,2901.0000,-3.27,2894.0000,2999.0000,2929.0000,2838.0000,11009642,319390,555845,19404,79,,,10943981.00,
25/04/2017,2999.0000,2999.0000,5.41,2845.0000,2845.0000,3054.0000,2847.0000,11009642,330179,1631437,54594,124,,,10943981.00,
24/04/2017,2845.0000,2845.0000,1.43,2805.0000,2805.0000,2860.0000,2803.0000,11009642,313224,157364,5528,23,,,10943981.00,
23/04/2017,2805.0000,2805.0000,-1.13,2837.0000,2837.0000,2838.0000,2780.0000,11009642,308820,79422,2829,16,,,10943981.00,
20/04/2017,2837.0000,2837.0000,-1.63,2884.0000,2884.0000,2884.0000,2827.0000,10943981,310481,151563,5336,26,,,10943981.00,
19/04/2017,2884.0000,2884.0000,-0.55,2900.0000,2900.0000,2900.0000,2817.0000,10943981,315624,576135,20178,56,,,10943981.00,
18/04/2017,2900.0000,2900.0000,-0.72,2935.0000,2921.0000,2935.0000,2881.0000,10943981,317375,93668,3228,19,,,10943981.00,
13/04/2017,2921.0000,2921.0000,-1.72,2972.0000,2972.0000,2999.0000,2916.0000,10943981,319674,37679,1290,10,,,10943981.00,
12/04/2017,2972.0000,2972.0000,-1.82,3034.0000,3027.0000,3034.0000,2967.0000,10943981,325255,151406,5086,28,,,10943981.00,
09/04/2017,3027.0000,3027.0000,0.90,3000.0000,3000.0000,3035.0000,2970.0000,10943981,331274,2470863,81627,51,,,10943981.00,
06/04/2017,3000.0000,3000.0000,1.32,2961.0000,2961.0000,3035.0000,2932.0000,10943981,328319,730228,24377,51,,,10943981.00,
05/04/2017,2961.0000,2961.0000,1.51,2917.0000,2917.0000,2998.0000,2940.0000,10943981,324051,161906,5464,34,,,10943981.00,
04/04/2017,2917.0000,2917.0000,2.06,2897.0000,2858.0000,2940.0000,2889.0000,10943981,319236,95965,3292,18,,,10943981.00,
03/04/2017,2858.0000,2858.0000,1.42,2818.0000,2818.0000,2900.0000,2790.0000,10943981,312779,175194,6163,22,EX D,0.99295,10943981.00,
02/04/2017,2817.9921,2838.0000,0.04,2837.0000,2837.0000,2842.0000,2810.0000,10943981,310590,123217,4363,14,,,10943981.00,
30/03/2017,2816.9992,2837.0000,0.89,2812.0000,2812.0000,2846.0000,2786.0000,10943981,310481,124210,4385,16,,,10943981.00,
29/03/2017,2792.1754,2812.0000,0.04,2811.0000,2811.0000,2820.0000,2800.0000,10943981,307745,54545,1942,12,,,10943981.00,
28/03/2017,2791.1825,2811.0000,0.11,2808.0000,2808.0000,2847.0000,2809.0000,10943981,307635,425994,15156,25,,,10943981.00,
27/03/2017,2788.2036,2808.0000,-0.46,2821.0000,2821.0000,2840.0000,2773.0000,10943981,307307,657626,23477,40,,,10943981.00,
26/03/2017,2801.1120,2821.0000,-0.70,2841.0000,2841.0000,2825.0000,2802.0000,10943981,308730,129760,4604,23,,,10943981.00,
23/03/2017,2820.9710,2841.0000,-0.11,2844.0000,2844.0000,2850.0000,2811.0000,10943981,310919,148366,5234,27,,,10943981.00,
22/03/2017,2823.9498,2844.0000,-1.01,2871.0000,2873.0000,2871.0000,2802.0000,10943981,311247,300167,10545,39,,,10943981.00,
21/03/2017,2852.7454,2873.0000,2.64,2799.0000,2799.0000,2880.0000,2781.0000,10943981,314421,342263,11995,28,,,10943981.00,
20/03/2017,2779.2671,2799.0000,0.83,2776.0000,2776.0000,2813.0000,2776.0000,10943981,306322,428506,15369,37,,,10943981.00,
19/03/2017,2756.4292,2776.0000,-0.68,2790.0000,2795.0000,2797.0000,2762.0000,10943981,303805,94043,3388,16,,,10943981.00,
16/03/2017,2775.2953,2795.0000,0.43,2783.0000,2783.0000,2818.0000,2770.0000,10943981,305884,192345,6882,30,,,10943981.00,
15/03/2017,2763.3799,2783.0000,-0.54,2798.0000,2798.0000,2800.0000,2762.0000,10943981,304571,290489,10458,31,,,10943981.00,
