Historical Prices - TELSYS - 00354019
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4704.0000,4704.0000,1.51,4634.0000,4634.0000,4800.0000,4593.0000,6359165,299135,85831,1819,16,,,6359165.00,
28/05/2017,4634.0000,4634.0000,-0.02,4635.0000,4635.0000,4650.0000,4580.0000,6359165,294684,67280,1451,10,,,6359165.00,
25/05/2017,4635.0000,4635.0000,-0.43,4898.0000,4655.0000,4898.0000,4600.0000,6359165,294747,75906,1626,21,,,6359165.00,
24/05/2017,4655.0000,4655.0000,-0.73,4689.0000,4689.0000,4894.0000,4652.0000,6359165,296019,699275,14869,58,,,6359165.00,
23/05/2017,4689.0000,4689.0000,1.21,4633.0000,4633.0000,4797.0000,4590.0000,6359165,298181,134261,2879,25,,,6359165.00,
22/05/2017,4633.0000,4633.0000,7.57,4500.0000,4307.0000,4694.0000,4333.0000,6359165,294620,236119,5229,37,,,6359165.00,
21/05/2017,4307.0000,4307.0000,2.11,4218.0000,4218.0000,4495.0000,4250.0000,6359165,273889,361092,8388,14,,,6359165.00,
18/05/2017,4218.0000,4218.0000,-7.09,4511.0000,4540.0000,4511.0000,4213.0000,6359165,268230,459268,10846,65,,,6359165.00,
17/05/2017,4540.0000,4540.0000,-0.79,4576.0000,4576.0000,4590.0000,4512.0000,6359165,288706,36864,812,7,,,6359165.00,
16/05/2017,4576.0000,4576.0000,-0.13,4582.0000,4582.0000,4605.0000,4541.0000,6359165,290995,61132,1335,17,,,6359165.00,
15/05/2017,4582.0000,4582.0000,0.53,4558.0000,4558.0000,4640.0000,4500.0000,6359165,291377,216470,4719,23,,,6359165.00,
14/05/2017,4558.0000,4558.0000,2.40,4451.0000,4451.0000,4630.0000,4455.0000,6359165,289851,228363,5000,29,,,6359165.00,
11/05/2017,4451.0000,4451.0000,3.06,4319.0000,4319.0000,4627.0000,4319.0000,6359165,283046,172552,3871,15,,,6359165.00,
10/05/2017,4319.0000,4319.0000,-1.05,4365.0000,4365.0000,4425.0000,4220.0000,6359165,274652,122283,2849,29,,,6359165.00,
09/05/2017,4365.0000,4365.0000,-0.05,4380.0000,4367.0000,4380.0000,4300.0000,6359165,277578,244247,5630,24,,,6359165.00,
08/05/2017,4367.0000,4367.0000,-1.31,4425.0000,4425.0000,4494.0000,4300.0000,6359165,277705,407453,9189,31,,,6359165.00,
07/05/2017,4425.0000,4425.0000,1.05,4379.0000,4379.0000,4532.0000,4380.0000,6359165,281393,887299,20104,48,,,6359165.00,
04/05/2017,4379.0000,4379.0000,-0.52,4407.0000,4402.0000,4408.0000,4350.0000,6359165,278468,429156,9792,21,,,6359165.00,
03/05/2017,4402.0000,4402.0000,-1.96,4490.0000,4490.0000,4490.0000,4375.0000,6359165,279930,195500,4442,21,,,6359165.00,
30/04/2017,4490.0000,4490.0000,4.49,4297.0000,4297.0000,4554.0000,4297.0000,6359165,285527,245812,5528,32,EX D,0.95468,6359165.00,
27/04/2017,4297.0147,4501.0000,0.02,4488.0000,4500.0000,4540.0000,4455.0000,6359165,286226,403032,8968,27,,,6359165.00,
26/04/2017,4296.0600,4500.0000,0.20,4480.0000,4491.0000,4500.0000,4470.0000,6359165,286162,443480,9883,31,,,6359165.00,
25/04/2017,4287.4679,4491.0000,3.77,4328.0000,4328.0000,4499.0000,4361.0000,6359165,285590,366284,8162,60,,,6359165.00,
24/04/2017,4131.8550,4328.0000,1.43,4290.0000,4267.0000,4498.0000,4282.0000,6359165,275225,105887,2443,19,,,6359165.00,
23/04/2017,4073.6196,4267.0000,1.69,4196.0000,4196.0000,4280.0000,4201.0000,6359165,271346,91320,2143,13,,,6359165.00,
20/04/2017,4005.8373,4196.0000,0.87,4240.0000,4160.0000,4240.0000,4130.0000,6359165,266831,152460,3645,29,,,6359165.00,
19/04/2017,3971.4688,4160.0000,0.85,4125.0000,4125.0000,4199.0000,4070.0000,6359165,264541,152541,3683,18,,,6359165.00,
18/04/2017,3938.0550,4125.0000,1.35,4070.0000,4070.0000,4240.0000,4070.0000,6359165,262316,197959,4803,23,,,6359165.00,
13/04/2017,3885.5476,4070.0000,-0.07,4073.0000,4073.0000,4073.0000,4070.0000,6359165,258818,32072,788,8,,,6359165.00,
12/04/2017,3888.4116,4073.0000,6.82,3813.0000,3813.0000,4098.0000,3810.0000,6359165,259009,356877,8739,22,,,6359165.00,
09/04/2017,3640.1948,3813.0000,-0.99,3850.0000,3851.0000,3850.0000,3716.0000,6359165,242475,264257,6928,35,,,6359165.00,
06/04/2017,3676.4727,3851.0000,-5.66,4050.0000,4082.0000,4080.0000,3851.0000,6359165,244891,414456,10573,43,,,6359165.00,
05/04/2017,3897.0038,4082.0000,0.74,4052.0000,4052.0000,4145.0000,4052.0000,6359165,259581,156443,3829,36,,,6359165.00,
04/04/2017,3868.3634,4052.0000,0.80,4020.0000,4020.0000,4200.0000,4020.0000,6359165,257673,154543,3776,27,,,6359165.00,
03/04/2017,3837.8136,4020.0000,0.05,4018.0000,4018.0000,4242.0000,3850.0000,6359165,255638,1538772,38550,116,,,6359165.00,
02/04/2017,3835.9042,4018.0000,18.63,3387.0000,3387.0000,4276.0000,3504.0000,6359165,255511,1014433,25531,107,,,6359165.00,
30/03/2017,3233.5012,3387.0000,-2.36,3469.0000,3469.0000,3471.0000,3382.0000,6359165,215385,307477,9031,31,,,6359165.00,
29/03/2017,3311.7849,3469.0000,3.89,3331.0000,3339.0000,3599.0000,3331.0000,6359165,220599,434144,12523,48,,,6359165.00,
28/03/2017,3187.6765,3339.0000,14.19,2989.0000,2924.0000,3440.0000,2922.0000,6359165,212333,916983,28757,91,,,6359165.00,
27/03/2017,2791.4843,2924.0000,-0.81,2923.0000,2948.0000,2979.0000,2920.0000,6359165,185942,76856,2629,7,,,6359165.00,
26/03/2017,2814.3966,2948.0000,-1.54,2994.0000,2994.0000,2989.0000,2930.0000,6359165,187468,8107,275,5,,,6359165.00,
23/03/2017,2858.3119,2994.0000,0.94,2999.0000,2966.0000,3000.0000,2936.0000,6359165,190393,188616,6319,13,,,6359165.00,
22/03/2017,2831.5809,2966.0000,-0.44,2979.0000,2979.0000,2989.0000,2923.0000,6359165,188613,6051,204,3,,,6359165.00,
21/03/2017,2843.9917,2979.0000,-0.23,2986.0000,2986.0000,3082.0000,2923.0000,6359165,189440,106603,3586,23,,,6359165.00,
20/03/2017,2850.6745,2986.0000,0.30,3083.0000,2977.0000,3083.0000,2840.0000,6359165,189885,143976,4834,24,,,6359165.00,
19/03/2017,2842.0824,2977.0000,-3.38,3081.0000,3081.0000,3021.0000,2950.0000,6359165,189312,38105,1280,8,,,6359165.00,
16/03/2017,2941.3691,3081.0000,2.70,3000.0000,3000.0000,3144.0000,2919.0000,6359165,195926,46963,1540,12,,,6359165.00,
15/03/2017,2864.0400,3000.0000,2.04,3139.0000,2940.0000,3139.0000,2850.0000,6359165,190775,3067296,102271,31,,,6359165.00,
14/03/2017,2806.7592,2940.0000,0.86,2915.0000,2915.0000,2981.0000,2902.0000,6359165,186959,7968,271,4,,,6359165.00,
13/03/2017,2782.8922,2915.0000,-0.07,2917.0000,2917.0000,3130.0000,2845.0000,6359165,185370,478298,16079,48,,,6359165.00,
09/03/2017,2784.8016,2917.0000,-1.72,2968.0000,2968.0000,2936.0000,2862.0000,6359165,185497,29813,1022,10,,,6359165.00,
08/03/2017,2833.4902,2968.0000,-0.30,2977.0000,2977.0000,3036.0000,2837.0000,6359165,188740,105037,3567,25,,,6359165.00,
07/03/2017,2842.0824,2977.0000,0.78,2954.0000,2954.0000,3149.0000,2814.0000,6359165,189312,179111,6136,42,,,6359165.00,
06/03/2017,2820.1247,2954.0000,-0.67,2974.0000,2974.0000,3024.0000,2911.0000,6359165,187850,46729,1582,13,,,6359165.00,
05/03/2017,2839.2183,2974.0000,-0.44,2987.0000,2987.0000,3000.0000,2911.0000,6359165,189122,49597,1668,10,,,6359165.00,
02/03/2017,2851.6292,2987.0000,5.55,2830.0000,2830.0000,3019.0000,2900.0000,6359165,189948,16786,562,9,,,6359165.00,
01/03/2017,2701.7444,2830.0000,0.28,2822.0000,2822.0000,2876.0000,2757.0000,6359165,179964,42651,1507,14,,,6359165.00,
28/02/2017,2694.1070,2822.0000,0.36,2815.0000,2812.0000,2848.0000,2815.0000,6359165,179456,45736,1621,13,,,6359165.00,
27/02/2017,2684.5602,2812.0000,0.82,2789.0000,2789.0000,2890.0000,2774.0000,6359165,178820,123809,4416,25,,,6359165.00,
26/02/2017,2662.6025,2789.0000,-2.04,2847.0000,2847.0000,2847.0000,2766.0000,6359165,177357,41675,1494,12,,,6359165.00,
23/02/2017,2717.9740,2847.0000,-1.15,2880.0000,2880.0000,2937.0000,2821.0000,6359165,181045,81826,2865,18,,,6359165.00,
22/02/2017,2749.4784,2880.0000,-2.44,3017.0000,2952.0000,3017.0000,2847.0000,6359165,183144,196571,6803,35,,,6359165.00,
21/02/2017,2818.2154,2952.0000,1.65,2904.0000,2904.0000,3127.0000,2841.0000,6359165,187723,114761,3933,18,,,6359165.00,
20/02/2017,2772.3907,2904.0000,0.41,2892.0000,2892.0000,2997.0000,2892.0000,6359165,184670,40483,1394,10,,,6359165.00,
19/02/2017,2760.9346,2892.0000,-1.33,2931.0000,2931.0000,2920.0000,2841.0000,6359165,183907,57559,1989,13,,,6359165.00,
16/02/2017,2798.1671,2931.0000,-2.79,3015.0000,3015.0000,2985.0000,2903.0000,6359165,186387,123878,4186,25,,,6359165.00,
15/02/2017,2878.3602,3015.0000,0.23,3008.0000,3008.0000,3082.0000,2984.0000,6359165,191729,78330,2592,19,,,6359165.00,
14/02/2017,2871.6774,3008.0000,-2.12,3073.0000,3073.0000,3140.0000,2991.0000,6359165,191284,126444,4160,25,,,6359165.00,
13/02/2017,2933.7316,3073.0000,-0.87,3100.0000,3100.0000,3174.0000,2854.0000,6359165,195417,168768,5422,21,,,6359165.00,
12/02/2017,2959.5080,3100.0000,-1.59,3200.0000,3150.0000,3200.0000,3026.0000,6359165,197134,423294,13672,32,,,6359165.00,
09/02/2017,3007.2420,3150.0000,7.14,2940.0000,2940.0000,3150.0000,2914.0000,6359165,200314,2171620,69155,55,,,6359165.00,
08/02/2017,2806.7592,2940.0000,1.77,2889.0000,2889.0000,2940.0000,2840.0000,6359165,186959,159671,5480,21,,,6359165.00,
07/02/2017,2758.0705,2889.0000,-2.33,2958.0000,2958.0000,2970.0000,2881.0000,6359165,183716,22912,793,7,,,6359165.00,
06/02/2017,2823.9434,2958.0000,1.96,2901.0000,2901.0000,2967.0000,2930.0000,6359165,188104,21922,741,6,,,6359165.00,
05/02/2017,2769.5267,2901.0000,5.15,2759.0000,2759.0000,2936.0000,2760.0000,6359165,184479,161672,5622,39,,,6359165.00,
02/02/2017,2633.9621,2759.0000,0.66,2741.0000,2741.0000,2880.0000,2706.0000,6359165,175449,74368,2664,17,,,6359165.00,
01/02/2017,2616.7779,2741.0000,0.92,2716.0000,2716.0000,2745.0000,2701.0000,6359165,174305,28013,1022,10,,,6359165.00,
31/01/2017,2592.9109,2716.0000,1.12,2686.0000,2686.0000,2945.0000,2556.0000,6359165,172715,331510,12326,29,,,6359165.00,
30/01/2017,2564.2705,2686.0000,-3.10,2772.0000,2772.0000,2772.0000,2602.0000,6359165,170807,71148,2629,29,,,6359165.00,
29/01/2017,2646.3730,2772.0000,-1.91,2826.0000,2826.0000,2826.0000,2765.0000,6359165,176276,30523,1101,12,,,6359165.00,
26/01/2017,2697.9257,2826.0000,-3.78,2937.0000,2937.0000,2929.0000,2764.0000,6359165,179710,99383,3548,28,,,6359165.00,
25/01/2017,2803.8952,2937.0000,1.38,2889.0000,2897.0000,2947.0000,2889.0000,6359165,186769,85966,2939,23,,,6359165.00,
24/01/2017,2765.7080,2897.0000,-5.14,3055.0000,3054.0000,3055.0000,2879.0000,6359165,184225,159514,5503,24,,,6359165.00,
23/01/2017,2915.5927,3054.0000,-6.69,3273.0000,3273.0000,3318.0000,2980.0000,6359165,194209,179354,5737,36,,,6359165.00,
22/01/2017,3124.6676,3273.0000,2.31,3199.0000,3199.0000,3329.0000,3181.0000,6359165,208135,172603,5350,34,,,6359165.00,
19/01/2017,3054.0213,3199.0000,-2.77,3290.0000,3290.0000,3299.0000,3161.0000,6359165,203430,149688,4625,29,,,6359165.00,
18/01/2017,3140.8972,3290.0000,2.21,3219.0000,3219.0000,3300.0000,3229.0000,6359165,209217,45570,1385,9,,,6359165.00,
17/01/2017,3073.1149,3219.0000,-2.54,3303.0000,3303.0000,3333.0000,3210.0000,6359165,204702,132544,4054,27,,,6359165.00,
16/01/2017,3153.3080,3303.0000,2.23,3231.0000,3231.0000,3332.0000,3268.0000,6359165,210043,88894,2684,20,,,6359165.00,
15/01/2017,3084.5711,3231.0000,0.28,3222.0000,3222.0000,3299.0000,3101.0000,6359165,205465,73336,2270,17,,,6359165.00,
12/01/2017,3075.9790,3222.0000,0.00,3222.0000,3222.0000,3222.0000,3222.0000,6359165,204892,17914,556,2,,,6359165.00,
11/01/2017,3075.9790,3222.0000,-0.59,3241.0000,3241.0000,3273.0000,3168.0000,6359165,204892,142129,4389,18,,,6359165.00,
10/01/2017,3094.1179,3241.0000,0.87,3213.0000,3213.0000,3250.0000,3142.0000,6359165,206101,84640,2613,16,,,6359165.00,
09/01/2017,3067.3868,3213.0000,-0.19,3220.0000,3219.0000,3220.0000,3150.0000,6359165,204320,180923,5642,26,,,6359165.00,
08/01/2017,3073.1149,3219.0000,2.39,3219.0000,3144.0000,3220.0000,3207.0000,6359165,204702,104600,3254,19,,,6359165.00,
05/01/2017,3001.5139,3144.0000,2.11,3136.0000,3079.0000,3160.0000,3115.0000,6359165,199932,82038,2610,22,,,6359165.00,
04/01/2017,2939.4597,3079.0000,2.98,2990.0000,2990.0000,3090.0000,3000.0000,6359165,195799,485958,16020,43,,,6359165.00,
03/01/2017,2854.4932,2990.0000,5.24,2841.0000,2841.0000,3010.0000,2841.0000,6359165,190139,591036,19967,48,,,6359165.00,
02/01/2017,2712.2459,2841.0000,2.67,2767.0000,2767.0000,2870.0000,2767.0000,6359165,180664,442879,15685,30,,,6359165.00,
01/01/2017,2641.5996,2767.0000,0.73,2747.0000,2747.0000,2820.0000,2747.0000,6359165,175958,7665,277,4,,,6359165.00,
29/12/2016,2622.5060,2747.0000,-1.86,2799.0000,2799.0000,2820.0000,2710.0000,6359165,174686,19502,710,11,,,6359165.00,
28/12/2016,2672.1493,2799.0000,-1.27,2835.0000,2835.0000,2825.0000,2781.0000,6359165,177993,7671,274,7,,,6359165.00,
27/12/2016,2706.5178,2835.0000,-0.87,2860.0000,2860.0000,2853.0000,2710.0000,6359165,180282,69058,2458,21,,,6359165.00,
26/12/2016,2730.3848,2860.0000,-0.10,2863.0000,2863.0000,2918.0000,2768.0000,6359165,181872,56828,1982,13,,,6359165.00,
25/12/2016,2733.2488,2863.0000,1.89,2810.0000,2810.0000,2870.0000,2810.0000,6359165,182063,635730,22276,21,,,6359165.00,
22/12/2016,2682.6508,2810.0000,-2.90,2894.0000,2894.0000,2890.0000,2800.0000,6359165,178693,50932,1812,13,,,6359165.00,
21/12/2016,2762.8439,2894.0000,0.03,2893.0000,2893.0000,2898.0000,2893.0000,6359165,184034,3618,125,4,,,6359165.00,
20/12/2016,2761.8892,2893.0000,-0.24,2900.0000,2900.0000,2900.0000,2852.0000,6359165,183971,57619,1990,6,,,6359165.00,
