Historical Prices - TIV TAAM - 00103010
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,332.5000,332.5000,-1.42,343.0000,337.3000,343.0000,326.3000,104267472,346689,293247,87290,58,,,104267472.00,
28/05/2017,337.3000,337.3000,1.90,331.0000,331.0000,339.0000,331.0000,104267472,351694,496515,148355,48,,,104267472.00,
25/05/2017,331.0000,331.0000,-0.27,331.9000,331.9000,336.0000,326.4000,104267472,345125,612104,184943,68,,,104267472.00,
24/05/2017,331.9000,331.9000,3.33,324.4000,321.2000,333.0000,320.2000,104267472,346064,2358172,728372,111,,,104267472.00,
23/05/2017,321.2000,321.2000,0.34,321.6000,320.1000,324.3000,317.6000,104267472,334907,629002,196477,98,,,104267472.00,
22/05/2017,320.1000,320.1000,-0.47,324.4000,321.6000,324.4000,318.0000,104267472,333760,728972,226472,71,,,104267472.00,
21/05/2017,321.6000,321.6000,-0.83,334.0000,324.3000,334.0000,319.9000,104267472,335324,343953,106539,44,,,104267472.00,
18/05/2017,324.3000,324.3000,-1.70,343.0000,329.9000,343.0000,320.0000,104267472,338139,195466,59868,51,,,104267472.00,
17/05/2017,329.9000,329.9000,-2.14,342.0000,337.1000,342.0000,328.1000,104267472,343978,250109,75643,46,,,104267472.00,
16/05/2017,337.1000,337.1000,-0.85,340.0000,340.0000,340.0000,335.0000,104267472,351486,496032,147119,54,,,104267472.00,
15/05/2017,340.0000,340.0000,0.00,340.0000,340.0000,340.0000,336.0000,104267472,354509,1187958,350064,58,,,104267472.00,
14/05/2017,340.0000,340.0000,2.22,332.6000,332.6000,343.8000,336.5000,104267472,354509,335166,98495,44,,,104267472.00,
11/05/2017,332.6000,332.6000,0.18,336.0000,332.0000,336.2000,330.0000,104267472,346794,1200251,361280,78,,,104267472.00,
10/05/2017,332.0000,332.0000,1.59,326.8000,326.8000,334.4000,327.0000,104267472,346168,135232,40912,34,,,104267472.00,
09/05/2017,326.8000,326.8000,1.87,332.0000,320.8000,332.0000,320.0000,104267472,340746,224739,68988,43,,,104267472.00,
08/05/2017,320.8000,320.8000,-0.59,326.0000,322.7000,333.0000,316.0000,104267472,334490,487347,149139,72,,,104267472.00,
07/05/2017,322.7000,322.7000,2.57,318.0000,314.6000,324.7000,317.8000,104267472,336471,154902,48313,36,,,104267472.00,
04/05/2017,314.6000,314.6000,-0.41,324.5000,315.9000,324.5000,308.0000,104267472,328025,577033,183363,50,,,104267472.00,
03/05/2017,315.9000,315.9000,1.22,314.0000,312.1000,318.0000,313.9000,104267472,329381,124279,39325,35,,,104267472.00,
30/04/2017,312.1000,312.1000,1.56,311.0000,307.3000,313.5000,302.7000,104267472,325419,232625,75548,54,,,104267472.00,
27/04/2017,307.3000,307.3000,0.20,311.0000,306.7000,311.0000,302.5000,104267472,320414,252317,82339,41,,,104267472.00,
26/04/2017,306.7000,306.7000,-0.16,309.0000,307.2000,309.0000,305.0000,104267472,319788,387190,126230,30,,,104267472.00,
25/04/2017,307.2000,307.2000,0.92,310.7000,304.4000,310.7000,303.7000,104267472,320310,122091,39808,40,,,104267472.00,
24/04/2017,304.4000,304.4000,-0.07,310.5000,304.6000,310.8000,302.0000,104267472,317390,447998,146578,43,,,104267472.00,
23/04/2017,304.6000,304.6000,0.53,312.0000,303.0000,312.0000,304.1000,104267472,317599,200100,65308,28,,,104267472.00,
20/04/2017,303.0000,303.0000,-3.04,313.4000,312.5000,313.4000,302.1000,104267472,315930,716167,234998,65,,,104267472.00,
19/04/2017,312.5000,312.5000,2.66,304.4000,304.4000,313.4000,300.0000,104267472,325836,701831,228217,80,,,104267472.00,
18/04/2017,304.4000,304.4000,5.29,295.0000,289.1000,309.9000,281.5000,104267472,317390,1023901,348625,79,,,104267472.00,
13/04/2017,289.1000,289.1000,0.80,294.9000,286.8000,294.9000,285.5000,104267472,301437,146665,50948,39,,,104267472.00,
12/04/2017,286.8000,286.8000,1.52,287.0000,282.5000,289.3000,285.5000,104267472,299039,81097,28326,20,,,104267472.00,
09/04/2017,282.5000,282.5000,-2.55,295.0000,289.9000,295.0000,279.0000,104267472,294556,604910,213709,80,,,104267472.00,
06/04/2017,289.9000,289.9000,-0.21,295.0000,290.5000,295.0000,285.8000,104267472,302271,608399,210383,75,,,104267472.00,
05/04/2017,290.5000,290.5000,-0.92,295.0000,293.2000,295.0000,290.0000,104267472,302897,294422,100780,43,,,104267472.00,
04/04/2017,293.2000,293.2000,2.84,306.5000,285.1000,306.5000,281.0000,104267472,305712,825007,287589,79,,,104267472.00,
03/04/2017,285.1000,285.1000,-1.21,290.0000,288.6000,291.0000,284.3000,104267472,297267,457148,159018,70,,,104267472.00,
02/04/2017,288.6000,288.6000,-1.70,293.6000,293.6000,292.3000,285.0000,104267472,300916,342804,119030,60,,,104267472.00,
30/03/2017,293.6000,293.6000,-3.01,311.0000,302.7000,311.0000,290.0000,104267472,306129,484963,163934,89,,,104267472.00,
29/03/2017,302.7000,302.7000,0.43,301.4000,301.4000,309.9000,301.7000,104267472,315618,78172,25666,14,,,104267472.00,
28/03/2017,301.4000,301.4000,-0.79,309.9000,303.8000,309.9000,300.0000,104267472,314262,421092,139613,43,,,104267472.00,
27/03/2017,303.8000,303.8000,1.61,304.0000,299.0000,304.0000,292.8000,104267472,316765,512836,171112,70,,,104267472.00,
26/03/2017,299.0000,299.0000,-0.13,299.4000,299.4000,303.0000,293.0000,104267472,311760,225666,75714,56,,,104267472.00,
23/03/2017,299.4000,299.4000,0.77,300.0000,297.1000,302.8000,295.9000,104267472,312177,340694,114151,44,,,104267472.00,
