Historical Prices - UNION - 00722314
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1829.0000,1829.0000,2.18,1790.0000,1790.0000,1925.0000,1790.0000,73583024,1345834,5847195,316823,596,,,73583024.00,
28/05/2017,1790.0000,1790.0000,1.42,1769.0000,1765.0000,1790.0000,1765.0000,73583024,1317136,1255708,70431,160,,,73583024.00,
25/05/2017,1765.0000,1765.0000,-0.95,1787.0000,1782.0000,1790.0000,1751.0000,73583024,1298740,1735683,98404,256,,,73583024.00,
24/05/2017,1782.0000,1782.0000,-0.78,1796.0000,1796.0000,1799.0000,1760.0000,73583024,1311249,946195,53270,155,,,73583024.00,
23/05/2017,1796.0000,1796.0000,-0.22,1795.0000,1800.0000,1818.0000,1751.0000,73583024,1321551,4283055,239894,407,,,73583024.00,
22/05/2017,1800.0000,1800.0000,9.76,1710.0000,1640.0000,1822.0000,1710.0000,73583024,1324494,11624909,653700,928,,,73583024.00,
21/05/2017,1640.0000,1640.0000,1.93,1626.0000,1609.0000,1644.0000,1616.0000,73583024,1206762,557313,34171,107,,,73583024.00,
18/05/2017,1609.0000,1609.0000,-2.25,1641.0000,1646.0000,1648.0000,1595.0000,73583024,1183951,880820,54738,182,,,73583024.00,
17/05/2017,1646.0000,1646.0000,-1.32,1676.0000,1668.0000,1676.0000,1624.0000,73583024,1211177,1517156,92414,194,,,73583024.00,
16/05/2017,1668.0000,1668.0000,0.00,1668.0000,1668.0000,1675.0000,1650.0000,73583024,1227365,705263,42417,109,,,73583024.00,
15/05/2017,1668.0000,1668.0000,0.91,1624.0000,1653.0000,1673.0000,1624.0000,73583024,1227365,923040,55537,140,,,73583024.00,
14/05/2017,1653.0000,1653.0000,1.16,1618.0000,1634.0000,1654.0000,1618.0000,73583024,1216327,1561846,95120,109,,,73583024.00,
11/05/2017,1634.0000,1634.0000,0.00,1622.0000,1634.0000,1640.0000,1622.0000,73583024,1202347,1891493,115861,135,,,73583024.00,
10/05/2017,1634.0000,1634.0000,0.00,1634.0000,1634.0000,1636.0000,1621.0000,73583024,1202347,542500,33278,73,,,73583024.00,
09/05/2017,1634.0000,1634.0000,-0.24,1633.0000,1638.0000,1635.0000,1610.0000,73583024,1202347,983759,60592,152,,,73583024.00,
08/05/2017,1638.0000,1638.0000,1.36,1616.0000,1616.0000,1638.0000,1603.0000,73583024,1205290,843001,52050,122,,,73583024.00,
07/05/2017,1616.0000,1616.0000,1.51,1591.0000,1592.0000,1618.0000,1591.0000,73583024,1189102,388396,24079,96,,,73583024.00,
04/05/2017,1592.0000,1592.0000,0.89,1575.0000,1578.0000,1594.0000,1575.0000,73583024,1171442,1005572,63317,153,,,73583024.00,
03/05/2017,1578.0000,1578.0000,-0.57,1587.0000,1587.0000,1587.0000,1567.0000,73583024,1161140,940933,59713,139,,,73583024.00,
30/04/2017,1587.0000,1587.0000,1.02,1576.0000,1571.0000,1599.0000,1575.0000,73583024,1167763,538882,33864,88,,,73583024.00,
27/04/2017,1571.0000,1571.0000,0.26,1599.0000,1567.0000,1599.0000,1558.0000,73583024,1155989,765526,48639,128,,,73583024.00,
26/04/2017,1567.0000,1567.0000,-1.01,1556.0000,1583.0000,1588.0000,1556.0000,73583024,1153046,920611,58665,116,,,73583024.00,
25/04/2017,1583.0000,1583.0000,0.51,1570.0000,1575.0000,1590.0000,1555.0000,73583024,1164819,611874,38947,114,,,73583024.00,
24/04/2017,1575.0000,1575.0000,2.27,1554.0000,1540.0000,1588.0000,1554.0000,73583024,1158933,1057043,67129,215,,,73583024.00,
23/04/2017,1540.0000,1540.0000,-0.13,1537.0000,1542.0000,1550.0000,1524.0000,73583024,1133179,613637,40001,99,,,73583024.00,
20/04/2017,1542.0000,1542.0000,-0.52,1551.0000,1550.0000,1564.0000,1532.0000,73583024,1134650,1420315,91685,170,,,73583024.00,
19/04/2017,1550.0000,1550.0000,-1.34,1571.0000,1571.0000,1581.0000,1544.0000,73583024,1140537,2321875,149580,211,,,73583024.00,
18/04/2017,1571.0000,1571.0000,-1.75,1594.0000,1599.0000,1607.0000,1566.0000,73583024,1155989,2021680,127953,278,,,73583024.00,
13/04/2017,1599.0000,1599.0000,-0.87,1608.0000,1613.0000,1620.0000,1594.0000,73583024,1176593,532872,33167,103,,,73583024.00,
12/04/2017,1613.0000,1613.0000,-0.49,1592.0000,1621.0000,1626.0000,1592.0000,73583024,1186894,448178,27737,90,,,73583024.00,
