Historical Prices - UNITRONICS - 01083831
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2891.0000,2891.0000,3.81,2785.0000,2785.0000,2936.0000,2800.0000,13752312,397579,221728,7675,72,,,13752312.00,
28/05/2017,2785.0000,2785.0000,-0.04,2814.0000,2786.0000,2814.0000,2770.0000,13752312,383002,42688,1531,16,,,13752312.00,
25/05/2017,2786.0000,2786.0000,-1.83,2838.0000,2838.0000,2870.0000,2755.0000,13752312,383139,214364,7555,52,,,13752312.00,
24/05/2017,2838.0000,2838.0000,1.03,2809.0000,2809.0000,2848.0000,2830.0000,13752312,390291,46284,1631,8,,,13752312.00,
23/05/2017,2809.0000,2809.0000,2.33,2745.0000,2745.0000,2827.0000,2763.0000,13752312,386302,60277,2147,23,,,13752312.00,
22/05/2017,2745.0000,2745.0000,-0.51,2759.0000,2759.0000,2793.0000,2726.0000,13752312,377501,122502,4441,28,,,13752312.00,
21/05/2017,2759.0000,2759.0000,2.11,2783.0000,2702.0000,2783.0000,2742.0000,13752312,379426,118169,4260,22,,,13752312.00,
18/05/2017,2702.0000,2702.0000,-0.81,2724.0000,2724.0000,2713.0000,2656.0000,13752312,371587,58821,2182,15,,,13752312.00,
17/05/2017,2724.0000,2724.0000,-0.66,2742.0000,2742.0000,2736.0000,2667.0000,13752312,374613,38386,1409,11,,,13752312.00,
16/05/2017,2742.0000,2742.0000,0.44,2730.0000,2730.0000,2744.0000,2739.0000,13752312,377088,35724,1303,7,,,13752312.00,
15/05/2017,2730.0000,2730.0000,0.89,2706.0000,2706.0000,2766.0000,2710.0000,13752312,375438,116448,4267,27,,,13752312.00,
14/05/2017,2706.0000,2706.0000,0.67,2688.0000,2688.0000,2732.0000,2668.0000,13752312,372138,79690,2944,31,,,13752312.00,
11/05/2017,2688.0000,2688.0000,0.90,2664.0000,2664.0000,2744.0000,2655.0000,13752312,369662,48651,1810,16,,,13752312.00,
10/05/2017,2664.0000,2664.0000,-0.15,2668.0000,2668.0000,2672.0000,2650.0000,13752312,366362,49259,1849,8,,,13752312.00,
09/05/2017,2668.0000,2668.0000,1.44,2630.0000,2630.0000,2674.0000,2659.0000,13752312,366912,32471,1217,9,,,13752312.00,
08/05/2017,2630.0000,2630.0000,0.69,2612.0000,2612.0000,2677.0000,2599.0000,13752312,361686,45340,1725,21,,,13752312.00,
07/05/2017,2612.0000,2612.0000,0.62,2596.0000,2596.0000,2647.0000,2590.0000,13752312,359210,11885,455,6,,,13752312.00,
04/05/2017,2596.0000,2596.0000,0.19,2591.0000,2591.0000,2607.0000,2590.0000,13752312,357010,169888,6545,21,,,13752312.00,
03/05/2017,2591.0000,2591.0000,-1.60,2633.0000,2633.0000,2616.0000,2565.0000,13752312,356322,159533,6159,40,,,13752312.00,
30/04/2017,2633.0000,2633.0000,1.11,2604.0000,2604.0000,2635.0000,2622.0000,13752312,362098,29463,1119,8,,,13752312.00,
27/04/2017,2604.0000,2604.0000,0.58,2575.0000,2589.0000,2636.0000,2563.0000,13752312,358110,47527,1825,26,,,13752312.00,
26/04/2017,2589.0000,2589.0000,0.86,2567.0000,2567.0000,2600.0000,2577.0000,13752312,356047,70679,2730,10,,,13752312.00,
25/04/2017,2567.0000,2567.0000,-0.31,2575.0000,2575.0000,2577.0000,2541.0000,13752312,353022,61582,2399,20,,,13752312.00,
24/04/2017,2575.0000,2575.0000,1.26,2543.0000,2543.0000,2576.0000,2575.0000,13752312,354122,48725,1892,9,,,13752312.00,
23/04/2017,2543.0000,2543.0000,0.47,2531.0000,2531.0000,2576.0000,2506.0000,13752312,349721,33852,1331,17,,,13752312.00,
20/04/2017,2531.0000,2531.0000,0.48,2519.0000,2519.0000,2535.0000,2504.0000,13752312,348071,37646,1487,11,,,13752312.00,
19/04/2017,2519.0000,2519.0000,-0.90,2542.0000,2542.0000,2532.0000,2509.0000,13752312,346421,16500,655,8,,,13752312.00,
18/04/2017,2542.0000,2542.0000,1.32,2539.0000,2509.0000,2554.0000,2528.0000,13752312,349584,33661,1324,13,,,13752312.00,
13/04/2017,2509.0000,2509.0000,-1.18,2539.0000,2539.0000,2538.0000,2477.0000,13752312,345046,84899,3384,18,,,13752312.00,
12/04/2017,2539.0000,2539.0000,0.00,2539.0000,2539.0000,2539.0000,2539.0000,13752312,349171,762,30,1,,,13752312.00,
09/04/2017,2539.0000,2539.0000,0.00,2539.0000,2539.0000,2539.0000,2539.0000,13752312,349171,1498,59,2,,,13752312.00,
06/04/2017,2539.0000,2539.0000,0.36,2496.0000,2530.0000,2539.0000,2427.0000,13752312,349171,377842,15102,60,,,13752312.00,
05/04/2017,2530.0000,2530.0000,-0.35,2539.0000,2539.0000,2564.0000,2482.0000,13752312,347933,114758,4549,31,,,13752312.00,
04/04/2017,2539.0000,2539.0000,-0.78,2559.0000,2559.0000,2600.0000,2493.0000,13752312,349171,137273,5353,42,,,13752312.00,
03/04/2017,2559.0000,2559.0000,4.88,2440.0000,2440.0000,2565.0000,2440.0000,13752312,351922,265096,10497,61,,,13752312.00,
02/04/2017,2440.0000,2440.0000,2.26,2386.0000,2386.0000,2445.0000,2386.0000,13752312,335556,69908,2872,18,,,13752312.00,
30/03/2017,2386.0000,2386.0000,1.66,2370.0000,2347.0000,2411.0000,2335.0000,13752312,328130,38839,1628,14,,,13752312.00,
29/03/2017,2347.0000,2347.0000,0.60,2325.0000,2333.0000,2400.0000,2313.0000,13752312,322767,64307,2740,20,,,13752312.00,
28/03/2017,2333.0000,2333.0000,1.83,2291.0000,2291.0000,2343.0000,2313.0000,13752312,320841,153609,6598,26,,,13752312.00,
27/03/2017,2291.0000,2291.0000,0.57,2278.0000,2278.0000,2380.0000,2256.0000,13752312,315065,193690,8428,33,,,13752312.00,
26/03/2017,2278.0000,2278.0000,0.75,2261.0000,2261.0000,2302.0000,2263.0000,13752312,313278,24148,1060,15,,,13752312.00,
23/03/2017,2261.0000,2261.0000,0.49,2250.0000,2250.0000,2290.0000,2227.0000,13752312,310940,32566,1440,16,,,13752312.00,
22/03/2017,2250.0000,2250.0000,-1.92,2299.0000,2294.0000,2299.0000,2216.0000,13752312,309427,46758,2071,18,,,13752312.00,
21/03/2017,2294.0000,2294.0000,1.19,2267.0000,2267.0000,2303.0000,2253.0000,13752312,315478,81507,3556,21,,,13752312.00,
20/03/2017,2267.0000,2267.0000,-0.13,2270.0000,2270.0000,2299.0000,2228.0000,13752312,311765,54820,2418,19,,,13752312.00,
19/03/2017,2270.0000,2270.0000,1.07,2246.0000,2246.0000,2300.0000,2215.0000,13752312,312177,220555,9745,34,,,13752312.00,
16/03/2017,2246.0000,2246.0000,1.95,2203.0000,2203.0000,2268.0000,2194.0000,13752312,308877,146935,6575,32,,,13752312.00,
15/03/2017,2203.0000,2203.0000,-0.36,2211.0000,2211.0000,2239.0000,2157.0000,13752312,302963,40558,1837,16,,,13752312.00,
14/03/2017,2211.0000,2211.0000,0.55,2199.0000,2199.0000,2218.0000,2180.0000,13752312,304064,18193,823,8,,,13752312.00,
13/03/2017,2199.0000,2199.0000,0.05,2198.0000,2198.0000,2232.0000,2183.0000,13752312,302413,32301,1469,10,,,13752312.00,
09/03/2017,2198.0000,2198.0000,-0.41,2207.0000,2207.0000,2218.0000,2174.0000,13752312,302276,15409,701,8,,,13752312.00,
08/03/2017,2207.0000,2207.0000,-0.14,2210.0000,2210.0000,2234.0000,2194.0000,13752312,303514,48101,2180,18,,,13752312.00,
07/03/2017,2210.0000,2210.0000,-0.54,2200.0000,2222.0000,2241.0000,2134.0000,13752312,303926,92813,4218,33,,,13752312.00,
