Historical Prices - VICTORY - 01123777
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4380.0000,4380.0000,-2.60,4497.0000,4497.0000,4477.0000,4376.0000,13176795,577144,1349765,30667,51,,,12959011.00,
28/05/2017,4497.0000,4497.0000,-0.11,4502.0000,4502.0000,4576.0000,4484.0000,13176795,592560,187224,4143,31,,,12959011.00,
25/05/2017,4502.0000,4502.0000,1.33,4550.0000,4443.0000,4575.0000,4401.0000,13176795,593219,771806,17233,117,,,12959011.00,
24/05/2017,4443.0000,4443.0000,-1.24,4499.0000,4499.0000,4547.0000,4364.0000,13176795,585445,1023529,23156,136,,,12959011.00,
23/05/2017,4499.0000,4499.0000,-3.14,4645.0000,4645.0000,4693.0000,4405.0000,13176795,592824,1556222,34335,211,,,12959011.00,
22/05/2017,4645.0000,4645.0000,0.00,4645.0000,4645.0000,4700.0000,4521.0000,13176795,612062,1236796,26682,289,,,12959011.00,
21/05/2017,4645.0000,4645.0000,-0.15,4700.0000,4652.0000,4704.0000,4601.0000,13176795,612062,294279,6290,50,,,12959011.00,
18/05/2017,4652.0000,4652.0000,-0.41,4704.0000,4671.0000,4704.0000,4601.0000,13176795,612985,380188,8190,58,,,12959011.00,
17/05/2017,4671.0000,4671.0000,0.26,4678.0000,4659.0000,4698.0000,4634.0000,13176795,615488,575720,12339,79,,,12959011.00,
16/05/2017,4659.0000,4659.0000,-0.41,4678.0000,4678.0000,4678.0000,4629.0000,13176795,613907,277709,5974,30,,,12959011.00,
15/05/2017,4678.0000,4678.0000,1.01,4700.0000,4631.0000,4700.0000,4646.0000,13176795,616410,298546,6390,28,,,12959011.00,
14/05/2017,4631.0000,4631.0000,-1.55,4710.0000,4704.0000,4715.0000,4614.0000,13176795,610217,578525,12440,97,,,12959011.00,
11/05/2017,4704.0000,4704.0000,-2.59,4829.0000,4829.0000,4840.0000,4692.0000,13176795,619836,841716,17645,163,,,12959011.00,
10/05/2017,4829.0000,4829.0000,-0.76,4866.0000,4866.0000,4869.0000,4814.0000,13176795,636307,170208,3515,35,,,12959011.00,
09/05/2017,4866.0000,4866.0000,-0.49,4890.0000,4890.0000,4890.0000,4860.0000,13175182,641104,943312,19369,77,,,12959011.00,
08/05/2017,4890.0000,4890.0000,0.39,4871.0000,4871.0000,4890.0000,4876.0000,13049280,638110,1208289,24715,84,,,12959011.00,
07/05/2017,4871.0000,4871.0000,0.41,4851.0000,4851.0000,4899.0000,4833.0000,13047565,635547,237593,4883,45,,,12959011.00,
04/05/2017,4851.0000,4851.0000,1.04,4801.0000,4801.0000,4891.0000,4762.0000,12986736,629987,3655814,75691,150,,,12940463.00,
03/05/2017,4801.0000,4801.0000,0.21,4791.0000,4791.0000,4815.0000,4757.0000,12986736,623493,1154631,24131,88,,,12940463.00,
