Historical Prices - VILLAR - 00416016
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,10260.0000,10260.0000,4.74,9796.0000,9796.0000,10390.0000,9796.0000,17762630,1822446,728369,7213,140,,,17762630.00,
28/05/2017,9796.0000,9796.0000,-1.76,10100.0000,9972.0000,10100.0000,9674.0000,17762630,1740027,426881,4352,81,,,17762630.00,
25/05/2017,9972.0000,9972.0000,-3.84,10370.0000,10370.0000,10390.0000,9866.0000,17762630,1771289,430761,4220,98,,,17762630.00,
24/05/2017,10370.0000,10370.0000,-0.48,10420.0000,10420.0000,10420.0000,10190.0000,17762630,1841985,120211,1162,47,,,17762630.00,
23/05/2017,10420.0000,10420.0000,2.06,10210.0000,10210.0000,10500.0000,10150.0000,17762630,1850866,152720,1476,58,,,17762630.00,
22/05/2017,10210.0000,10210.0000,2.39,9972.0000,9972.0000,10440.0000,9856.0000,17762630,1813565,128655,1267,42,,,17762630.00,
21/05/2017,9972.0000,9972.0000,1.76,9807.0000,9800.0000,10190.0000,9807.0000,17762630,1771289,252170,2527,65,,,17762630.00,
18/05/2017,9800.0000,9800.0000,-0.97,9896.0000,9896.0000,9997.0000,9551.0000,17762630,1740738,635788,6499,80,,,17762630.00,
17/05/2017,9896.0000,9896.0000,-3.45,10250.0000,10250.0000,10250.0000,9800.0000,17762630,1757790,382319,3846,99,,,17762630.00,
16/05/2017,10250.0000,10250.0000,0.79,10100.0000,10170.0000,10280.0000,10100.0000,17762630,1820670,212915,2084,55,,,17762630.00,
15/05/2017,10170.0000,10170.0000,0.20,10150.0000,10150.0000,10440.0000,10110.0000,17762630,1806459,443595,4338,84,,,17762630.00,
14/05/2017,10150.0000,10150.0000,1.30,10020.0000,10020.0000,10500.0000,10030.0000,17762630,1802907,450878,4392,57,,,17762630.00,
