Historical Prices - VITANIA - 01109966
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1284.0000,1284.0000,-1.61,1330.0000,1305.0000,1330.0000,1282.0000,46523200,597358,618768,47490,80,,,46523200.00,
28/05/2017,1305.0000,1305.0000,1.79,1290.0000,1282.0000,1320.0000,1290.0000,46523200,607128,832916,63661,89,,,46523200.00,
25/05/2017,1282.0000,1282.0000,2.48,1251.0000,1251.0000,1308.0000,1251.0000,46523200,596427,1347124,106078,103,,,46523200.00,
24/05/2017,1251.0000,1251.0000,1.62,1231.0000,1231.0000,1255.0000,1240.0000,46523200,582005,119221,9533,12,,,46523200.00,
23/05/2017,1231.0000,1231.0000,0.65,1223.0000,1223.0000,1239.0000,1228.0000,46523200,572701,178967,14543,22,,,46523200.00,
22/05/2017,1223.0000,1223.0000,0.41,1218.0000,1218.0000,1234.0000,1214.0000,46523200,568979,149827,12290,17,,,46523200.00,
21/05/2017,1218.0000,1218.0000,1.58,1199.0000,1199.0000,1224.0000,1199.0000,46523200,566653,26981,2216,9,,,46523200.00,
18/05/2017,1199.0000,1199.0000,-2.28,1226.0000,1227.0000,1226.0000,1183.0000,46523200,557813,208867,17337,38,,,46523200.00,
17/05/2017,1227.0000,1227.0000,-1.29,1243.0000,1243.0000,1253.0000,1205.0000,46523200,570840,266433,21555,39,,,46523200.00,
16/05/2017,1243.0000,1243.0000,1.22,1228.0000,1228.0000,1260.0000,1233.0000,46523200,578283,374719,30271,20,,,46523200.00,
15/05/2017,1228.0000,1228.0000,0.66,1220.0000,1220.0000,1229.0000,1205.0000,46523200,571305,289192,23636,25,,,46523200.00,
14/05/2017,1220.0000,1220.0000,0.91,1209.0000,1209.0000,1220.0000,1196.0000,46523200,567583,639385,52673,14,,,46523200.00,
11/05/2017,1209.0000,1209.0000,0.42,1204.0000,1204.0000,1212.0000,1196.0000,46523200,562465,38775,3206,11,,,46523200.00,
10/05/2017,1204.0000,1204.0000,3.26,1166.0000,1166.0000,1211.0000,1167.0000,46523200,560139,4040743,341217,77,,,46523200.00,
09/05/2017,1166.0000,1166.0000,-0.77,1175.0000,1175.0000,1189.0000,1156.0000,46523200,542461,188282,16109,22,,,46523200.00,
08/05/2017,1175.0000,1175.0000,-1.59,1194.0000,1194.0000,1194.0000,1150.0000,46523200,546648,648324,54830,36,,,46523200.00,
07/05/2017,1194.0000,1194.0000,0.93,1184.0000,1183.0000,1204.0000,1183.0000,46523200,555487,332974,27908,45,,,46523200.00,
04/05/2017,1183.0000,1183.0000,-0.50,1189.0000,1189.0000,1200.0000,1170.0000,46523200,550369,921856,77712,49,,,46523200.00,
03/05/2017,1189.0000,1189.0000,1.11,1176.0000,1176.0000,1199.0000,1144.0000,46523200,553161,191331,16245,27,,,46523200.00,
30/04/2017,1176.0000,1176.0000,2.53,1147.0000,1147.0000,1197.0000,1149.0000,46523200,547113,32915,2800,12,,,46523200.00,
27/04/2017,1147.0000,1147.0000,-1.46,1164.0000,1164.0000,1177.0000,1140.0000,46523200,533621,36921,3220,11,,,46523200.00,
26/04/2017,1164.0000,1164.0000,-0.68,1172.0000,1172.0000,1185.0000,1146.0000,46523200,541530,30667,2635,11,,,46523200.00,
25/04/2017,1172.0000,1172.0000,1.56,1154.0000,1154.0000,1212.0000,1155.0000,46523200,545252,60766,5188,14,,,46523200.00,
24/04/2017,1154.0000,1154.0000,0.79,1145.0000,1145.0000,1160.0000,1149.0000,46523200,536878,73797,6397,16,,,46523200.00,
23/04/2017,1145.0000,1145.0000,0.17,1143.0000,1143.0000,1158.0000,1140.0000,46523200,532691,48554,4242,8,,,46523200.00,
20/04/2017,1143.0000,1143.0000,1.06,1131.0000,1131.0000,1158.0000,1120.0000,46523200,531760,130296,11476,23,,,46523200.00,
19/04/2017,1131.0000,1131.0000,-1.91,1152.0000,1153.0000,1159.0000,1119.0000,46523200,526177,171744,15212,40,,,46523200.00,
18/04/2017,1153.0000,1153.0000,-0.69,1161.0000,1161.0000,1178.0000,1120.0000,46523200,536413,97203,8388,22,,,46523200.00,
13/04/2017,1161.0000,1161.0000,-2.93,1196.0000,1196.0000,1200.0000,1149.0000,46523200,540134,328720,27902,28,,,46523200.00,
12/04/2017,1196.0000,1196.0000,-0.91,1207.0000,1207.0000,1220.0000,1183.0000,46523200,556417,42628,3560,13,,,46523200.00,
09/04/2017,1207.0000,1207.0000,0.17,1206.0000,1205.0000,1210.0000,1200.0000,46523200,561535,33034,2737,9,,,46523200.00,
06/04/2017,1205.0000,1205.0000,0.00,1205.0000,1205.0000,1210.0000,1177.0000,46523200,560605,402714,33431,37,,,46523200.00,
05/04/2017,1205.0000,1205.0000,-0.99,1217.0000,1217.0000,1225.0000,1180.0000,46523200,560605,177842,14697,27,EX D,0.97438,46523200.00,
04/04/2017,1217.0006,1249.0000,0.16,1247.0000,1247.0000,1254.0000,1244.0000,46523200,581075,21878,1751,10,,,46523200.00,
03/04/2017,1215.0519,1247.0000,0.00,1247.0000,1247.0000,1249.0000,1245.0000,46523200,580144,39289,3151,12,,,46523200.00,
02/04/2017,1215.0519,1247.0000,-0.40,1252.0000,1252.0000,1251.0000,1227.0000,46523200,580144,86666,6951,6,,,46523200.00,
30/03/2017,1219.9238,1252.0000,0.32,1248.0000,1248.0000,1298.0000,1247.0000,46523200,582470,172468,13774,20,,,46523200.00,
29/03/2017,1216.0262,1248.0000,0.00,1248.0000,1248.0000,1251.0000,1244.0000,46523200,580610,157252,12598,33,,,46523200.00,
28/03/2017,1216.0262,1248.0000,0.89,1295.0000,1237.0000,1295.0000,1243.0000,46523200,580610,306012,24218,50,,,46523200.00,
27/03/2017,1205.3081,1237.0000,-1.12,1247.0000,1251.0000,1251.0000,1138.0000,46523200,575492,84054,6780,26,,,46523200.00,
26/03/2017,1218.9494,1251.0000,1.21,1236.0000,1236.0000,1253.0000,1236.0000,46523200,582005,132557,10644,28,,,46523200.00,
23/03/2017,1204.3337,1236.0000,0.08,1235.0000,1235.0000,1252.0000,1230.0000,46523200,575027,170838,13762,43,,,46523200.00,
22/03/2017,1203.3593,1235.0000,1.65,1215.0000,1215.0000,1249.0000,1172.0000,46523200,574562,137905,11289,43,,,46523200.00,
21/03/2017,1183.8717,1215.0000,3.23,1177.0000,1177.0000,1236.0000,1180.0000,46523200,565257,108043,8970,19,,,46523200.00,
20/03/2017,1146.8453,1177.0000,0.77,1168.0000,1168.0000,1190.0000,1169.0000,46523200,547578,72644,6183,15,,,46523200.00,
19/03/2017,1138.0758,1168.0000,0.34,1164.0000,1164.0000,1199.0000,1152.0000,46523200,543391,2393248,205357,68,,,46523200.00,
16/03/2017,1134.1783,1164.0000,2.74,1133.0000,1133.0000,1171.0000,1134.0000,46523200,541530,1983089,172414,44,,,46523200.00,
15/03/2017,1103.9725,1133.0000,2.07,1110.0000,1110.0000,1143.0000,1123.0000,46523200,527108,238980,21129,32,,,46523200.00,
14/03/2017,1081.5618,1110.0000,-0.18,1112.0000,1112.0000,1125.0000,1106.0000,46523200,516408,38851,3500,15,,,46523200.00,
13/03/2017,1083.5106,1112.0000,-0.63,1119.0000,1119.0000,1117.0000,1101.0000,46523200,517338,718866,64926,52,,,46523200.00,
09/03/2017,1090.3312,1119.0000,1.73,1100.0000,1100.0000,1128.0000,1099.0000,46523200,520595,62167,5562,18,,,46523200.00,
08/03/2017,1071.8180,1100.0000,0.00,1100.0000,1100.0000,1113.0000,1084.0000,46523200,511755,88094,8014,20,,,46523200.00,
07/03/2017,1071.8180,1100.0000,0.00,1100.0000,1100.0000,1120.0000,1094.0000,46523200,511755,224981,20323,37,,,46523200.00,
06/03/2017,1071.8180,1100.0000,-1.17,1113.0000,1113.0000,1113.0000,1081.0000,46523200,511755,59125,5367,18,,,46523200.00,
05/03/2017,1084.4849,1113.0000,0.09,1112.0000,1112.0000,1129.0000,1111.0000,46523200,517803,42447,3815,12,,,46523200.00,
02/03/2017,1083.5106,1112.0000,-2.28,1138.0000,1138.0000,1138.0000,1112.0000,46523200,517338,424933,38154,21,,,46523200.00,
01/03/2017,1108.8444,1138.0000,0.18,1136.0000,1136.0000,1150.0000,1120.0000,46523200,529434,252607,22185,47,,,46523200.00,
28/02/2017,1106.8957,1136.0000,2.62,1107.0000,1107.0000,1145.0000,1115.0000,46523200,528504,190803,16924,47,,,46523200.00,
27/02/2017,1078.6387,1107.0000,0.91,1097.0000,1097.0000,1124.0000,1099.0000,46523200,515012,151389,13657,41,,,46523200.00,
26/02/2017,1068.8949,1097.0000,-0.27,1100.0000,1100.0000,1105.0000,1093.0000,46523200,510360,89583,8153,17,,,46523200.00,
23/02/2017,1071.8180,1100.0000,0.00,1100.0000,1100.0000,1107.0000,1100.0000,46523200,511755,171521,15574,28,,,46523200.00,
22/02/2017,1071.8180,1100.0000,-0.18,1102.0000,1102.0000,1126.0000,1089.0000,46523200,511755,85118,7717,20,,,46523200.00,
21/02/2017,1073.7668,1102.0000,0.09,1101.0000,1101.0000,1106.0000,1101.0000,46523200,512686,143712,13038,23,,,46523200.00,
20/02/2017,1072.7924,1101.0000,-0.18,1103.0000,1103.0000,1106.0000,1100.0000,46523200,512220,58427,5305,13,,,46523200.00,
19/02/2017,1074.7411,1103.0000,-0.09,1104.0000,1104.0000,1106.0000,1100.0000,46523200,513151,33267,3016,7,,,46523200.00,
16/02/2017,1075.7155,1104.0000,-0.81,1113.0000,1113.0000,1116.0000,1091.0000,46523200,513616,292297,26436,38,,,46523200.00,
15/02/2017,1084.4849,1113.0000,-3.47,1153.0000,1153.0000,1138.0000,1108.0000,46523200,517803,247713,22024,33,,,46523200.00,
14/02/2017,1123.4601,1153.0000,0.52,1147.0000,1147.0000,1163.0000,1144.0000,46523200,536413,85870,7444,28,,,46523200.00,
13/02/2017,1117.6139,1147.0000,0.26,1144.0000,1144.0000,1160.0000,1136.0000,46523200,533621,757854,65563,46,,,46523200.00,
12/02/2017,1114.6907,1144.0000,-1.38,1160.0000,1160.0000,1154.0000,1124.0000,46523200,532225,696942,60987,92,,,46523200.00,
09/02/2017,1130.2808,1160.0000,6.03,1094.0000,1094.0000,1160.0000,1090.0000,46523200,539669,7555140,652073,108,,,46523200.00,
08/02/2017,1065.9717,1094.0000,-0.55,1100.0000,1100.0000,1107.0000,1090.0000,46523200,508964,139102,12659,29,,,46523200.00,
07/02/2017,1071.8180,1100.0000,-0.63,1107.0000,1107.0000,1109.0000,1081.0000,46523200,511755,201615,18350,41,,,46523200.00,
06/02/2017,1078.6387,1107.0000,0.00,1107.0000,1107.0000,1120.0000,1100.0000,46523200,515012,122704,11086,20,,,46523200.00,
05/02/2017,1078.6387,1107.0000,3.07,1074.0000,1074.0000,1118.0000,1078.0000,46523200,515012,184917,16854,33,,,46523200.00,
02/02/2017,1046.4841,1074.0000,0.00,1074.0000,1074.0000,1077.0000,1050.0000,46523200,499659,73412,6836,19,,,46523200.00,
01/02/2017,1046.4841,1074.0000,0.09,1073.0000,1073.0000,1080.0000,1072.0000,46523200,499659,130855,12190,33,,,46523200.00,
31/01/2017,1045.5097,1073.0000,0.19,1071.0000,1071.0000,1079.0000,1070.0000,46523200,499194,108523,10122,32,,,46523200.00,
30/01/2017,1043.5610,1071.0000,0.00,1071.0000,1071.0000,1075.0000,1066.0000,46523200,498263,81366,7611,26,,,46523200.00,
29/01/2017,1043.5610,1071.0000,0.00,1071.0000,1071.0000,1072.0000,1071.0000,46523200,498263,19518,1822,6,,,46523200.00,
26/01/2017,1043.5610,1071.0000,0.00,1071.0000,1071.0000,1084.0000,1071.0000,46523200,498263,80564,7490,17,,,46523200.00,
25/01/2017,1043.5610,1071.0000,0.28,1068.0000,1068.0000,1076.0000,1065.0000,46523200,498263,62817,5875,24,,,46523200.00,
24/01/2017,1040.6378,1068.0000,0.66,1061.0000,1061.0000,1090.0000,1051.0000,46523200,496868,293712,27441,38,,,46523200.00,
23/01/2017,1033.8172,1061.0000,-1.21,1074.0000,1074.0000,1085.0000,1044.0000,46523200,493611,334293,31233,67,,,46523200.00,
22/01/2017,1046.4841,1074.0000,-1.65,1092.0000,1092.0000,1111.0000,1064.0000,46523200,499659,268265,24860,62,,,46523200.00,
19/01/2017,1064.0230,1092.0000,0.09,1091.0000,1091.0000,1100.0000,1087.0000,46523200,508033,275399,25195,47,,,46523200.00,
18/01/2017,1063.0486,1091.0000,-1.27,1105.0000,1105.0000,1120.0000,1090.0000,46523200,507568,219789,20047,36,,,46523200.00,
17/01/2017,1076.6899,1105.0000,1.19,1092.0000,1092.0000,1144.0000,1090.0000,46523200,514081,184029,16669,49,,,46523200.00,
16/01/2017,1064.0230,1092.0000,-2.67,1122.0000,1122.0000,1123.0000,1074.0000,46523200,508033,181604,16595,31,,,46523200.00,
15/01/2017,1093.2544,1122.0000,0.09,1121.0000,1121.0000,1170.0000,1059.0000,46523200,521990,88275,7858,31,,,46523200.00,
12/01/2017,1092.2800,1121.0000,-3.61,1163.0000,1163.0000,1163.0000,1045.0000,46523200,521525,164152,14582,44,,,46523200.00,
11/01/2017,1133.2039,1163.0000,2.38,1136.0000,1136.0000,1170.0000,1139.0000,46523200,541065,134134,11590,21,,,46523200.00,
10/01/2017,1106.8957,1136.0000,1.43,1120.0000,1120.0000,1168.0000,1092.0000,46523200,528504,167704,14780,34,,,46523200.00,
09/01/2017,1091.3056,1120.0000,1.73,1101.0000,1101.0000,1129.0000,1090.0000,46523200,521060,51068,4573,15,,,46523200.00,
08/01/2017,1072.7924,1101.0000,-1.70,1109.0000,1120.0000,1109.0000,1094.0000,46523200,512220,27084,2460,13,,,46523200.00,
05/01/2017,1091.3056,1120.0000,-0.53,1126.0000,1126.0000,1122.0000,1110.0000,46523200,521060,32670,2917,11,,,46523200.00,
04/01/2017,1097.1519,1126.0000,0.90,1116.0000,1116.0000,1133.0000,1120.0000,46523200,523851,33478,2972,8,,,46523200.00,
03/01/2017,1087.4081,1116.0000,-1.59,1134.0000,1134.0000,1170.0000,1111.0000,46523200,519199,103351,9154,26,,,46523200.00,
02/01/2017,1104.9469,1134.0000,3.75,1093.0000,1093.0000,1135.0000,1093.0000,46523200,527573,260437,23255,56,,,46523200.00,
01/01/2017,1064.9973,1093.0000,1.11,1081.0000,1081.0000,1099.0000,1089.0000,46523200,508499,37604,3441,11,,,46523200.00,
29/12/2016,1053.3048,1081.0000,-1.73,1100.0000,1100.0000,1089.0000,1079.0000,46523200,502916,130059,12026,27,,,46523200.00,
28/12/2016,1071.8180,1100.0000,0.27,1097.0000,1097.0000,1101.0000,1100.0000,46523200,511755,41439,3767,8,,,46523200.00,
27/12/2016,1068.8949,1097.0000,4.18,1053.0000,1053.0000,1104.0000,1059.0000,46523200,510360,3585446,329226,47,,,46523200.00,
26/12/2016,1026.0221,1053.0000,-2.95,1085.0000,1085.0000,1075.0000,1050.0000,46523200,489889,76873,7275,17,,,46523200.00,
25/12/2016,1057.2023,1085.0000,-0.64,1092.0000,1092.0000,1090.0000,1060.0000,46523200,504777,24760,2282,5,,,46523200.00,
22/12/2016,1064.0230,1092.0000,-0.82,1101.0000,1101.0000,1101.0000,1091.0000,46523200,508033,4672,428,5,,,46523200.00,
21/12/2016,1072.7924,1101.0000,-1.34,1116.0000,1116.0000,1112.0000,1100.0000,46523200,512220,45450,4129,6,,,46523200.00,
20/12/2016,1087.4081,1116.0000,-0.09,1117.0000,1117.0000,1118.0000,1110.0000,46523200,519199,56874,5097,13,,,46523200.00,
19/12/2016,1088.3825,1117.0000,0.45,1112.0000,1112.0000,1120.0000,1110.0000,46523200,519664,84052,7532,16,,,46523200.00,
18/12/2016,1083.5106,1112.0000,0.36,1108.0000,1108.0000,1113.0000,1110.0000,46523200,517338,7250,652,3,,,46523200.00,
15/12/2016,1079.6130,1108.0000,-1.51,1125.0000,1125.0000,1133.0000,1050.0000,46523200,515477,126482,11636,16,,,46523200.00,
14/12/2016,1096.1775,1125.0000,-2.09,1149.0000,1149.0000,1159.0000,1109.0000,46523200,523386,15829,1407,8,,,46523200.00,
13/12/2016,1119.5626,1149.0000,0.70,1141.0000,1141.0000,1150.0000,1149.0000,46523200,534552,68988,6004,11,,,46523200.00,
12/12/2016,1111.7676,1141.0000,-0.87,1151.0000,1151.0000,1160.0000,1137.0000,46523200,530830,90955,7965,24,,,46523200.00,
11/12/2016,1121.5114,1151.0000,0.70,1143.0000,1143.0000,1160.0000,1150.0000,46523200,535482,23206,2016,11,,,46523200.00,
