Historical Prices - WILLY FOOD - 00371013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1849.0000,1849.0000,0.00,1849.0000,1849.0000,1858.0000,1812.0000,13308903,246082,407057,22052,67,,,13308903.00,
28/05/2017,1849.0000,1849.0000,1.71,1818.0000,1818.0000,1860.0000,1818.0000,13308903,246082,81899,4444,24,,,13308903.00,
25/05/2017,1818.0000,1818.0000,0.72,1805.0000,1805.0000,1838.0000,1804.0000,13308903,241956,201341,11073,25,,,13308903.00,
24/05/2017,1805.0000,1805.0000,-0.11,1807.0000,1807.0000,1844.0000,1748.0000,13308903,240226,25635,1420,12,,,13308903.00,
23/05/2017,1807.0000,1807.0000,1.63,1778.0000,1778.0000,1830.0000,1795.0000,13308903,240492,84396,4675,18,,,13308903.00,
22/05/2017,1778.0000,1778.0000,0.74,1765.0000,1765.0000,1793.0000,1765.0000,13308903,236632,90817,5116,15,,,13308903.00,
21/05/2017,1765.0000,1765.0000,0.68,1753.0000,1753.0000,1776.0000,1756.0000,13308903,234902,63460,3593,12,,,13308903.00,
18/05/2017,1753.0000,1753.0000,-3.68,1820.0000,1820.0000,1805.0000,1747.0000,13308903,233305,154901,8795,23,,,13308903.00,
17/05/2017,1820.0000,1820.0000,-1.89,1855.0000,1855.0000,1858.0000,1760.0000,13308903,242222,129559,7103,15,,,13308903.00,
16/05/2017,1855.0000,1855.0000,0.82,1840.0000,1840.0000,1857.0000,1855.0000,13308903,246880,55374,2985,6,,,13308903.00,
15/05/2017,1840.0000,1840.0000,0.44,1840.0000,1832.0000,1851.0000,1820.0000,13308903,244884,92353,5026,19,,,13308903.00,
14/05/2017,1832.0000,1832.0000,1.16,1811.0000,1811.0000,1835.0000,1811.0000,13308903,243819,90289,4938,15,,,13308903.00,
11/05/2017,1811.0000,1811.0000,-2.48,1857.0000,1857.0000,1857.0000,1800.0000,13308903,241024,454545,24865,65,,,13308903.00,
10/05/2017,1857.0000,1857.0000,-0.43,1865.0000,1865.0000,1870.0000,1850.0000,13308903,247146,100383,5386,25,,,13308903.00,
09/05/2017,1865.0000,1865.0000,3.55,1810.0000,1801.0000,1897.0000,1810.0000,13308903,248211,677333,36391,89,,,13308903.00,
08/05/2017,1801.0000,1801.0000,12.14,1619.0000,1606.0000,1825.0000,1619.0000,13308903,239693,1337173,76380,202,,,13308903.00,
07/05/2017,1606.0000,1606.0000,3.28,1555.0000,1555.0000,1618.0000,1561.0000,13308903,213741,232083,14520,45,,,13308903.00,
04/05/2017,1555.0000,1555.0000,-0.26,1559.0000,1559.0000,1585.0000,1544.0000,13308903,206953,117317,7539,25,,,13308903.00,
03/05/2017,1559.0000,1559.0000,0.52,1551.0000,1551.0000,1564.0000,1555.0000,13308903,207486,98722,6337,9,,,13308903.00,
30/04/2017,1551.0000,1551.0000,0.58,1542.0000,1542.0000,1555.0000,1542.0000,13308903,206421,112442,7252,11,,,13308903.00,
27/04/2017,1542.0000,1542.0000,0.59,1533.0000,1533.0000,1546.0000,1534.0000,13308903,205223,27267,1768,14,,,13308903.00,
