Historical Prices - ZUR - 00730010
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1340.0000,1340.0000,1.59,1319.0000,1319.0000,1350.0000,1319.0000,63848489,855570,427694,32205,66,,,63848489.00,
28/05/2017,1319.0000,1319.0000,-1.35,1350.0000,1337.0000,1350.0000,1316.0000,63848489,842162,219560,16580,57,,,63848489.00,
25/05/2017,1337.0000,1337.0000,0.91,1345.0000,1325.0000,1359.0000,1330.0000,63848489,853654,311777,23068,67,,,63848489.00,
24/05/2017,1325.0000,1325.0000,-3.36,1371.0000,1371.0000,1384.0000,1322.0000,63848489,845992,866623,63697,85,,,63848489.00,
23/05/2017,1371.0000,1371.0000,5.46,1300.0000,1300.0000,1395.0000,1294.0000,63848489,875363,1229603,91314,134,,,63848489.00,
22/05/2017,1300.0000,1300.0000,1.64,1279.0000,1279.0000,1309.0000,1279.0000,63848489,830030,178203,13737,75,,,63848489.00,
21/05/2017,1279.0000,1279.0000,0.39,1273.0000,1274.0000,1300.0000,1263.0000,63848489,816622,210543,16384,66,,,63848489.00,
18/05/2017,1274.0000,1274.0000,-1.70,1296.0000,1296.0000,1295.0000,1258.0000,63848489,813430,122445,9629,50,,,63848489.00,
17/05/2017,1296.0000,1296.0000,1.09,1282.0000,1282.0000,1320.0000,1253.0000,63848489,827476,728082,56270,142,,,63848489.00,
16/05/2017,1282.0000,1282.0000,0.39,1277.0000,1277.0000,1298.0000,1279.0000,63848489,818538,230758,17915,50,,,63848489.00,
15/05/2017,1277.0000,1277.0000,-0.62,1285.0000,1285.0000,1303.0000,1269.0000,63848489,815345,183983,14359,63,,,63848489.00,
14/05/2017,1285.0000,1285.0000,0.31,1281.0000,1281.0000,1286.0000,1280.0000,63848489,820453,347084,27018,56,,,63848489.00,
11/05/2017,1281.0000,1281.0000,0.87,1270.0000,1270.0000,1286.0000,1264.0000,63848489,817899,827925,65068,40,,,63848489.00,
10/05/2017,1270.0000,1270.0000,-1.47,1289.0000,1289.0000,1288.0000,1248.0000,63848489,810876,2044567,160633,140,,,63848489.00,
09/05/2017,1289.0000,1289.0000,-2.35,1320.0000,1320.0000,1306.0000,1285.0000,63848489,823007,3878690,298949,177,,,63848489.00,
08/05/2017,1320.0000,1320.0000,0.61,1312.0000,1312.0000,1345.0000,1287.0000,63848489,842800,4135407,312337,241,,,63848489.00,
07/05/2017,1312.0000,1312.0000,0.46,1305.0000,1306.0000,1314.0000,1300.0000,63848489,837692,84456,6440,37,,,63848489.00,
04/05/2017,1306.0000,1306.0000,0.15,1304.0000,1304.0000,1312.0000,1293.0000,63848489,833861,507260,38790,76,,,63848489.00,
03/05/2017,1304.0000,1304.0000,0.15,1302.0000,1302.0000,1308.0000,1295.0000,63848489,832584,170598,13099,50,,,63848489.00,
