הון רשום למסחר,,,,,,
נכון ל- 01/06/2017,,,,,,
,,,,,,
שם,סימול,"מס' ני""ע","ממ""מ",אחוז החזקות הציבור למדד,"מועד עדכון ממ""מ אחרון","שינוי בממ""מ מיום קודם"
אאורה,אאורה,373019,145617551,20%,07/05/2017,ללא שינוי
אבגול,אבגל,1100957,293746084,35%,07/05/2017,ללא שינוי
אבגול     אגח ב,אבגל.ק2,1126317,,,,
אבגול     אגח ג,אבגל.ק3,1133289,,,,
אבוג'ן,אבגן,1105055,25657809,100%,07/05/2017,ללא שינוי
אביב בניה,אביב,444018,13248470,10%,07/05/2017,ללא שינוי
אביליטי,אביל,1137256,25774141,35%,07/05/2017,ללא שינוי
אברבוך,אברבך,675017,8420792,25%,07/05/2017,ללא שינוי
אגוד,אגוד,722314,73583024,25%,07/05/2017,ללא שינוי
אגוד הנ שה נד 1,אגהנ.ק1,1115278,,,,
אגוד הנפ  אגח ו,אגדהנ.ק6,1126762,,,,
אגוד הנפ  אגח ז,אגדהנ.ק7,1131762,,,,
אגוד הנפ  אגח ח,אגדהנ.ק8,1133503,,,,
אגוד הנפ  אגח ט,אגדהנ.ק9,1139492,,,,
אגוד הנפ התח יח,אגדה.ק18,1121854,,,,
אגוד הנפ התח יט,אגדה.ק19,1124080,,,,
אדגר,אדגר,1820083,114836924,25%,07/05/2017,ללא שינוי
אדגר      אגח ז,אדגר.ק7,1820158,,,,
אדגר      אגח ח,אדגר.ק8,1820174,,,,
אדגר      אגח ט,אדגר.ק9,1820190,,,,
אדמה אגח ב,אדמה.ק2,1110915,,,,
או.אר.טי,ארטכ,1086230,5704988,45%,07/05/2017,ללא שינוי
אוברסיז,אובר,1139617,54502850,60%,07/05/2017,ללא שינוי
אודיוקודס,אודק,1082965,31439671,80%,07/05/2017,ללא שינוי
אול-יר    אגח ב,אליר.ק2,1139781,,,,
אול-יר    אגח ג,אליר.ק3,1140136,,,,
אופטיבייס,אובס,1135516,5172361,25%,07/05/2017,ללא שינוי
אופל בלאנס,אופל,1094986,77291368,20%,07/05/2017,ללא שינוי
אופקו הלת',אפקו,1129543,557466719,80%,07/05/2017,ללא שינוי
אורביט,ארביט,265017,10705559,60%,07/05/2017,ללא שינוי
אורד,אורד,1104496,59596005,25%,07/05/2017,ללא שינוי
אורון קבוצה,אורנ,1135706,65125150,25%,07/05/2017,ללא שינוי
אוריין,אורן,1103506,13050490,45%,07/05/2017,ללא שינוי
אורמת טכנו,ארמת,1134402,49706450,80%,07/05/2017,ללא שינוי
אזורים,אזרם,715011,210540327,45%,07/05/2017,ללא שינוי
אזורים    אגח 9,אזרם.ק9,7150337,,,,
אזורים   אגח 10,אזרם.ק10,7150345,,,,
אטראו שוקי הון,אטרא,1096106,14723520,60%,07/05/2017,ללא שינוי
איאסאראר,אסרר,365015,25522656,10%,07/05/2017,ללא שינוי
איביאי בית השק,אבא,175018,12660304,10%,07/05/2017,ללא שינוי
אייאיאס,איאס,431015,4937797,35%,07/05/2017,ללא שינוי
איידיאו,אדו,505016,28316145,60%,07/05/2017,ללא שינוי
איידיאו   אגח ז,אדו.ק7,5050240,,,,
