Historical Prices - APPL
From 03/01/2007 To 26/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
1/3/2007,50.27988,,,,,,,,256343.3649,,,,,,,
1/4/2007,51.1388409,,,,,,,,261740.7311,,,,,,,
1/5/2007,51.1029,,,,,,,,261227.2011,,,,,,,
1/8/2007,51.66051,,,,,,,,264306.8535,,,,,,,
1/9/2007,56.18608341,,,,,,,,291333.209,,,,,,,
1/10/2007,58.6432472,,,,,,,,306297.5473,,,,,,,
1/11/2007,58.21759923,,,,,,,,303496.2766,,,,,,,
1/12/2007,57.3936066,,,,,,,,298627.4462,,,,,,,
1/16/2007,58.46656386,,,,,,,,305422.0838,,,,,,,
1/17/2007,57.241346,,,,,,,,298374.5953,,,,,,,
1/18/2007,53.7219946,,,,,,,,277160.7364,,,,,,,
1/19/2007,53.41751679,,,,,,,,275292.5676,,,,,,,
1/22/2007,52.3344906,,,,,,,,268816.4364,,,,,,,
1/23/2007,51.665038,,,,,,,,264795.9114,,,,,,,
1/24/2007,52.27013114,,,,,,,,268438.761,,,,,,,
1/25/2007,52.0455936,,,,,,,,267045.3655,,,,,,,
1/26/2007,51.5815359,,,,,,,,264196.5235,,,,,,,
1/29/2007,51.932133,,,,,,,,266296.6848,,,,,,,
1/30/2007,51.8676216,,,,,,,,265754.2436,,,,,,,
1/31/2007,52.09059043,,,,,,,,266995.1779,,,,,,,
2/1/2007,51.5581763,,,,,,,,263725.9475,,,,,,,
2/2/2007,51.6125673,,,,,,,,264608.2292,,,,,,,
2/5/2007,50.903493,,,,,,,,260527.4396,,,,,,,
2/6/2007,51.0248323,,,,,,,,261264.981,,,,,,,
2/7/2007,52.3667105,,,,,,,,269245.8506,,,,,,,
2/8/2007,52.30867632,,,,,,,,268963.3882,,,,,,,
2/9/2007,50.45323241,,,,,,,,257851.1954,,,,,,,
2/12/2007,51.29049843,,,,,,,,263027.6162,,,,,,,
2/13/2007,51.22293,,,,,,,,262582.2951,,,,,,,
2/14/2007,51.6186252,,,,,,,,264940.3112,,,,,,,
2/15/2007,51.6252689,,,,,,,,264924.0666,,,,,,,
2/16/2007,51.2495594,,,,,,,,262789.4083,,,,,,,
2/20/2007,51.77426374,,,,,,,,266065.1036,,,,,,,
2/21/2007,53.52018,,,,,,,,276806.2042,,,,,,,
2/22/2007,53.47693091,,,,,,,,276743.861,,,,,,,
2/23/2007,53.25628522,,,,,,,,275375.0254,,,,,,,
2/26/2007,53.0000955,,,,,,,,273833.7901,,,,,,,
2/27/2007,50.156568,,,,,,,,256698.5478,,,,,,,
2/28/2007,50.6570361,,,,,,,,259633.4282,,,,,,,
3/1/2007,52.2109458,,,,,,,,268931.5493,,,,,,,
3/2/2007,51.367894,,,,,,,,263713.2772,,,,,,,
3/5/2007,51.915194,,,,,,,,267015.2063,,,,,,,
3/6/2007,53.14593424,,,,,,,,274346.7888,,,,,,,
3/7/2007,52.8261167,,,,,,,,272450.5654,,,,,,,
3/8/2007,53.2524504,,,,,,,,274797.7467,,,,,,,
3/9/2007,53.1211317,,,,,,,,274104.6042,,,,,,,
3/12/2007,54.178892,,,,,,,,280561.1942,,,,,,,
3/13/2007,53.05780004,,,,,,,,274001.6081,,,,,,,
3/14/2007,53.9612487,,,,,,,,279502.3166,,,,,,,
3/15/2007,53.9210798,,,,,,,,279072.7096,,,,,,,
3/16/2007,53.73876168,,,,,,,,278138.4644,,,,,,,
3/19/2007,54.8473618,,,,,,,,284670.9675,,,,,,,
3/20/2007,55.02664716,,,,,,,,285778.9539,,,,,,,
3/21/2007,56.438667,,,,,,,,294319.4196,,,,,,,
3/22/2007,56.5238319,,,,,,,,294806.9031,,,,,,,
3/23/2007,56.25896,,,,,,,,293209.987,,,,,,,
3/26/2007,57.41706828,,,,,,,,300391.233,,,,,,,
3/27/2007,57.12853932,,,,,,,,298696.5613,,,,,,,
3/28/2007,55.83078,,,,,,,,290840.6973,,,,,,,
3/29/2007,56.2769658,,,,,,,,293416.2887,,,,,,,
3/30/2007,55.5603594,,,,,,,,286752.6995,,,,,,,
4/2/2007,55.855655,,,,,,,,288661.9311,,,,,,,
4/3/2007,56.2788,,,,,,,,291287.2961,,,,,,,
4/4/2007,55.9827347,,,,,,,,289638.7451,,,,,,,
4/5/2007,56.26420686,,,,,,,,291303.7781,,,,,,,
4/9/2007,55.6683546,,,,,,,,287693.963,,,,,,,
4/10/2007,55.7152734,,,,,,,,288243.5924,,,,,,,
4/11/2007,54.65173178,,,,,,,,281900.2975,,,,,,,
4/12/2007,54.332835,,,,,,,,280048.2017,,,,,,,
4/13/2007,53.1576879,,,,,,,,272982.2522,,,,,,,
4/16/2007,53.89656096,,,,,,,,277406.401,,,,,,,
4/17/2007,52.92814497,,,,,,,,271861.6278,,,,,,,
4/18/2007,52.42301799,,,,,,,,269291.8877,,,,,,,
4/19/2007,52.4726033,,,,,,,,269479.4745,,,,,,,
4/20/2007,52.6715721,,,,,,,,270865.0606,,,,,,,
4/23/2007,54.3628227,,,,,,,,280876.5636,,,,,,,
4/24/2007,54.23904,,,,,,,,280101.5338,,,,,,,
4/25/2007,55.4923614,,,,,,,,287640.883,,,,,,,
4/26/2007,57.58136,,,,,,,,300196.7212,,,,,,,
4/27/2007,58.07213469,,,,,,,,303269.5431,,,,,,,
4/30/2007,58.0549112,,,,,,,,303124.2113,,,,,,,
5/1/2007,57.284773,,,,,,,,298947.8809,,,,,,,
5/2/2007,57.652428,,,,,,,,301297.4684,,,,,,,
5/3/2007,57.5724006,,,,,,,,300882.3661,,,,,,,
5/4/2007,58.037642,,,,,,,,303505.7738,,,,,,,
5/7/2007,59.81777901,,,,,,,,314253.3159,,,,,,,
5/8/2007,61.09700888,,,,,,,,321489.6987,,,,,,,
5/9/2007,61.73553038,,,,,,,,325660.268,,,,,,,
5/10/2007,61.9045691,,,,,,,,328085.0446,,,,,,,
5/11/2007,62.2459401,,,,,,,,330499.1443,,,,,,,
5/14/2007,62.31193665,,,,,,,,331112.1602,,,,,,,
5/15/2007,60.99456,,,,,,,,323339.5037,,,,,,,
5/16/2007,60.7391623,,,,,,,,321908.5612,,,,,,,
5/17/2007,62.26829004,,,,,,,,330914.558,,,,,,,
5/18/2007,62.26171994,,,,,,,,331123.8343,,,,,,,
5/21/2007,63.50688729,,,,,,,,338564.4926,,,,,,,
5/22/2007,63.796504,,,,,,,,340741.7521,,,,,,,
5/23/2007,63.96330402,,,,,,,,341370.7527,,,,,,,
5/24/2007,63.2199742,,,,,,,,336500.0414,,,,,,,
5/25/2007,64.92722314,,,,,,,,346814.2361,,,,,,,
5/29/2007,64.82985902,,,,,,,,346588.9644,,,,,,,
5/30/2007,67.3254528,,,,,,,,361706.5068,,,,,,,
5/31/2007,69.3506841,,,,,,,,373531.1757,,,,,,,
6/1/2007,68.4183435,,,,,,,,367430.9849,,,,,,,
6/4/2007,69.65225865,,,,,,,,375207.91,,,,,,,
6/5/2007,70.5703561,,,,,,,,380668.9712,,,,,,,
6/6/2007,71.63189095,,,,,,,,386765.6155,,,,,,,
6/7/2007,71.60181918,,,,,,,,386767.3543,,,,,,,
6/8/2007,72.35898141,,,,,,,,391015.8072,,,,,,,
6/11/2007,69.86473,,,,,,,,375910.9025,,,,,,,
6/12/2007,69.91996918,,,,,,,,376283.4474,,,,,,,
6/13/2007,69.05972694,,,,,,,,370514.1131,,,,,,,
6/14/2007,70.66139879,,,,,,,,379619.5056,,,,,,,
6/15/2007,72.0246312,,,,,,,,387656.9462,,,,,,,
6/18/2007,74.78595,,,,,,,,404364.5142,,,,,,,
6/19/2007,73.9486202,,,,,,,,399283.5749,,,,,,,
6/20/2007,73.0342458,,,,,,,,393515.1652,,,,,,,
6/21/2007,73.91166,,,,,,,,399177.4874,,,,,,,
6/22/2007,72.98632418,,,,,,,,393831.4198,,,,,,,
6/25/2007,72.41112072,,,,,,,,390470.6557,,,,,,,
6/26/2007,71.448322,,,,,,,,384213.177,,,,,,,
6/27/2007,72.9252252,,,,,,,,393062.6942,,,,,,,
6/28/2007,72.89936883,,,,,,,,392388.7736,,,,,,,
6/29/2007,73.67212151,,,,,,,,392953.1408,,,,,,,
7/2/2007,73.57382088,,,,,,,,392087.0389,,,,,,,
7/3/2007,77.4463473,,,,,,,,415337.4265,,,,,,,
7/5/2007,81.31702197,,,,,,,,438458.5572,,,,,,,
7/6/2007,80.61417,,,,,,,,434487.4294,,,,,,,
7/9/2007,79.19793882,,,,,,,,426057.9364,,,,,,,
7/10/2007,79.9392188,,,,,,,,430870.6918,,,,,,,
7/11/2007,79.0180962,,,,,,,,425919.7989,,,,,,,
7/12/2007,80.21384168,,,,,,,,433034.756,,,,,,,
7/13/2007,83.04916213,,,,,,,,449788.7606,,,,,,,
7/16/2007,83.81301138,,,,,,,,454068.1537,,,,,,,
7/17/2007,83.93742014,,,,,,,,455053.8048,,,,,,,
7/18/2007,83.53880132,,,,,,,,452591.6006,,,,,,,
7/19/2007,85.28,,,,,,,,462753.6688,,,,,,,
7/20/2007,87.3999392,,,,,,,,475690.0331,,,,,,,
7/23/2007,87.67354488,,,,,,,,477159.5174,,,,,,,
7/24/2007,82.683716,,,,,,,,446696.8547,,,,,,,
7/25/2007,84.0032424,,,,,,,,454771.2853,,,,,,,
7/26/2007,89.3935306,,,,,,,,487384.2374,,,,,,,
7/27/2007,87.00459,,,,,,,,473574.9569,,,,,,,
7/30/2007,85.45004599,,,,,,,,464218.9447,,,,,,,
7/31/2007,79.86180012,,,,,,,,430213.7603,,,,,,,
8/1/2007,80.87072581,,,,,,,,436945.9682,,,,,,,
8/2/2007,82.30554046,,,,,,,,445282.7934,,,,,,,
8/3/2007,80.90874935,,,,,,,,435891.3839,,,,,,,
8/6/2007,83.661662,,,,,,,,452126.5483,,,,,,,
8/7/2007,83.608647,,,,,,,,451751.2434,,,,,,,
8/8/2007,82.44684238,,,,,,,,447772.6244,,,,,,,
8/9/2007,78.12340276,,,,,,,,421200.6413,,,,,,,
8/10/2007,77.27660025,,,,,,,,416037.6983,,,,,,,
8/13/2007,78.67293915,,,,,,,,424763.3443,,,,,,,
8/14/2007,76.30160718,,,,,,,,410366.9835,,,,,,,
8/15/2007,73.57247558,,,,,,,,393891.6704,,,,,,,
8/16/2007,71.41208298,,,,,,,,381050.9479,,,,,,,
8/17/2007,74.53139653,,,,,,,,399994.8579,,,,,,,
8/20/2007,74.51055,,,,,,,,399952.2956,,,,,,,
8/21/2007,76.7972002,,,,,,,,414544.216,,,,,,,
8/22/2007,79.663119,,,,,,,,432062.4564,,,,,,,
8/23/2007,79.3161348,,,,,,,,429601.7203,,,,,,,
8/24/2007,81.81409808,,,,,,,,444847.8849,,,,,,,
8/27/2007,80.02654582,,,,,,,,433928.1145,,,,,,,
8/28/2007,76.05920922,,,,,,,,410251.7262,,,,,,,
8/29/2007,80.30057189,,,,,,,,436143.6495,,,,,,,
8/30/2007,81.2050596,,,,,,,,441904.818,,,,,,,
8/31/2007,82.29884229,,,,,,,,448712.0302,,,,,,,
9/4/2007,85.95237048,,,,,,,,470783.9018,,,,,,,
9/5/2007,81.08287242,,,,,,,,441436.4115,,,,,,,
9/6/2007,79.70972688,,,,,,,,433296.0679,,,,,,,
9/7/2007,77.64270778,,,,,,,,420814.7295,,,,,,,
9/10/2007,80.446023,,,,,,,,437949.3503,,,,,,,
9/11/2007,79.76871084,,,,,,,,433800.1891,,,,,,,
9/12/2007,80.80015,,,,,,,,439930.4123,,,,,,,
9/13/2007,81.20672,,,,,,,,442277.2181,,,,,,,
9/14/2007,81.816597,,,,,,,,446207.2453,,,,,,,
9/17/2007,81.8993518,,,,,,,,446507.6046,,,,,,,
9/18/2007,83.1930105,,,,,,,,454503.9206,,,,,,,
9/19/2007,83.0543,,,,,,,,453689.7719,,,,,,,
9/20/2007,82.09744394,,,,,,,,448294.8078,,,,,,,
9/21/2007,84.3073326,,,,,,,,461769.384,,,,,,,
9/24/2007,86.71220115,,,,,,,,476415.2723,,,,,,,
9/25/2007,89.77022067,,,,,,,,494920.3331,,,,,,,
9/26/2007,89.1086169,,,,,,,,491136.0873,,,,,,,
9/27/2007,90.5258471,,,,,,,,499532.036,,,,,,,
9/28/2007,88.98196398,,,,,,,,484267.2557,,,,,,,
10/1/2007,90.676446,,,,,,,,494564.0012,,,,,,,
10/2/2007,91.61346861,,,,,,,,500447.0479,,,,,,,
10/3/2007,91.09728,,,,,,,,497436.3922,,,,,,,
10/4/2007,89.844696,,,,,,,,489990.5064,,,,,,,
10/5/2007,92.93759685,,,,,,,,508758.3014,,,,,,,
10/8/2007,96.6200388,,,,,,,,531198.1738,,,,,,,
10/9/2007,96.32766,,,,,,,,529572.8658,,,,,,,
10/10/2007,95.01294396,,,,,,,,521986.4529,,,,,,,
10/11/2007,92.90674616,,,,,,,,508864.4367,,,,,,,
10/12/2007,95.95111572,,,,,,,,527297.2389,,,,,,,
10/15/2007,95.655743,,,,,,,,525581.2464,,,,,,,
10/16/2007,97.08449275,,,,,,,,534314.8009,,,,,,,
10/17/2007,98.98092888,,,,,,,,545811.6059,,,,,,,
10/18/2007,100.0326066,,,,,,,,551859.6891,,,,,,,
10/19/2007,98.1375167,,,,,,,,540392.6646,,,,,,,
10/22/2007,100.5908902,,,,,,,,555221.8172,,,,,,,
10/23/2007,107.1590724,,,,,,,,595333.1947,,,,,,,
10/24/2007,107.042442,,,,,,,,594615.7725,,,,,,,
10/25/2007,105.5997239,,,,,,,,585632.389,,,,,,,
10/26/2007,106.2815996,,,,,,,,590012.0942,,,,,,,
10/29/2007,106.162221,,,,,,,,589469.6118,,,,,,,
10/30/2007,107.143043,,,,,,,,595500.1286,,,,,,,
10/31/2007,109.4219967,,,,,,,,609066.9815,,,,,,,
11/1/2007,107.8233486,,,,,,,,599416.5592,,,,,,,
11/2/2007,108.1193001,,,,,,,,601190.948,,,,,,,
11/5/2007,106.7261832,,,,,,,,594943.8058,,,,,,,
11/6/2007,108.9669721,,,,,,,,609128.5595,,,,,,,
11/7/2007,105.9009611,,,,,,,,590378.1908,,,,,,,
11/8/2007,99.5394686,,,,,,,,551648.7361,,,,,,,
11/9/2007,93.56167772,,,,,,,,515295.7363,,,,,,,
11/12/2007,87.17966673,,,,,,,,476205.7037,,,,,,,
11/13/2007,96.24592,,,,,,,,531635.9564,,,,,,,
11/14/2007,94.11318,,,,,,,,518584.5099,,,,,,,
