Historical Prices - MSFT
From 03/01/2007 To 26/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
1/3/2007,125.412,,,,,,,,1143183.444,,,,,,,
1/4/2007,124.57599,,,,,,,,1135413.453,,,,,,,
1/5/2007,124.66584,,,,,,,,1135720.242,,,,,,,
1/8/2007,126.63383,,,,,,,,1154532.714,,,,,,,
1/9/2007,127.291052,,,,,,,,1160615.596,,,,,,,
1/10/2007,125.52112,,,,,,,,1143572.912,,,,,,,
1/11/2007,130.59473,,,,,,,,1192981.245,,,,,,,
1/12/2007,132.51766,,,,,,,,1212053.205,,,,,,,
1/16/2007,131.336284,,,,,,,,1201103.751,,,,,,,
1/17/2007,131.242,,,,,,,,1200068.006,,,,,,,
1/18/2007,130.882,,,,,,,,1196486.339,,,,,,,
1/19/2007,131.442861,,,,,,,,1201933.672,,,,,,,
1/22/2007,129.66912,,,,,,,,1184584.521,,,,,,,
1/23/2007,129.7228,,,,,,,,1185133.571,,,,,,,
1/24/2007,131.206018,,,,,,,,1199710.016,,,,,,,
1/25/2007,128.6208,,,,,,,,1169308.695,,,,,,,
1/26/2007,129.4074,,,,,,,,1176904.575,,,,,,,
1/29/2007,129.1419,,,,,,,,1174283.364,,,,,,,
1/30/2007,129.35712,,,,,,,,1176091.952,,,,,,,
1/31/2007,131.256838,,,,,,,,1194496.023,,,,,,,
2/1/2007,130.15504,,,,,,,,1183585.17,,,,,,,
2/2/2007,128.69997,,,,,,,,1169251.263,,,,,,,
2/5/2007,125.69445,,,,,,,,1140204.585,,,,,,,
2/6/2007,125.255195,,,,,,,,1135913.937,,,,,,,
2/7/2007,124.96935,,,,,,,,1132890.667,,,,,,,
2/8/2007,124.319888,,,,,,,,1126663.307,,,,,,,
2/9/2007,122.912874,,,,,,,,1113045.516,,,,,,,
2/12/2007,122.413306,,,,,,,,1108396.991,,,,,,,
2/13/2007,122.892699,,,,,,,,1113018.764,,,,,,,
2/14/2007,124.5384,,,,,,,,1129076.338,,,,,,,
2/15/2007,124.93986,,,,,,,,1132900.806,,,,,,,
2/16/2007,121.54146,,,,,,,,1099878.816,,,,,,,
