Historical Prices - XOM
From 03/01/2007 To 26/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
1/3/2007,311.262,,,,,,,,1956619.167,,,,,,,
1/4/2007,303.89688,,,,,,,,1912956.255,,,,,,,
1/5/2007,308.04744,,,,,,,,1938071.98,,,,,,,
1/8/2007,307.38215,,,,,,,,1935032.084,,,,,,,
1/9/2007,306.288783,,,,,,,,1929250.037,,,,,,,
1/10/2007,300.42968,,,,,,,,1894515.5,,,,,,,
1/11/2007,301.941822,,,,,,,,1904071.241,,,,,,,
1/12/2007,308.51436,,,,,,,,1942139.925,,,,,,,
1/16/2007,301.913287,,,,,,,,1902593.787,,,,,,,
1/17/2007,305.7812,,,,,,,,1925324.786,,,,,,,
1/18/2007,303.81512,,,,,,,,1913924.879,,,,,,,
1/19/2007,310.671603,,,,,,,,1954019.445,,,,,,,
1/22/2007,307.7109,,,,,,,,1936613.354,,,,,,,
1/23/2007,314.3478,,,,,,,,1975289.38,,,,,,,
1/24/2007,316.09298,,,,,,,,1985474.845,,,,,,,
1/25/2007,310.54848,,,,,,,,1953264.354,,,,,,,
1/26/2007,311.29669,,,,,,,,1957796.36,,,,,,,
1/29/2007,309.636,,,,,,,,1948144.022,,,,,,,
1/30/2007,315.71116,,,,,,,,1984047.945,,,,,,,
1/31/2007,315.16953,,,,,,,,1981201.523,,,,,,,
2/1/2007,319.76572,,,,,,,,2008200.359,,,,,,,
2/2/2007,322.02702,,,,,,,,2021523.829,,,,,,,
2/5/2007,321.21915,,,,,,,,2016206.848,,,,,,,
2/6/2007,320.28997,,,,,,,,2010770.609,,,,,,,
2/7/2007,318.23145,,,,,,,,1999117.283,,,,,,,
2/8/2007,320.614448,,,,,,,,2012807.672,,,,,,,
2/9/2007,319.030586,,,,,,,,2003317.695,,,,,,,
2/12/2007,315.55054,,,,,,,,1982637.145,,,,,,,
2/13/2007,319.402485,,,,,,,,2005217.863,,,,,,,
2/14/2007,320.2416,,,,,,,,2010202.755,,,,,,,
2/15/2007,319.51694,,,,,,,,2006144.264,,,,,,,
2/16/2007,318.40141,,,,,,,,1999234.557,,,,,,,
2/20/2007,315.884017,,,,,,,,1984219.093,,,,,,,
2/21/2007,314.076,,,,,,,,1973031.79,,,,,,,
2/22/2007,313.992068,,,,,,,,1971940.531,,,,,,,
2/23/2007,314.825788,,,,,,,,1976914.125,,,,,,,
2/26/2007,315.549,,,,,,,,1981118.805,,,,,,,
2/27/2007,300.479256,,,,,,,,1893164.19,,,,,,,
2/28/2007,300.41088,,,,,,,,1893027.593,,,,,,,
3/1/2007,298.01602,,,,,,,,1879294.912,,,,,,,
3/2/2007,294.7421,,,,,,,,1819607.716,,,,,,,
3/5/2007,294.6158,,,,,,,,1818888.639,,,,,,,
3/6/2007,299.5064,,,,,,,,1847015.15,,,,,,,
3/7/2007,301.99842,,,,,,,,1861105.728,,,,,,,
3/8/2007,304.3566,,,,,,,,1875220.915,,,,,,,
3/9/2007,300.62424,,,,,,,,1853668.557,,,,,,,
3/12/2007,299.0714,,,,,,,,1844592.308,,,,,,,
3/13/2007,293.719874,,,,,,,,1813498.678,,,,,,,
3/14/2007,298.07094,,,,,,,,1838123.122,,,,,,,
3/15/2007,297.88766,,,,,,,,1837651.108,,,,,,,
3/16/2007,293.328168,,,,,,,,1811181.138,,,,,,,
3/19/2007,299.5443,,,,,,,,1847049.404,,,,,,,
3/20/2007,303.1632,,,,,,,,1867572.567,,,,,,,
3/21/2007,308.203101,,,,,,,,1896202.863,,,,,,,
3/22/2007,313.12996,,,,,,,,1924330.754,,,,,,,
3/23/2007,315.9269062,,,,,,,,1940254.585,,,,,,,
3/26/2007,316.460804,,,,,,,,1942696.213,,,,,,,
3/27/2007,317.164332,,,,,,,,1946567.214,,,,,,,
3/28/2007,316.70974,,,,,,,,1944056.357,,,,,,,
3/29/2007,320.36048,,,,,,,,1965194.445,,,,,,,
3/30/2007,315.8337,,,,,,,,1926304.895,,,,,,,
4/2/2007,317.968,,,,,,,,1938119.595,,,,,,,
4/3/2007,320.16384,,,,,,,,1950431.6,,,,,,,
4/4/2007,320.54627,,,,,,,,1952247.716,,,,,,,
4/5/2007,321.219756,,,,,,,,1956167.851,,,,,,,
4/9/2007,319.5648,,,,,,,,1946782.26,,,,,,,
4/10/2007,320.98466,,,,,,,,1954162.037,,,,,,,
4/11/2007,317.198286,,,,,,,,1932414.91,,,,,,,
4/12/2007,319.272445,,,,,,,,1944031.076,,,,,,,
4/13/2007,319.200135,,,,,,,,1943558.164,,,,,,,
4/16/2007,322.560688,,,,,,,,1962779.905,,,,,,,
4/17/2007,321.49488,,,,,,,,1955925.132,,,,,,,
4/18/2007,317.43726,,,,,,,,1931556.187,,,,,,,
4/19/2007,315.18474,,,,,,,,1919028.619,,,,,,,
4/20/2007,323.26728,,,,,,,,1964555.968,,,,,,,
4/23/2007,322.3044,,,,,,,,1959578.989,,,,,,,
4/24/2007,320.0592,,,,,,,,1946872.698,,,,,,,
4/25/2007,325.59408,,,,,,,,1978446.199,,,,,,,
4/26/2007,328.4829,,,,,,,,1995015.848,,,,,,,
4/27/2007,326.928588,,,,,,,,1985869.603,,,,,,,
4/30/2007,323.23536,,,,,,,,1964955.843,,,,,,,
5/1/2007,321.133358,,,,,,,,1951742.44,,,,,,,
5/2/2007,320.8764,,,,,,,,1949933.571,,,,,,,
5/3/2007,323.84952,,,,,,,,1966677.063,,,,,,,
5/4/2007,324.6165,,,,,,,,1971533.563,,,,,,,
5/7/2007,325.688319,,,,,,,,1977614.428,,,,,,,
5/8/2007,331.281704,,,,,,,,1990810.55,,,,,,,
5/9/2007,329.205486,,,,,,,,1978272.851,,,,,,,
5/10/2007,320.49743,,,,,,,,1929025.171,,,,,,,
5/11/2007,325.48861,,,,,,,,1956223.505,,,,,,,
5/14/2007,324.065625,,,,,,,,1947641.143,,,,,,,
5/15/2007,322.16723,,,,,,,,1936411.279,,,,,,,
5/16/2007,322.62345,,,,,,,,1938675.18,,,,,,,
5/17/2007,325.79304,,,,,,,,1957197.656,,,,,,,
5/18/2007,329.826164,,,,,,,,1979262.257,,,,,,,
5/21/2007,331.843941,,,,,,,,1990889.133,,,,,,,
5/22/2007,325.550964,,,,,,,,1954315.67,,,,,,,
5/23/2007,329.154938,,,,,,,,1975627.992,,,,,,,
5/24/2007,328.95544,,,,,,,,1975477.596,,,,,,,
5/25/2007,334.048351,,,,,,,,2004231.622,,,,,,,
5/29/2007,327.885732,,,,,,,,1968551.678,,,,,,,
5/30/2007,333.312,,,,,,,,1999100.945,,,,,,,
5/31/2007,333.154069,,,,,,,,1999365.311,,,,,,,
6/1/2007,340.6699,,,,,,,,2042907.029,,,,,,,
6/4/2007,338.43807,,,,,,,,2029523.337,,,,,,,
6/5/2007,339.31502,,,,,,,,2034723.626,,,,,,,
6/6/2007,339.12091,,,,,,,,2034502.566,,,,,,,
6/7/2007,331.102008,,,,,,,,1988849.333,,,,,,,
6/8/2007,336.400116,,,,,,,,2019579.664,,,,,,,
6/11/2007,337.97114,,,,,,,,2028438.849,,,,,,,
6/12/2007,333.3956,,,,,,,,2002565.642,,,,,,,
6/13/2007,342.91857,,,,,,,,2057692.676,,,,,,,
6/14/2007,353.092481,,,,,,,,2116569.286,,,,,,,
6/15/2007,359.57296,,,,,,,,2153647.999,,,,,,,
6/18/2007,361.4166,,,,,,,,2164064.332,,,,,,,
6/19/2007,359.32624,,,,,,,,2152319.381,,,,,,,
6/20/2007,348.34092,,,,,,,,2091048.327,,,,,,,
6/21/2007,352.01994,,,,,,,,2110848.788,,,,,,,
6/22/2007,342.763324,,,,,,,,2058027.268,,,,,,,
6/25/2007,341.275384,,,,,,,,2049323.884,,,,,,,
6/26/2007,342.0076,,,,,,,,2054575.14,,,,,,,
