Historical Prices - ALGOMIZER - 00744011,,,,,,,,,,,,,,,,
From 31/05/2012 To 31/05/2017, Frequency: Daily,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,539,539,0.54,536.1,536.1,556.9,530,19255435,103787,225584,41587,59,,,19255435,
28/05/2017,536.1,536.1,0.58,533,533,539.7,528.7,19255435,103228,6455,1204,6,,,19255435,
25/05/2017,533,533,0.76,529,529,545,529,19255435,102631,284804,53056,47,,,19255435,
24/05/2017,529,529,-0.04,529.2,529.2,534,526,19255435,101861,26243,4961,11,,,19255435,
23/05/2017,529.2,529.2,-0.49,531.8,531.8,530.2,524.7,19255435,101900,84242,15945,20,,,19255435,
22/05/2017,531.8,531.8,-1.55,540,540.2,545,518.9,19255435,102400,361311,67362,56,,,19255435,
21/05/2017,540.2,540.2,-0.81,544.6,544.6,545,537.8,19255435,104018,197070,36342,40,,,19255435,
18/05/2017,544.6,544.6,-0.44,547,547,547,526.9,19255435,104865,440576,81589,109,,,19255435,
17/05/2017,547,547,-0.65,550.6,550.6,555,540.1,19255435,105327,308220,56391,76,,,19255435,
16/05/2017,550.6,550.6,1.4,543,543,555,540,19255435,106020,383121,70292,59,,,19255435,
15/05/2017,543,543,0.11,542.4,542.4,545,530,19255435,104557,254175,47132,69,,,19255435,
14/05/2017,542.4,542.4,2.05,541.3,531.5,550,529,19255435,104441,274893,50734,59,,,19255435,
11/5/2017,531.5,531.5,1.51,523.6,523.6,534,523,19255435,102343,134867,25444,28,,,19255435,
10/5/2017,523.6,523.6,0.91,518.9,518.9,524,522,19255435,100821,18607,3554,5,,,19255435,
9/5/2017,518.9,518.9,0.25,517.6,517.6,525,513.6,19255435,99916,72237,13852,20,,,19255435,
8/5/2017,517.6,517.6,0.62,514.4,514.4,523.8,514.5,19255435,99666,96965,18731,18,,,19255435,
7/5/2017,514.4,514.4,0.41,524.8,512.3,524.8,507.3,19255435,99050,41170,7979,16,,,19255435,
4/5/2017,512.3,512.3,-0.25,513.6,513.6,519,509,19255435,98646,80412,15695,29,,,18588770,
3/5/2017,513.6,513.6,0.31,512,512,521.3,508,19255435,98896,271414,52534,74,,,18588770,
30/04/2017,512,512,-0.37,515.9,513.9,515.9,508.8,19255435,98588,71999,14058,25,,,18588770,
27/04/2017,513.9,513.9,0.21,512.8,512.8,516.9,510.9,19255435,98954,323764,62846,57,,,18588770,
26/04/2017,512.8,512.8,0.73,509.1,509.1,517.4,509.1,19255435,98742,273666,53435,51,,,18588770,
25/04/2017,509.1,509.1,0.34,507.4,507.4,510,506.9,19255435,98029,101624,19953,20,,,18588770,
24/04/2017,507.4,507.4,-0.51,510,510,519.3,506,19255435,97702,163396,31999,52,,,18588770,
23/04/2017,510,510,-5.56,548,540,548,501,19255435,98203,231764,44550,54,,,18588770,
20/04/2017,540,540,-0.81,544.4,544.4,546.5,533,19255435,103979,134779,24932,28,,,18588770,
19/04/2017,544.4,544.4,-0.02,544.5,544.5,548,540,19255435,104827,66055,12116,13,,,18588770,
18/04/2017,544.5,544.5,0.95,539.4,539.4,549,538.9,19255435,104846,57915,10644,24,,,18588770,
13/04/2017,539.4,539.4,0.04,539.2,539.2,542,532.9,19255435,103864,15955,2958,10,,,18588770,
12/4/2017,539.2,539.2,0.54,536.3,536.3,544.9,520.4,19255435,103825,225512,42236,54,,,18588770,
9/4/2017,536.3,536.3,0.28,544,534.8,550,528.1,19255435,103267,360478,66508,60,,,18588770,
6/4/2017,534.8,534.8,3.4,525,517.2,555,525,19255435,102978,712313,131788,144,,,18440622,
5/4/2017,517.2,517.2,1.61,509,509,520,493.8,19255435,99589,130320,25549,41,,,18440622,
4/4/2017,509,509,-0.31,510.6,510.6,516.9,505.2,19255435,98010,173842,34137,47,,,18440622,
3/4/2017,510.6,510.6,-1.71,519.5,519.5,515.5,500,19255435,98318,251819,49488,55,,,18440622,
2/4/2017,519.5,519.5,7.47,483.4,483.4,520.2,478,19255435,100032,393029,77491,87,,,18440622,
30/03/2017,483.4,483.4,2.24,472.8,472.8,489,474.9,19255435,93081,65929,13722,20,,,18440622,
29/03/2017,472.8,472.8,-0.02,481.6,472.9,500,468.2,19255435,91040,144452,29905,52,,,18440622,
28/03/2017,472.9,472.9,-1.46,479.9,479.9,486.8,463.3,19255435,91059,51845,10940,23,,,18440622,
27/03/2017,479.9,479.9,-4.17,481.2,500.8,490.8,471.9,18588770,89208,286961,59521,81,,,18440622,
26/03/2017,500.8,500.8,0.16,505,500,512.4,497,18588770,93093,347494,68918,50,,,18440622,
23/03/2017,500,500,3.8,485,481.7,515,481,18588770,92944,247207,49757,71,,,18440622,
22/03/2017,481.7,481.7,1.71,473.6,473.6,482.1,473.6,18588770,89542,122193,25552,37,,,18440622,
21/03/2017,473.6,473.6,3.18,459,459,475.3,461.4,18588770,88036,159178,34063,34,,,18440622,
20/03/2017,459,459,1.5,452.2,452.2,460.5,448.1,18588770,85322,106213,23320,40,,,18440622,
19/03/2017,452.2,452.2,0.18,451.4,451.4,461.5,440.2,18588770,84058,205212,45233,59,,,18440622,
16/03/2017,451.4,451.4,3.37,436.7,436.7,459.6,432.1,18588770,83910,383820,85493,72,,,18440622,
15/03/2017,436.7,436.7,3.36,422.5,422.5,445,420,18588770,81177,121583,28169,38,,,18440622,
14/03/2017,422.5,422.5,0.05,422.3,422.3,430,410.1,18588770,78538,64443,15294,30,,,18440622,
13/03/2017,422.3,422.3,-2,430.9,430.9,435.8,417,18588770,78500,65183,15302,23,,,18440622,
9/3/2017,430.9,430.9,-0.16,431.6,431.6,435.9,424.5,18440622,79461,58397,13574,26,,,18440622,
8/3/2017,431.6,431.6,-1.03,436.1,436.1,444.1,427.4,18440622,79590,73339,16772,28,,,18440622,
7/3/2017,436.1,436.1,0.3,434.8,434.8,442,428,18440622,80420,100183,23043,12,,,18440622,
6/3/2017,434.8,434.8,-0.89,438.7,438.7,437.9,430.2,18440622,80180,17506,4026,8,,,18440622,
5/3/2017,438.7,438.7,-0.16,439.4,439.4,445,429.7,18440622,80899,25050,5710,9,,,18440622,
2/3/2017,439.4,439.4,1.24,434,434,444,430.4,18440622,81028,74291,16996,27,,,18440622,
1/3/2017,434,434,-0.91,438,438,440,428.2,18440622,80032,111420,25536,39,,,18440622,
28/02/2017,438,438,1.96,429.6,429.6,441.5,427,18440622,80770,294290,67295,76,,,18440622,
27/02/2017,429.6,429.6,0.77,426.3,426.3,440,424.9,18440622,79221,76030,17635,34,,,18440622,
26/02/2017,426.3,426.3,0.8,422.9,422.9,433.4,417.2,18440622,78612,91364,21585,33,,,18440622,
23/02/2017,422.9,422.9,-1.28,428.4,428.4,430,419.2,18440622,77985,47707,11263,18,,,18440622,
22/02/2017,428.4,428.4,-1.52,435,435,430.8,425.9,18440622,79000,66910,15641,27,,,18440622,
21/02/2017,435,435,0.39,433.3,433.3,438.4,427,18440622,80217,131270,30237,36,,,18440622,
20/02/2017,433.3,433.3,3.49,418.7,418.7,449,422,18440622,79903,213356,48499,55,,,18440622,
19/02/2017,418.7,418.7,-0.4,420.4,420.4,430,413.2,18440622,77211,135771,32322,31,,,18440622,
16/02/2017,420.4,420.4,-1.78,428,428,440,414.3,18440622,77524,264886,62117,76,,,18440622,
15/02/2017,428,428,-1.74,435.6,435.6,430.4,427,18440622,78926,44969,10507,13,,,18440622,
14/02/2017,435.6,435.6,-0.68,438.6,438.6,441,429.8,18440622,80327,83144,19116,26,,,18440622,
13/02/2017,438.6,438.6,-0.5,440.8,440.8,448.8,436,18440622,80881,140624,31981,33,,,18440622,
12/2/2017,440.8,440.8,-1.83,440,449,450,438,18440622,81286,127683,28944,34,,,18440622,
9/2/2017,449,449,0.36,448.5,447.4,449,439.9,18440622,82798,2080894,463691,43,,,,
8/2/2017,447.4,447.4,1.89,439.1,439.1,449,437,18440622,82503,291996,65673,46,,,,
7/2/2017,439.1,439.1,-0.27,438,440.3,442,433.7,18440622,80973,54079,12341,31,,,,
6/2/2017,440.3,440.3,-0.14,440.9,440.9,445,437.4,18440622,81194,102266,23206,32,,,,
5/2/2017,440.9,440.9,-0.59,443.5,443.5,444.9,439,18440622,81305,272843,61630,51,,,,
2/2/2017,443.5,443.5,0.38,441.8,441.8,445,437.4,18440622,81784,293433,66181,48,,,,
1/2/2017,441.8,441.8,2.08,432.8,432.8,450,433,18440622,81471,149134,33786,28,,,,
31/01/2017,432.8,432.8,-0.37,434.4,434.4,434.9,432,18440622,79811,11902,2750,2,,,,
30/01/2017,434.4,434.4,-0.87,438.2,438.2,435,431.6,18440622,80106,28259,6506,6,,,,
29/01/2017,438.2,438.2,2.17,435,428.9,438.8,430,18440622,80807,233757,53728,46,,,,
26/01/2017,428.9,428.9,0.4,427.2,427.2,430,428,18440622,79092,96650,22536,14,,,,
25/01/2017,427.2,427.2,0.07,426.9,426.9,428.5,420.5,18440622,78778,60949,14270,12,,,,
24/01/2017,426.9,426.9,1.23,421.7,421.7,427,422,18440622,78723,51840,12161,7,,,,
23/01/2017,421.7,421.7,-0.87,425.4,425.4,422,417,18440622,77764,61019,14468,9,,,,
22/01/2017,425.4,425.4,0,425.4,425.4,426.8,420.1,18440622,78446,34183,8036,11,,,,
19/01/2017,425.4,425.4,-0.72,428.5,428.5,427,390,18440622,78446,97088,23181,27,,,,
18/01/2017,428.5,428.5,1.23,423.3,423.3,429,426.6,18440622,79018,68528,16021,13,,,,
17/01/2017,423.3,423.3,-0.31,424.6,424.6,427,419.9,18440622,78059,68490,16220,8,,,,
16/01/2017,424.6,424.6,-0.09,427,425,427,419.1,18440622,78299,79104,18726,13,,,,
15/01/2017,425,425,1.19,420,420,426.9,424.4,18440622,78373,229546,54009,7,,,,
12/1/2017,420,420,1.67,413.1,413.1,425,414.9,18440622,77451,102328,24305,13,,,,
11/1/2017,413.1,413.1,-1.64,420,420,423.9,411.5,17673428,73009,160513,38861,20,,,,
10/1/2017,420,420,-1.52,426.5,426.5,426.5,418,17673428,74228,86870,20670,14,,,,
9/1/2017,426.5,426.5,0.31,425.2,425.2,427,425.2,17673428,75377,51334,12040,15,,,,
8/1/2017,425.2,425.2,0.05,425,425,425.3,425,17673428,75147,9022,2122,4,,,,
5/1/2017,425,425,0.57,422.6,422.6,425.1,422.7,17673428,75112,326508,76843,16,,,,
4/1/2017,422.6,422.6,0.64,419.9,419.9,423.1,419.9,17673428,74688,132974,31479,12,,,,
3/1/2017,419.9,419.9,-0.14,421,420.5,421,407.9,17673428,74211,95274,22702,15,,,,
2/1/2017,420.5,420.5,1.87,412.8,412.8,425,407,17673428,74317,119622,28582,16,,,,
1/1/2017,412.8,412.8,2.03,404.6,404.6,416.7,404.6,17673428,72956,18206,4410,9,,,,
29/12/2016,404.6,404.6,7.66,375.8,375.8,420,382.7,17673428,71507,576633,141856,55,,,,
28/12/2016,375.8,375.8,-5.91,399.4,399.4,399.9,359.9,17673428,66417,248406,65744,70,,,,
27/12/2016,399.4,399.4,-0.27,400.5,400.5,404.4,392.5,17673428,70588,65709,16449,22,,,,
26/12/2016,400.5,400.5,-2.77,411.9,411.9,414,400,17673428,70782,212583,52214,23,,,,
25/12/2016,411.9,411.9,0.29,410.7,410.7,414.2,410.7,17673428,72797,10119,2457,5,,,,
22/12/2016,410.7,410.7,-2.47,421.1,421.1,420,410,17673428,72585,113135,27404,16,,,,
21/12/2016,421.1,421.1,-1.52,427.6,427.6,426,410.5,17673428,74423,74499,17722,19,,,,
20/12/2016,427.6,427.6,0.83,427,424.1,429,407.1,17673428,75572,170356,39989,33,,,,
19/12/2016,424.1,424.1,2.02,415.7,415.7,424.7,406.1,17673428,74953,91333,21738,19,,,,
18/12/2016,415.7,415.7,1.07,431,411.3,435,411.2,17673428,73468,688432,162402,69,,,,
15/12/2016,411.3,411.3,0,411.3,411.3,0,0,17673428,72691,0,0,0,,,,
14/12/2016,411.3,411.3,-0.1,414,411.7,414.1,405,17673428,72691,31761,7722,6,,,,
13/12/2016,411.7,411.7,1.78,404.5,404.5,415,403.4,17673428,72762,121063,29531,16,,,,
12/12/2016,404.5,404.5,-1.49,410.6,410.6,418,398.3,17673428,71489,60181,14806,14,,,,
11/12/2016,410.6,410.6,-1.18,415.5,415.5,416.5,408.5,17673428,72567,36067,8786,8,,,,
8/12/2016,415.5,415.5,0,415.5,415.5,0,0,17673428,73433,0,0,0,,,,
7/12/2016,415.5,415.5,0.51,413.4,413.4,421,411.9,17673428,73433,36752,8849,7,,,,
6/12/2016,413.4,413.4,-0.39,415,415,415,410,17673428,73062,26227,6345,5,,,,
5/12/2016,415,415,-0.46,416.9,416.9,415,415,17673428,73345,15998,3855,2,,,,
4/12/2016,416.9,416.9,1.14,412.2,412.2,425,413.9,17673428,73681,132460,31601,25,,,,
1/12/2016,412.2,412.2,0.46,410.3,410.3,417.4,410,17673428,72850,14372,3487,4,,,,
30/11/2016,410.3,410.3,-1.51,416.6,416.6,425,409.8,17673428,72514,106918,25655,22,,,,
29/11/2016,416.6,416.6,-0.93,420.5,420.5,421,415,17673428,73628,76594,18312,13,,,,
28/11/2016,420.5,420.5,0.12,420,420,424.9,420,17673428,74317,34574,8223,6,,,,
27/11/2016,420,420,-0.71,423,423,425,420,17673428,74228,107750,25529,12,,,,
24/11/2016,423,423,1.41,417.1,417.1,424.5,420,17673428,74759,86510,20432,16,,,,
23/11/2016,417.1,417.1,-1.42,420,423.1,423.1,415,17673428,73716,202642,48362,26,,,,
22/11/2016,423.1,423.1,-0.91,427,427,423.8,405,17673428,74776,105228,25186,19,,,,
21/11/2016,427,427,0,427,427,427,426.9,17673428,75466,373836,87550,40,,,,
20/11/2016,427,427,0.38,425,425.4,428,417.9,17673428,75466,251174,59002,16,,,,
17/11/2016,425.4,425.4,1.72,418.2,418.2,427.9,419,17673428,75183,354848,83624,35,,,,
16/11/2016,418.2,418.2,1.46,412.2,412.2,420,412.5,17673428,73910,335900,80402,41,,,,
15/11/2016,412.2,412.2,2.08,403.8,403.8,415,405,17673428,72850,301866,73442,31,,,,
14/11/2016,403.8,403.8,-0.47,405.7,405.7,408.4,393.7,17595650,71051,1682334,417097,61,,,,
13/11/2016,405.7,405.7,0.55,403.5,403.5,407,394.1,17595650,71386,78387,19416,15,,,,
10/11/2016,403.5,403.5,1.46,397.7,397.7,408,384.2,17595650,70998,206424,51656,23,,,,
9/11/2016,397.7,397.7,0,397.7,397.7,0,0,17595650,69978,0,0,0,,,,
8/11/2016,397.7,397.7,0,397.7,397.7,0,0,17595650,69978,0,0,0,,,,
7/11/2016,397.7,397.7,0.99,395,393.8,400,395,17595650,69978,64106,16124,15,,,,
6/11/2016,393.8,393.8,3.58,380.2,380.2,399,384.9,17595650,69292,133536,34198,21,,,,
3/11/2016,380.2,380.2,0.29,379.1,379.1,384.9,370,17595650,66899,104526,27493,16,,,,
2/11/2016,379.1,379.1,1.04,375.2,375.2,379.5,379,17595650,66705,2274,600,2,,,,
1/11/2016,375.2,375.2,0.97,371.6,371.6,379.5,370,17595650,66019,95835,25710,26,,,,
31/10/2016,371.6,371.6,0.51,369.7,369.7,374,370,17595650,65385,12186,3279,8,,,,
30/10/2016,369.7,369.7,-0.11,370.1,370.1,375,367.7,17595650,65051,16280,4404,9,,,,
27/10/2016,370.1,370.1,-0.64,372.5,372.5,370.3,370,17595650,65122,25909,7000,6,,,,
26/10/2016,372.5,372.5,0.32,371.3,371.3,377,372,17595650,65544,22821,6127,5,,,,
25/10/2016,371.3,371.3,-1.62,377.4,377.4,377,364.2,17111985,63537,27312,7355,10,,,,
20/10/2016,377.4,377.4,1.97,370.1,370.1,379.5,370.1,17111985,64581,30210,8005,7,,,,
19/10/2016,370.1,370.1,-1.41,375.4,375.4,378,369.9,17111985,63331,25908,7000,4,,,,
18/10/2016,375.4,375.4,-0.13,375.9,375.9,376,375,17111985,64238,27853,7420,5,,,,
13/10/2016,375.9,375.9,0.83,372.8,372.8,375.9,375.9,17111985,64324,5296,1409,1,,,,
10/10/2016,372.8,372.8,0.62,370.5,370.5,375,370,17111985,63793,8038,2156,4,,,,
9/10/2016,370.5,370.5,0.71,367.9,367.9,379.9,368,17111985,63400,64219,17312,10,,,,
6/10/2016,367.9,367.9,2.85,357.7,357.7,370,364.3,17111985,62955,17449,4743,8,,,,
5/10/2016,357.7,357.7,-3.01,368.8,368.8,361.4,350.4,17111985,61210,20744,5800,10,,,,
29/09/2016,368.8,368.8,0.05,368.6,368.6,370,368.5,17111985,63109,53026,14383,9,,,,
28/09/2016,368.6,368.6,1.04,364.8,364.8,370,360,17111985,63075,25799,7000,5,,,,
27/09/2016,364.8,364.8,-1.11,368.9,368.9,367,361.5,17111985,62425,97246,26672,11,,,,
26/09/2016,368.9,368.9,6.71,345.7,345.7,379.9,345.7,17111985,63126,12543,3400,7,,,,
25/09/2016,345.7,345.7,0.26,344.8,344.8,348.9,344,17111985,59156,105072,30420,11,,,,
22/09/2016,344.8,344.8,-2.3,352.9,352.9,359.3,344,17111985,59002,206349,59230,40,,,,
21/09/2016,352.9,352.9,0.11,352.5,352.5,359,352,17111985,60388,69511,19683,11,,,,
20/09/2016,352.5,352.5,-0.11,352.9,352.9,366.9,351.1,17111985,60320,33612,9510,11,,,,
19/09/2016,352.9,352.9,0.26,352,352,353.2,351,17111985,60388,26421,7486,7,,,,
18/09/2016,352,352,-0.17,352.6,352.6,365,351.9,17111985,60234,182395,50961,26,,,,
15/09/2016,352.6,352.6,-1.97,359.7,359.7,374.1,350,17111985,60337,326411,91821,41,,,,
14/09/2016,359.7,359.7,-0.44,361.3,361.3,361,356,17111985,61552,224981,62661,23,,,,
13/09/2016,361.3,361.3,0.28,360.3,360.3,371.1,360.2,17111985,61826,121876,33394,36,,,,
12/9/2016,360.3,360.3,0.5,358.5,358.5,380.1,349.9,17111985,61654,277899,76210,68,,,,
11/9/2016,358.5,358.5,-2.85,369,369,372,351,17111985,61346,156897,43657,24,,,,
8/9/2016,369,369,2.41,360.3,360.3,389,358.6,17111985,63143,688099,185432,75,,,,
7/9/2016,360.3,360.3,-0.17,360.9,360.9,382.6,359.9,17111985,61654,219936,60896,34,,,,
6/9/2016,360.9,360.9,-5.03,380,380,387,360,17111985,61757,295458,80013,59,,,,
5/9/2016,380,380,-2.64,390.3,390.3,388.4,380,17111985,65026,57293,15000,12,,,,
4/9/2016,390.3,390.3,-0.56,400.4,392.5,400.4,389.9,17111985,66788,49334,12561,15,,,,
1/9/2016,392.5,392.5,-2.12,401,401,404,388.8,17111985,67165,100506,25500,26,,,,
31/08/2016,401,401,-0.96,400,404.9,407,399.8,17111985,68619,160086,40000,12,,,,
30/08/2016,404.9,404.9,0.6,402.5,402.5,405,404.6,17111985,69286,27136,6702,10,,,,
29/08/2016,402.5,402.5,0.12,402,402,404.5,402,17111985,68876,10063,2500,2,,,,
28/08/2016,402,402,1.88,394.6,394.6,415,395.3,17111985,68790,278468,68833,50,,,,
25/08/2016,394.6,394.6,5.68,373.4,373.4,405.9,380.3,17111985,67524,107879,27305,39,,,,
24/08/2016,373.4,373.4,-3.76,388,388,381,371,17111985,63896,98009,26026,16,,,,
23/08/2016,388,388,1.84,381,381,388,387.9,17111985,66395,7759,2000,6,,,,
22/08/2016,381,381,0.16,380.4,380.4,397.1,371,16556433,63080,117815,30762,30,,,,
21/08/2016,380.4,380.4,-4.71,399.2,399.2,388.2,369.9,16556433,62981,69525,18310,23,,,,
18/08/2016,399.2,399.2,0.4,400,397.6,404.9,391,16556433,66093,26898,6738,10,,,,
17/08/2016,397.6,397.6,1.69,391,391,400,390,16556433,65828,32726,8231,12,,,,
16/08/2016,391,391,-1.41,396.6,396.6,420,389,16556433,64736,502083,123938,105,,,,
15/08/2016,396.6,396.6,4.07,388.1,381.1,401.9,388.1,16556433,65663,38245,9675,11,,,,
11/8/2016,381.1,381.1,-3.4,394.5,394.5,392.8,370.1,16556433,63097,42967,11255,20,,,,
10/8/2016,394.5,394.5,1.15,390,390,395,393.9,16556433,65315,3945,1000,2,,,,
9/8/2016,390,390,0,390,390,390,390,16556433,64570,26130,6700,1,,,,
8/8/2016,390,390,-2.33,399.3,399.3,394,389.9,16556433,64570,42448,10875,11,,,,
7/8/2016,399.3,399.3,-1.31,404.6,404.6,400,399,16556433,66110,8093,2027,3,,,,
4/8/2016,404.6,404.6,0.65,402,402,409.4,401,16556433,66987,16383,4049,6,,,,
3/8/2016,402,402,0,402,402,0,0,16556433,66557,0,0,0,,,,
2/8/2016,402,402,-0.72,404.9,404.9,412.3,399,16556433,66557,13313,3312,8,,,,
1/8/2016,404.9,404.9,0.75,401.9,401.9,404.9,404.9,16556433,67037,2025,500,1,,,,
31/07/2016,401.9,401.9,0,401.9,401.9,401.9,401.9,16556433,66540,804,200,2,,,,
28/07/2016,401.9,401.9,0.02,401.8,401.8,402,396.1,16556433,66540,29467,7332,4,,,,
27/07/2016,401.8,401.8,0,401.8,401.8,0,0,16556433,66524,0,0,0,,,,
26/07/2016,401.8,401.8,-0.32,403.1,403.1,407.1,395.1,16556433,66524,11985,2983,9,,,,
25/07/2016,403.1,403.1,-2.87,415,415,404.2,402.5,16556433,66739,24023,5960,7,,,,
24/07/2016,415,415,0,415,415,415,405,16556433,68709,59494,14389,7,,,,
21/07/2016,415,415,0,415,415,0,0,16556433,68709,0,0,0,,,,
20/07/2016,415,415,0,415,415,0,0,16556433,68709,0,0,0,,,,
19/07/2016,415,415,1.22,410,410,415,410,16556433,68709,77674,18722,5,,,,
18/07/2016,410,410,-0.24,411,411,418,405,16556433,67881,82216,19822,13,,,,
17/07/2016,411,411,0,411,411,0,0,16556433,68047,0,0,0,,,,
