,date,value
1221,2012-05-31,1013.22090045
1220,2012-06-03,988.051331373
1219,2012-06-04,995.60083643
1218,2012-06-05,994.099434115
1217,2012-06-06,1006.34938435
1216,2012-06-07,1023.30416059
1215,2012-06-10,1021.61612155
1214,2012-06-11,1012.8700341
1213,2012-06-12,1007.24655625
1212,2012-06-13,990.390360535
1211,2012-06-14,981.043843022
1210,2012-06-17,985.580184748
1209,2012-06-18,984.093101693
1208,2012-06-19,989.041232915
1207,2012-06-20,986.039664356
1206,2012-06-21,981.594067966
1205,2012-06-24,1016.3057802
1204,2012-06-25,998.269604254
1203,2012-06-26,989.273268712
1202,2012-06-27,991.283665787
1201,2012-06-28,978.433650463
1200,2012-07-01,997.542209669
1199,2012-07-02,998.267651324
1198,2012-07-03,997.589903328
1197,2012-07-04,997.496368
1196,2012-07-05,996.865705491
1195,2012-07-08,994.185284805
1194,2012-07-09,995.930754088
1193,2012-07-10,994.460056203
1192,2012-07-11,994.427627391
1191,2012-07-12,991.374942917
1190,2012-07-15,992.567712807
1189,2012-07-16,994.394858858
1188,2012-07-17,1008.92347789
1187,2012-07-18,1013.02137122
1186,2012-07-19,1004.67461227
1185,2012-07-22,999.290800527
1184,2012-07-23,987.549663462
1183,2012-07-24,992.890330572
1182,2012-07-25,1002.2786257
1181,2012-07-26,1003.84467951
1180,2012-07-30,1015.81518532
1179,2012-07-31,1007.89080333
1178,2012-08-01,1009.90209916
1177,2012-08-02,997.434348441
1176,2012-08-05,983.239903098
1175,2012-08-06,981.704938689
1174,2012-08-07,1007.08620881
1173,2012-08-08,1008.04067263
1172,2012-08-09,1004.78953361
1171,2012-08-12,999.981727464
1170,2012-08-13,990.686972722
1169,2012-08-14,997.310613551
1168,2012-08-15,994.805772198
1167,2012-08-16,1002.33068507
1166,2012-08-19,1004.22503103
1165,2012-08-20,1003.58898299
1164,2012-08-21,1010.28962967
1163,2012-08-22,1006.32352155
1162,2012-08-23,1002.13945317
1161,2012-08-26,997.258350337
1160,2012-08-27,1001.24048234
1159,2012-08-28,990.200588767
1158,2012-08-29,996.53867558
1157,2012-08-30,998.058351425
1156,2012-09-02,993.388508714
1155,2012-09-03,999.566255528
1154,2012-09-04,991.301925979
1153,2012-09-05,987.528182965
1152,2012-09-06,987.309681606
1151,2012-09-09,1011.7930009
1150,2012-09-10,1018.21278512
1149,2012-09-11,1017.08593969
1148,2012-09-12,1025.95535819
1147,2012-09-13,1023.80214124
1146,2012-09-19,1025.58399991
1145,2012-09-20,1020.05886241
1144,2012-09-23,1022.18438041
1143,2012-09-24,1038.96491286
1142,2012-09-27,1061.76348664
1141,2012-10-02,1091.97508435
1140,2012-10-03,1097.0375718
1139,2012-10-04,1086.18476772
1138,2012-10-09,1064.67344941
1137,2012-10-10,1065.92783041
1136,2012-10-11,1070.50883637
1135,2012-10-14,1065.27287967
1134,2012-10-15,1078.07589447
1133,2012-10-16,1087.16484356
1132,2012-10-17,1094.2787785
1131,2012-10-18,1101.94041302
1130,2012-10-21,1085.89194777
1129,2012-10-22,1094.59504494
1128,2012-10-23,1080.50911114
1127,2012-10-24,1087.82990655
1126,2012-10-25,1099.37174502
1125,2012-10-28,1095.60277053
1124,2012-10-29,1084.67953908
1123,2012-10-30,1098.09101845
1122,2012-10-31,1105.36477413
1121,2012-11-01,1111.37651349
1120,2012-11-04,1110.92856851
1119,2012-11-05,1117.479095
1118,2012-11-06,1115.14227391
1117,2012-11-07,1106.38154444
1116,2012-11-08,1104.72141842
1115,2012-11-11,1101.80227668
1114,2012-11-12,1093.44704798
1113,2012-11-13,1089.90083073
1112,2012-11-14,1083.9914429
1111,2012-11-15,1072.99990568
