,date,value
1221,2012-05-31,1079.2456675
1220,2012-06-03,1052.60368678
1219,2012-06-04,1060.36872052
1218,2012-06-05,1058.96377863
1217,2012-06-06,1072.21875493
1216,2012-06-07,1090.30314899
1215,2012-06-10,1089.18006871
1214,2012-06-11,1079.94166377
1213,2012-06-12,1074.02130108
1212,2012-06-13,1056.34002933
1211,2012-06-14,1046.54830347
1210,2012-06-17,1051.0973144
1209,2012-06-18,1049.68392547
1208,2012-06-19,1054.89931953
1207,2012-06-20,1051.45144842
1206,2012-06-21,1046.76447251
1205,2012-06-24,1082.07406665
1204,2012-06-25,1063.10682141
1203,2012-06-26,1053.63903714
1202,2012-06-27,1055.82507769
1201,2012-06-28,1041.58290946
1200,2012-07-01,1061.62453204
1199,2012-07-02,1062.31642049
1198,2012-07-03,1061.68623594
1197,2012-07-04,1061.48502374
1196,2012-07-05,1060.87948229
1195,2012-07-08,1058.39554263
1194,2012-07-09,1060.13347961
1193,2012-07-10,1058.6784765
1192,2012-07-11,1058.60250295
1191,2012-07-12,1055.76119104
1190,2012-07-15,1056.959163
1189,2012-07-16,1058.27916503
1188,2012-07-17,1073.13586057
1187,2012-07-18,1077.07478788
1186,2012-07-19,1068.1858138
1185,2012-07-22,1061.97763387
1184,2012-07-23,1049.21392722
1183,2012-07-24,1054.42245333
1182,2012-07-25,1063.84891695
1181,2012-07-26,1065.66119483
1180,2012-07-30,1078.20884959
1179,2012-07-31,1069.87027144
1178,2012-08-01,1072.41918275
1177,2012-08-02,1059.64166326
1176,2012-08-05,1045.18190903
1175,2012-08-06,1043.7687912
1174,2012-08-07,1070.34188369
1173,2012-08-08,1071.29623668
1172,2012-08-09,1067.91314935
1171,2012-08-12,1062.35918406
1170,2012-08-13,1051.09426998
1169,2012-08-14,1058.31230546
1168,2012-08-15,1054.88374754
1167,2012-08-16,1063.59563213
1166,2012-08-19,1065.62071398
1165,2012-08-20,1064.61254381
1164,2012-08-21,1071.22802275
1163,2012-08-22,1067.29095461
1162,2012-08-23,1062.91665045
1161,2012-08-26,1058.05147587
1160,2012-08-27,1062.03975581
1159,2012-08-28,1050.6047442
1158,2012-08-29,1057.62236784
1157,2012-08-30,1059.96660946
1156,2012-09-02,1054.84258969
1155,2012-09-03,1061.12697001
1154,2012-09-04,1052.17957236
1153,2012-09-05,1047.83034329
1152,2012-09-06,1047.54042169
1151,2012-09-09,1073.17505731
1150,2012-09-10,1079.9367594
1149,2012-09-11,1078.64833223
1148,2012-09-12,1088.17003691
1147,2012-09-13,1085.91049504
1146,2012-09-19,1087.39624326
1145,2012-09-20,1082.01262102
1144,2012-09-23,1084.71558998
1143,2012-09-24,1102.74799886
1142,2012-09-27,1126.5485365
1141,2012-10-02,1158.84520664
1140,2012-10-03,1163.89067271
1139,2012-10-04,1153.02347188
1138,2012-10-09,1130.34650753
1137,2012-10-10,1131.77034402
1136,2012-10-11,1137.02219106
1135,2012-10-14,1131.78529853
1134,2012-10-15,1146.14196327
1133,2012-10-16,1155.7111197
1132,2012-10-17,1162.82978941
1131,2012-10-18,1169.9822657
1130,2012-10-21,1152.65273475
