,date,value
1221,2012-05-31,1077.36609433
1220,2012-06-03,1051.96018261
1219,2012-06-04,1056.8625729
1218,2012-06-05,1053.72505099
1217,2012-06-06,1068.25056193
1216,2012-06-07,1083.53238832
1215,2012-06-10,1081.91484488
1214,2012-06-11,1074.27819045
1213,2012-06-12,1069.66684597
1212,2012-06-13,1053.58586322
1211,2012-06-14,1045.54660758
1210,2012-06-17,1050.12988937
1209,2012-06-18,1050.33593865
1208,2012-06-19,1057.52411515
1207,2012-06-20,1054.18821935
1206,2012-06-21,1048.64214825
1205,2012-06-24,1078.30873439
1204,2012-06-25,1059.32901366
1203,2012-06-26,1051.79311805
1202,2012-06-27,1053.97240864
1201,2012-06-28,1040.22636911
1200,2012-07-01,1056.66184959
1199,2012-07-02,1057.07866413
1198,2012-07-03,1057.06013414
1197,2012-07-04,1057.42145037
1196,2012-07-05,1057.06512638
1195,2012-07-08,1054.33746163
1194,2012-07-09,1055.90699942
1193,2012-07-10,1054.66676303
1192,2012-07-11,1051.97952169
1191,2012-07-12,1049.05737148
1190,2012-07-15,1049.69126863
1189,2012-07-16,1050.04773731
1188,2012-07-17,1063.09984811
1187,2012-07-18,1067.96492485
1186,2012-07-19,1061.03760696
1185,2012-07-22,1056.4760551
1184,2012-07-23,1044.05697224
1183,2012-07-24,1047.63757805
1182,2012-07-25,1056.36538324
1181,2012-07-26,1056.94322001
1180,2012-07-30,1068.3557939
1179,2012-07-31,1060.90842503
1178,2012-08-01,1063.04214705
1177,2012-08-02,1052.5680101
1176,2012-08-05,1039.14156746
1175,2012-08-06,1039.1877371
1174,2012-08-07,1063.87570496
1173,2012-08-08,1064.40059502
1172,2012-08-09,1061.10935077
1171,2012-08-12,1055.90854501
1170,2012-08-13,1045.62504184
1169,2012-08-14,1051.97415994
1168,2012-08-15,1049.11392487
1167,2012-08-16,1056.00058672
1166,2012-08-19,1057.00789529
1165,2012-08-20,1056.96099461
1164,2012-08-21,1061.81837005
1163,2012-08-22,1058.47685283
1162,2012-08-23,1053.77298095
1161,2012-08-26,1048.64326532
1160,2012-08-27,1052.60656829
1159,2012-08-28,1042.46269084
1158,2012-08-29,1048.68633706
1157,2012-08-30,1049.87297524
1156,2012-09-02,1045.86395893
1155,2012-09-03,1051.55554871
1154,2012-09-04,1042.59038265
1153,2012-09-05,1038.45432032
1152,2012-09-06,1037.89126556
1151,2012-09-09,1060.14263598
1150,2012-09-10,1065.66879352
1149,2012-09-11,1064.76304298
1148,2012-09-12,1073.37065949
1147,2012-09-13,1072.77745375
1146,2012-09-19,1075.14281623
1145,2012-09-20,1070.80535148
1144,2012-09-23,1073.58544106
1143,2012-09-24,1087.77704941
1142,2012-09-27,1109.42549053
1141,2012-10-02,1136.83862656
1140,2012-10-03,1140.27930802
1139,2012-10-04,1128.76913804
1138,2012-10-09,1107.93415172
1137,2012-10-10,1107.65019583
1136,2012-10-11,1110.75575099
1135,2012-10-14,1104.65179391
1134,2012-10-15,1116.60691706
1133,2012-10-16,1126.30659356
1132,2012-10-17,1133.65564157
1131,2012-10-18,1138.26886076
1130,2012-10-21,1121.36351604
1129,2012-10-22,1129.89534372
1128,2012-10-23,1116.11400652
1127,2012-10-24,1126.15170143
1126,2012-10-25,1137.68856292
1125,2012-10-28,1134.56500587
1124,2012-10-29,1124.43988252
1123,2012-10-30,1137.59241435
1122,2012-10-31,1144.91205465
1121,2012-11-01,1151.84408729
1120,2012-11-04,1152.67579299
1119,2012-11-05,1159.35422225
1118,2012-11-06,1156.4329635
1117,2012-11-07,1146.94854466
1116,2012-11-08,1144.06461122
1115,2012-11-11,1140.32518341
1114,2012-11-12,1133.73100758
1113,2012-11-13,1129.38603341
1112,2012-11-14,1125.36461976
1111,2012-11-15,1113.48034973
1110,2012-11-18,1117.23897969
1109,2012-11-19,1125.6491569
1108,2012-11-20,1125.29398402
1107,2012-11-21,1131.44604027
1106,2012-11-22,1132.31585924
1105,2012-11-25,1145.16024718
1104,2012-11-26,1153.14264055
1103,2012-11-27,1163.84472452
1102,2012-11-28,1168.12639541
1101,2012-11-29,1167.62436546
1100,2012-12-02,1168.22433565
1099,2012-12-03,1168.79284887
1098,2012-12-04,1171.00286618
1097,2012-12-05,1182.43747613
1096,2012-12-06,1182.04934281
1095,2012-12-09,1191.79243577
1094,2012-12-10,1189.44162711
1093,2012-12-11,1197.32233383
1092,2012-12-12,1183.64530498
1091,2012-12-13,1161.47307935
1090,2012-12-16,1145.29189033
1089,2012-12-17,1140.48032531
1088,2012-12-18,1151.67661334
1087,2012-12-19,1163.34854203
1086,2012-12-20,1157.06350276
1085,2012-12-23,1147.1581486
1084,2012-12-24,1137.98690294
1083,2012-12-25,1131.78136652
1082,2012-12-26,1134.08932817
1081,2012-12-27,1133.19218421
1080,2012-12-30,1134.92956869
1079,2012-12-31,1133.63267603
1078,2013-01-01,1158.60928153
1077,2013-01-02,1161.21136535
1076,2013-01-03,1152.04340697
1075,2013-01-06,1162.92267744
1074,2013-01-07,1157.88432924
1073,2013-01-08,1158.0224596
1072,2013-01-09,1167.87409312
1071,2013-01-10,1177.15776364
1070,2013-01-13,1174.41570003
1069,2013-01-14,1170.56570211
1068,2013-01-15,1164.28902563
1067,2013-01-16,1162.08830413
1066,2013-01-17,1163.89599422
1065,2013-01-20,1153.02191418
1064,2013-01-21,1160.30014177
1063,2013-01-23,1170.77642681
1062,2013-01-24,1171.00897871
1061,2013-01-27,1163.00386186
1060,2013-01-28,1166.80997394
1059,2013-01-29,1159.8539319
1058,2013-01-30,1151.50463011
1057,2013-01-31,1147.29718451
1056,2013-02-03,1154.98085089
1055,2013-02-04,1154.9427909
1054,2013-02-05,1165.87733148
1053,2013-02-06,1171.12445652
1052,2013-02-07,1173.14750952
1051,2013-02-10,1180.65416353
1050,2013-02-11,1185.05874667
1049,2013-02-12,1189.52571409
1048,2013-02-13,1190.79487513
1047,2013-02-14,1185.58277437
1046,2013-02-17,1185.88681908
1045,2013-02-18,1179.11546553
1044,2013-02-19,1184.68926005
1043,2013-02-20,1195.00503172
1042,2013-02-21,1179.3183504
1041,2013-02-25,1179.77057742
1040,2013-02-26,1172.6655031
1039,2013-02-27,1172.78113956
1038,2013-02-28,1178.90858478
1037,2013-03-03,1172.2914018
1036,2013-03-04,1175.46011199
1035,2013-03-05,1186.21441962
1034,2013-03-06,1192.06936883
1033,2013-03-07,1195.35120075
1032,2013-03-10,1197.88978175
1031,2013-03-11,1196.70275549
1030,2013-03-12,1198.01872223
1029,2013-03-13,1198.94637813
1028,2013-03-14,1208.11090555
1027,2013-03-17,1204.75984088
1026,2013-03-18,1206.51574489
1025,2013-03-19,1211.66166759
1024,2013-03-20,1208.20002179
1023,2013-03-21,1203.40411911
1022,2013-03-24,1209.0983391
1021,2013-03-27,1206.84164232
1020,2013-03-28,1194.06179066
1019,2013-04-02,1194.53255595
1018,2013-04-03,1195.09571988
1017,2013-04-04,1186.42699433
1016,2013-04-07,1180.34702191
1015,2013-04-08,1184.07653549
1014,2013-04-09,1179.19933109
1013,2013-04-10,1178.26011537
1012,2013-04-11,1175.21679304
1011,2013-04-14,1172.12514978
1010,2013-04-17,1161.65816746
1009,2013-04-18,1148.09808431
1008,2013-04-21,1141.31615581
1007,2013-04-22,1145.09625575
1006,2013-04-23,1153.63140596
1005,2013-04-24,1156.77939907
1004,2013-04-25,1154.20896312
1003,2013-04-28,1144.8059847
1002,2013-04-29,1149.41022507
1001,2013-04-30,1159.85784621
1000,2013-05-01,1153.39588861
999,2013-05-02,1155.95234013
998,2013-05-05,1158.62055538
997,2013-05-06,1164.67283169
996,2013-05-07,1168.75407126
995,2013-05-08,1170.46952812
994,2013-05-09,1158.22304024
993,2013-05-12,1144.65194781
992,2013-05-13,1153.99379592
991,2013-05-16,1167.65349737
990,2013-05-19,1177.11902024
989,2013-05-20,1188.34129254
988,2013-05-21,1188.07431048
987,2013-05-22,1189.60603603
986,2013-05-23,1170.23611216
985,2013-05-26,1177.14831321
984,2013-05-27,1176.43881737
983,2013-05-28,1196.14109876
982,2013-05-29,1184.59340986
981,2013-05-30,1181.25572425
980,2013-06-02,1182.06182844
979,2013-06-03,1188.96500494
978,2013-06-04,1193.09820858
977,2013-06-05,1186.80304062
976,2013-06-06,1182.97559544
975,2013-06-09,1190.50819825
974,2013-06-10,1196.3139853
973,2013-06-11,1190.05527752
972,2013-06-12,1185.97127974
971,2013-06-13,1175.95306827
970,2013-06-16,1178.77883928
969,2013-06-17,1180.6412514
968,2013-06-18,1182.10405395
967,2013-06-19,1177.97200385
966,2013-06-20,1165.09615582
965,2013-06-23,1159.14899931
964,2013-06-24,1141.08687197
963,2013-06-25,1137.80033376
962,2013-06-26,1140.08636529
961,2013-06-27,1139.86108868
960,2013-06-30,1145.33237818
959,2013-07-01,1147.39230666
958,2013-07-02,1150.77769278
957,2013-07-03,1142.1128274
956,2013-07-04,1147.45985492
955,2013-07-07,1152.4339335
954,2013-07-08,1155.52358894
953,2013-07-09,1154.54222458
952,2013-07-10,1153.54799471
951,2013-07-11,1154.88844234
950,2013-07-14,1161.28829457
949,2013-07-15,1164.94469028
948,2013-07-17,1167.22849943
947,2013-07-18,1171.35727896
946,2013-07-21,1168.76138657
945,2013-07-22,1172.47041212
944,2013-07-23,1176.9217043
943,2013-07-24,1184.09531055
942,2013-07-25,1178.4521728
941,2013-07-28,1174.96692848
940,2013-07-29,1176.86308495
939,2013-07-30,1151.36958776
938,2013-07-31,1153.62358168
937,2013-08-01,1151.86478047
936,2013-08-04,1148.08696396
935,2013-08-05,1143.70462991
934,2013-08-06,1140.79590959
933,2013-08-07,1144.77135681
932,2013-08-08,1149.39082041
931,2013-08-11,1160.43169331
930,2013-08-12,1159.94151047
929,2013-08-13,1164.70810706
928,2013-08-14,1164.73554231
927,2013-08-15,1157.35028006
926,2013-08-18,1159.9826393
925,2013-08-19,1163.19599433
924,2013-08-20,1157.71607006
923,2013-08-21,1147.99543015
922,2013-08-22,1145.66148792
921,2013-08-25,1144.66060114
920,2013-08-26,1139.22667547
919,2013-08-27,1119.10482742
918,2013-08-28,1126.00241878
917,2013-08-29,1132.72330352
916,2013-09-01,1145.45031638
915,2013-09-02,1152.88340315
914,2013-09-03,1151.21926359
913,2013-09-08,1137.07665927
912,2013-09-09,1147.48109423
911,2013-09-10,1157.26688421
910,2013-09-11,1159.95431851
909,2013-09-12,1157.86989139
908,2013-09-15,1175.93235909
907,2013-09-16,1177.0729474
906,2013-09-17,1179.95797081
905,2013-09-22,1183.26995066
904,2013-09-23,1190.86452068
903,2013-09-24,1193.1804734
902,2013-09-29,1206.5752558
901,2013-09-30,1197.14598093
900,2013-10-01,1204.74446188
899,2013-10-02,1205.74812938
898,2013-10-03,1206.70255441
897,2013-10-06,1221.30042291
896,2013-10-07,1222.90259445
895,2013-10-08,1226.53568328
894,2013-10-09,1232.27666228
893,2013-10-10,1244.96719632
892,2013-10-13,1244.30606447
891,2013-10-14,1252.07797507
890,2013-10-15,1251.72022188
889,2013-10-16,1254.82474889
888,2013-10-17,1251.13644426
887,2013-10-20,1254.93341198
886,2013-10-21,1258.19720405
885,2013-10-22,1258.19449814
884,2013-10-23,1246.29078433
883,2013-10-24,1245.01691409
882,2013-10-27,1257.26707427
881,2013-10-28,1248.35867099
880,2013-10-29,1249.95233466
879,2013-10-30,1227.87912032
878,2013-10-31,1222.02619017
877,2013-11-03,1222.15215435
876,2013-11-04,1228.67858728
875,2013-11-05,1228.03656713
874,2013-11-06,1228.5088326
873,2013-11-07,1238.96178854
872,2013-11-10,1239.0342636
871,2013-11-11,1239.58386842
870,2013-11-12,1237.6754475
869,2013-11-13,1238.84396595
868,2013-11-14,1246.64355478
867,2013-11-17,1252.43563086
866,2013-11-18,1256.36316437
865,2013-11-19,1260.41291854
864,2013-11-20,1278.32306918
863,2013-11-21,1279.04149104
862,2013-11-24,1287.32569786
861,2013-11-25,1286.49310387
860,2013-11-26,1281.81003446
859,2013-11-27,1285.98088667
858,2013-11-28,1288.09516126
857,2013-12-01,1305.89431666
856,2013-12-02,1300.38150882
855,2013-12-03,1293.18890146
854,2013-12-04,1287.27319585
853,2013-12-05,1285.85776077
852,2013-12-08,1288.83820994
851,2013-12-09,1283.63299237
850,2013-12-10,1284.24488345
849,2013-12-11,1276.62098156
848,2013-12-12,1259.50046921
847,2013-12-15,1248.91919807
846,2013-12-16,1262.67067092
845,2013-12-17,1256.14559789
844,2013-12-18,1260.6650238
843,2013-12-19,1259.53946078
842,2013-12-22,1272.40247464
841,2013-12-23,1278.75895238
840,2013-12-24,1272.28895472
839,2013-12-25,1276.82956177
838,2013-12-26,1275.05026814
837,2013-12-29,1265.27067623
836,2013-12-30,1267.35798021
835,2013-12-31,1276.02286023
834,2014-01-01,1287.70148197
833,2014-01-02,1279.83435626
832,2014-01-05,1278.12827089
831,2014-01-06,1278.91603834
830,2014-01-07,1287.3497534
829,2014-01-08,1290.59234839
828,2014-01-09,1288.89785344
827,2014-01-12,1290.94159944
826,2014-01-13,1299.55220463
825,2014-01-14,1297.05776062
824,2014-01-15,1328.8127198
823,2014-01-16,1327.39954257
822,2014-01-19,1324.39793084
821,2014-01-20,1315.32429125
820,2014-01-21,1324.82209009
819,2014-01-22,1321.15892865
818,2014-01-23,1308.0517598
817,2014-01-26,1284.51623297
816,2014-01-27,1290.91660271
815,2014-01-28,1300.00836683
814,2014-01-29,1297.2642004
813,2014-01-30,1293.56335063
812,2014-02-02,1297.03662081
811,2014-02-03,1295.54033902
810,2014-02-04,1299.32494408
809,2014-02-05,1299.48164603
808,2014-02-06,1308.32430322
807,2014-02-09,1303.79288332
806,2014-02-10,1296.12388441
805,2014-02-11,1294.03462693
804,2014-02-12,1298.17016534
803,2014-02-13,1298.60678028
802,2014-02-16,1304.96000301
801,2014-02-17,1311.6758181
800,2014-02-18,1319.44873293
799,2014-02-19,1327.19559656
798,2014-02-20,1337.02467977
797,2014-02-23,1338.25582002
796,2014-02-24,1349.96234451
795,2014-02-25,1356.17002159
794,2014-02-26,1366.66058454
793,2014-02-27,1363.82576483
792,2014-03-02,1365.78660496
791,2014-03-03,1359.49761545
790,2014-03-04,1369.56836869
789,2014-03-05,1373.93678021
