,date,value
1221,2012-05-31,1007.10722402
1220,2012-06-03,1014.26496067
1219,2012-06-04,1021.47356896
1218,2012-06-05,1028.73341045
1217,2012-06-06,1036.04484925
1216,2012-06-07,1043.40825209
1215,2012-06-10,1050.82398828
1214,2012-06-11,1058.29242977
1213,2012-06-12,1065.81395115
1212,2012-06-13,1073.38892966
1211,2012-06-14,1081.01774525
1210,2012-06-17,1088.70078053
1209,2012-06-18,1096.43842087
1208,2012-06-19,1104.23105435
1207,2012-06-20,1112.07907182
1206,2012-06-21,1119.98286691
1205,2012-06-24,1127.94283605
1204,2012-06-25,1135.95937846
1203,2012-06-26,1144.03289624
1202,2012-06-27,1152.16379432
1201,2012-06-28,1160.35248052
1200,2012-07-01,1168.59936554
1199,2012-07-02,1176.90486302
1198,2012-07-03,1185.26938953
1197,2012-07-04,1193.6933646
1196,2012-07-05,1202.17721076
1195,2012-07-08,1205.53932854
1194,2012-07-09,1208.91084913
1193,2012-07-10,1212.29179882
1192,2012-07-11,1215.68220398
1191,2012-07-12,1219.08209105
1190,2012-07-15,1222.49148655
1189,2012-07-16,1225.91041708
1188,2012-07-17,1229.3389093
1187,2012-07-18,1232.77698996
1186,2012-07-19,1236.22468586
1185,2012-07-22,1239.6820239
1184,2012-07-23,1243.14903104
1183,2012-07-24,1246.62573434
1182,2012-07-25,1250.11216089
1181,2012-07-26,1253.6083379
1180,2012-07-30,1257.11429264
1179,2012-07-31,1260.63005245
1178,2012-08-01,1264.15564475
1177,2012-08-02,1267.69109704
1176,2012-08-05,1271.2364369
1175,2012-08-06,1274.79169198
1174,2012-08-07,1278.35689001
1173,2012-08-08,1281.93205879
1172,2012-08-09,1285.51722621
1171,2012-08-12,1289.11242024
1170,2012-08-13,1292.71766891
1169,2012-08-14,1296.33300035
1168,2012-08-15,1299.95844275
1167,2012-08-16,1303.5940244
1166,2012-08-19,1307.23977364
1165,2012-08-20,1310.89571891
1164,2012-08-21,1314.56188873
1163,2012-08-22,1318.2383117
1162,2012-08-23,1321.92501648
1161,2012-08-26,1325.62203183
1160,2012-08-27,1329.3293866
1159,2012-08-28,1333.04710968
1158,2012-08-29,1336.77523009
1157,2012-08-30,1340.5137769
1156,2012-09-02,1336.59130848
1155,2012-09-03,1332.68031757
1154,2012-09-04,1328.78077059
1153,2012-09-05,1324.89263404
1152,2012-09-06,1321.01587454
1151,2012-09-09,1317.15045881
1150,2012-09-10,1313.29635364
1149,2012-09-11,1309.45352594
1148,2012-09-12,1305.62194271
1147,2012-09-13,1301.80157106
1146,2012-09-19,1297.99237817
1145,2012-09-20,1294.19433133
1144,2012-09-23,1290.40739793
1143,2012-09-24,1286.63154545
1142,2012-09-27,1282.86674147
1141,2012-10-02,1279.11295366
1140,2012-10-03,1275.37014978
1139,2012-10-04,1271.63829769
1138,2012-10-09,1267.91736536
1137,2012-10-10,1264.20732081
1136,2012-10-11,1260.50813221
1135,2012-10-14,1256.81976777
1134,2012-10-15,1253.14219583
1133,2012-10-16,1249.47538482
1132,2012-10-17,1245.81930323
1131,2012-10-18,1242.17391968
1130,2012-10-21,1238.53920286
1129,2012-10-22,1234.91512156
1128,2012-10-23,1231.30164466
1127,2012-10-24,1227.69874114
1126,2012-10-25,1224.10638004
1125,2012-10-28,1220.52453053
1124,2012-10-29,1216.95316184
1123,2012-10-30,1213.39224332
1122,2012-10-31,1209.84174437
1121,2012-11-01,1213.25327475
1120,2012-11-04,1216.67442502
1119,2012-11-05,1220.1052223
1118,2012-11-06,1223.54569379
1117,2012-11-07,1226.99586678
1116,2012-11-08,1230.45576862
1115,2012-11-11,1233.92542675
1114,2012-11-12,1237.40486867
1113,2012-11-13,1240.89412197
1112,2012-11-14,1244.39321433
1111,2012-11-15,1247.90217348
1110,2012-11-18,1251.42102724
1109,2012-11-19,1254.94980353
1108,2012-11-20,1258.48853031
1107,2012-11-21,1262.03723565
1106,2012-11-22,1265.59594768
1105,2012-11-25,1269.16469462
1104,2012-11-26,1272.74350477
1103,2012-11-27,1276.33240651
1102,2012-11-28,1279.93142828
1101,2012-11-29,1283.54059863
1100,2012-12-02,1287.15994618
1099,2012-12-03,1290.78949962
1098,2012-12-04,1294.42928773
1097,2012-12-05,1298.07933937
1096,2012-12-06,1301.73968348
1095,2012-12-09,1309.13044819
1094,2012-12-10,1316.56317475
1093,2012-12-11,1324.03810141
1092,2012-12-12,1331.55546775
1091,2012-12-13,1339.11551473
1090,2012-12-16,1346.71848468
1089,2012-12-17,1354.3646213
1088,2012-12-18,1362.05416966
1087,2012-12-19,1369.78737625
1086,2012-12-20,1377.56448893
1085,2012-12-23,1385.385757
1084,2012-12-24,1393.25143114
1083,2012-12-25,1401.16176348
1082,2012-12-26,1409.11700757
1081,2012-12-27,1417.1174184
1080,2012-12-30,1425.16325241
1079,2012-12-31,1433.25476748
1078,2013-01-01,1441.392223
1077,2013-01-02,1449.57587977
1076,2013-01-03,1457.80600013
1075,2013-01-06,1466.08284786
1074,2013-01-07,1474.40668827
1073,2013-01-08,1482.77778816
1072,2013-01-09,1491.19641586
1071,2013-01-10,1499.66284121
1070,2013-01-13,1508.17733558
1069,2013-01-14,1516.7401719
1068,2013-01-15,1525.35162462
1067,2013-01-16,1534.01196978
1066,2013-01-17,1542.72148497
1065,2013-01-20,1551.48044934
1064,2013-01-21,1560.28914367
1063,2013-01-23,1569.14785028
1062,2013-01-24,1578.05685314
1061,2013-01-27,1587.01643781
1060,2013-01-28,1596.02689147
1059,2013-01-29,1605.08850293
1058,2013-01-30,1614.20156264
1057,2013-01-31,1623.36636272
1056,2013-02-03,1642.56783177
1055,2013-02-04,1661.99641926
1054,2013-02-05,1681.65481156
1053,2013-02-06,1701.54572686
1052,2013-02-07,1721.67191548
1051,2013-02-10,1742.03616028
1050,2013-02-11,1762.64127703
1049,2013-02-12,1783.4901148
1048,2013-02-13,1804.58555636
1047,2013-02-14,1825.93051861
1046,2013-02-17,1847.5279529
1045,2013-02-18,1869.38084552
1044,2013-02-19,1891.49221809
1043,2013-02-20,1913.86512794
1042,2013-02-21,1936.50266859
1041,2013-02-25,1959.40797014
1040,2013-02-26,1982.58419972
1039,2013-02-27,2006.0345619
1038,2013-02-28,2029.76229918
1037,2013-03-03,2053.7706924
1036,2013-03-04,2078.06306121
1035,2013-03-05,2102.64276452
1034,2013-03-06,2127.51320098
1033,2013-03-07,2152.67780943
1032,2013-03-10,2178.1400694
1031,2013-03-11,2203.90350155
1030,2013-03-12,2229.9716682
1029,2013-03-13,2256.34817381
1028,2013-03-14,2283.03666548
1027,2013-03-17,2310.04083341
1026,2013-03-18,2337.3644115
1025,2013-03-19,2365.01117778
1024,2013-03-20,2392.98495498
1023,2013-03-21,2421.28961104
1022,2013-03-24,2449.92905967
1021,2013-03-27,2478.90726083
1020,2013-03-28,2508.22822137
1019,2013-04-02,2529.67137001
1018,2013-04-03,2551.29783874
1017,2013-04-04,2573.10919479
1016,2013-04-07,2595.10701878
1015,2013-04-08,2617.29290485
1014,2013-04-09,2639.66846076
1013,2013-04-10,2662.23530802
1012,2013-04-11,2684.99508201
1011,2013-04-14,2707.94943208
1010,2013-04-17,2731.10002168
1009,2013-04-18,2754.4485285
1008,2013-04-21,2777.99664454
1007,2013-04-22,2801.7460763
1006,2013-04-23,2825.69854485
1005,2013-04-24,2849.85578596
1004,2013-04-25,2874.21955028
1003,2013-04-28,2898.79160338
1002,2013-04-29,2923.57372596
1001,2013-04-30,2948.56771392
1000,2013-05-01,2973.77537853
999,2013-05-02,2999.19854654
998,2013-05-05,3024.8390603
997,2013-05-06,3050.69877795
996,2013-05-07,3076.77957347
995,2013-05-08,3103.08333689
994,2013-05-09,3129.61197438
993,2013-05-12,3156.36740843
992,2013-05-13,3183.35157795
991,2013-05-16,3210.56643842
990,2013-05-19,3238.01396204
989,2013-05-20,3265.69613789
988,2013-05-21,3293.61497204
987,2013-05-22,3321.77248769
986,2013-05-23,3350.17072538
985,2013-05-26,3378.81174307
984,2013-05-27,3407.6976163
983,2013-05-28,3436.83043838
982,2013-05-29,3466.21232051
981,2013-05-30,3495.84539193
980,2013-06-02,3506.42156365
979,2013-06-03,3517.02973205
978,2013-06-04,3527.66999392
977,2013-06-05,3538.34244635
976,2013-06-06,3549.04718673
975,2013-06-09,3559.78431275
974,2013-06-10,3570.55392238
973,2013-06-11,3581.3561139
972,2013-06-12,3592.19098587
971,2013-06-13,3603.05863718
970,2013-06-16,3613.95916698
969,2013-06-17,3624.89267476
968,2013-06-18,3635.85926027
967,2013-06-19,3646.85902358
966,2013-06-20,3657.89206509
965,2013-06-23,3668.95848545
964,2013-06-24,3680.05838566
963,2013-06-25,3691.191867
962,2013-06-26,3702.35903108
961,2013-06-27,3713.55997978
960,2013-06-30,3724.79481532
959,2013-07-01,3736.06364022
958,2013-07-02,3747.36655732
957,2013-07-03,3758.70366974
956,2013-07-04,3770.07508096
955,2013-07-07,3781.48089472
954,2013-07-08,3794.59638926
953,2013-07-09,3807.75737291
952,2013-07-10,3820.96400345
951,2013-07-11,3834.21643918
950,2013-07-14,3847.51483899
949,2013-07-15,3860.85936228
948,2013-07-17,3874.25016903
947,2013-07-18,3887.68741977
946,2013-07-21,3901.17127559
945,2013-07-22,3914.70189811
944,2013-07-23,3928.27944956
943,2013-07-24,3941.90409269
942,2013-07-25,3955.57599083
941,2013-07-28,3969.29530789
940,2013-07-29,3983.06220832
939,2013-07-30,3996.87685716
938,2013-07-31,4010.73942002
937,2013-08-01,4024.65006308
936,2013-08-04,4038.60895311
935,2013-08-05,4052.61625743
934,2013-08-06,4066.67214398
933,2013-08-07,4080.77678123
932,2013-08-08,4094.93033829
931,2013-08-11,4109.13298482
930,2013-08-12,4123.38489109
929,2013-08-13,4137.68622793
928,2013-08-14,4152.0371668
927,2013-08-15,4166.43787972
926,2013-08-18,4180.88853935
925,2013-08-19,4195.3893189
924,2013-08-20,4209.94039221
923,2013-08-21,4224.54193372
922,2013-08-22,4239.19411846
921,2013-08-25,4253.8971221
920,2013-08-26,4268.65112087
