,date,value
1221,2012-05-31,
1220,2012-06-03,
1219,2012-06-04,
1218,2012-06-05,
1217,2012-06-06,
1216,2012-06-07,
1215,2012-06-10,
1214,2012-06-11,
1213,2012-06-12,
1212,2012-06-13,
1211,2012-06-14,
1210,2012-06-17,
1209,2012-06-18,
1208,2012-06-19,
1207,2012-06-20,
1206,2012-06-21,
1205,2012-06-24,
1204,2012-06-25,
1203,2012-06-26,
1202,2012-06-27,
1201,2012-06-28,
1200,2012-07-01,
1199,2012-07-02,
1198,2012-07-03,
1197,2012-07-04,
1196,2012-07-05,
1195,2012-07-08,
1194,2012-07-09,
1193,2012-07-10,
1192,2012-07-11,
1191,2012-07-12,
1190,2012-07-15,
1189,2012-07-16,
1188,2012-07-17,
1187,2012-07-18,
1186,2012-07-19,
1185,2012-07-22,
1184,2012-07-23,
1183,2012-07-24,
1182,2012-07-25,
1181,2012-07-26,
1180,2012-07-30,
1179,2012-07-31,
1178,2012-08-01,
1177,2012-08-02,
1176,2012-08-05,
1175,2012-08-06,
1174,2012-08-07,
1173,2012-08-08,
1172,2012-08-09,
1171,2012-08-12,
1170,2012-08-13,
1169,2012-08-14,
1168,2012-08-15,
1167,2012-08-16,
1166,2012-08-19,
1165,2012-08-20,
1164,2012-08-21,
1163,2012-08-22,
1162,2012-08-23,
1161,2012-08-26,
1160,2012-08-27,
1159,2012-08-28,
1158,2012-08-29,
1157,2012-08-30,
1156,2012-09-02,
1155,2012-09-03,
1154,2012-09-04,
1153,2012-09-05,
1152,2012-09-06,
1151,2012-09-09,
1150,2012-09-10,
1149,2012-09-11,
1148,2012-09-12,
1147,2012-09-13,
1146,2012-09-19,
1145,2012-09-20,
1144,2012-09-23,
1143,2012-09-24,
1142,2012-09-27,
1141,2012-10-02,
1140,2012-10-03,
1139,2012-10-04,
1138,2012-10-09,
1137,2012-10-10,
1136,2012-10-11,
1135,2012-10-14,
1134,2012-10-15,
1133,2012-10-16,
1132,2012-10-17,
1131,2012-10-18,
1130,2012-10-21,
1129,2012-10-22,
1128,2012-10-23,
1127,2012-10-24,
1126,2012-10-25,
1125,2012-10-28,
1124,2012-10-29,
1123,2012-10-30,
1122,2012-10-31,
1121,2012-11-01,
1120,2012-11-04,
1119,2012-11-05,
1118,2012-11-06,
1117,2012-11-07,
1116,2012-11-08,
1115,2012-11-11,
1114,2012-11-12,
1113,2012-11-13,
1112,2012-11-14,
1111,2012-11-15,
1110,2012-11-18,
1109,2012-11-19,
1108,2012-11-20,
1107,2012-11-21,
1106,2012-11-22,
1105,2012-11-25,
1104,2012-11-26,
1103,2012-11-27,
1102,2012-11-28,
1101,2012-11-29,
1100,2012-12-02,
1099,2012-12-03,
1098,2012-12-04,
1097,2012-12-05,
1096,2012-12-06,
1095,2012-12-09,
1094,2012-12-10,
1093,2012-12-11,
1092,2012-12-12,
1091,2012-12-13,
1090,2012-12-16,
1089,2012-12-17,
1088,2012-12-18,
1087,2012-12-19,
1086,2012-12-20,
1085,2012-12-23,
1084,2012-12-24,
1083,2012-12-25,
1082,2012-12-26,
1081,2012-12-27,
1080,2012-12-30,
1079,2012-12-31,
1078,2013-01-01,
1077,2013-01-02,
1076,2013-01-03,
1075,2013-01-06,
1074,2013-01-07,
1073,2013-01-08,
1072,2013-01-09,
1071,2013-01-10,
1070,2013-01-13,
1069,2013-01-14,
1068,2013-01-15,
1067,2013-01-16,
1066,2013-01-17,
1065,2013-01-20,
1064,2013-01-21,
1063,2013-01-23,
1062,2013-01-24,
1061,2013-01-27,
1060,2013-01-28,
1059,2013-01-29,
1058,2013-01-30,
1057,2013-01-31,
1056,2013-02-03,
1055,2013-02-04,
1054,2013-02-05,
1053,2013-02-06,
1052,2013-02-07,
1051,2013-02-10,
1050,2013-02-11,
1049,2013-02-12,
1048,2013-02-13,
1047,2013-02-14,
1046,2013-02-17,
1045,2013-02-18,
1044,2013-02-19,
1043,2013-02-20,
1042,2013-02-21,
1041,2013-02-25,
1040,2013-02-26,
