,date,value
1221,2012-05-31,1063.19408971
1220,2012-06-03,1038.20819894
1219,2012-06-04,1049.41216061
1218,2012-06-05,1053.34131683
1217,2012-06-06,1067.6825021
1216,2012-06-07,1086.98850902
1215,2012-06-10,1092.04594303
1214,2012-06-11,1073.18452039
1213,2012-06-12,1068.40088177
1212,2012-06-13,1047.87555896
1211,2012-06-14,1039.17273963
1210,2012-06-17,1053.58395733
1209,2012-06-18,1054.19696871
1208,2012-06-19,1056.8596898
1207,2012-06-20,1049.34220284
1206,2012-06-21,1042.81120951
1205,2012-06-24,1039.56571843
1204,2012-06-25,1026.26059858
1203,2012-06-26,1019.85074188
1202,2012-06-27,1022.99734715
1201,2012-06-28,1010.43899517
1200,2012-07-01,1035.40822985
1199,2012-07-02,1029.78826481
1198,2012-07-03,1027.76501329
1197,2012-07-04,1023.22031791
1196,2012-07-05,1022.75605517
1195,2012-07-08,1020.36137758
1194,2012-07-09,1016.22814873
1193,2012-07-10,1020.62990324
1192,2012-07-11,1017.606011
1191,2012-07-12,1014.34434445
1190,2012-07-15,1007.62994197
1189,2012-07-16,999.242207326
1188,2012-07-17,1002.9990569
1187,2012-07-18,999.164223139
1186,2012-07-19,988.69315521
1185,2012-07-22,983.247833153
1184,2012-07-23,968.549948697
1183,2012-07-24,970.91040913
1182,2012-07-25,981.552793267
1181,2012-07-26,986.844354847
1180,2012-07-30,991.366777412
1179,2012-07-31,991.284372445
1178,2012-08-01,1000.45770697
1177,2012-08-02,991.543406189
1176,2012-08-05,991.448197545
1175,2012-08-06,988.3369225
1174,2012-08-07,1000.2599337
1173,2012-08-08,1004.02442939
1172,2012-08-09,1000.50013642
1171,2012-08-12,984.943293572
1170,2012-08-13,961.145292228
1169,2012-08-14,971.23343125
1168,2012-08-15,967.22254469
1167,2012-08-16,981.250225808
1166,2012-08-19,990.017538643
1165,2012-08-20,987.432315814
1164,2012-08-21,994.035279545
1163,2012-08-22,990.388116669
1162,2012-08-23,987.769718306
1161,2012-08-26,984.886053641
1160,2012-08-27,985.313750528
1159,2012-08-28,975.011964956
1158,2012-08-29,989.392057613
1157,2012-08-30,998.313788981
1156,2012-09-02,993.487807152
1155,2012-09-03,996.238343031
1154,2012-09-04,986.11778694
1153,2012-09-05,980.625684293
1152,2012-09-06,980.628888328
1151,2012-09-09,1012.3862842
1150,2012-09-10,1017.81940929
1149,2012-09-11,1021.99196046
1148,2012-09-12,1033.67750717
1147,2012-09-13,1036.80742918
1146,2012-09-19,1039.3048598
1145,2012-09-20,1039.06715683
1144,2012-09-23,1048.84098931
1143,2012-09-24,1074.31999216
1142,2012-09-27,1097.60921145
1141,2012-10-02,1136.65392458
1140,2012-10-03,1148.77957287
1139,2012-10-04,1138.7824642
1138,2012-10-09,1122.39967705
1137,2012-10-10,1126.47109407
1136,2012-10-11,1134.90696043
1135,2012-10-14,1134.31516531
1134,2012-10-15,1159.06480205
1133,2012-10-16,1171.35396996
1132,2012-10-17,1172.18978423
1131,2012-10-18,1170.27580953
1130,2012-10-21,1148.93578473
1129,2012-10-22,1163.89114291
1128,2012-10-23,1147.60210533
