,date,value
1221,2012-05-31,1061.34247137
1220,2012-06-03,1037.42308421
1219,2012-06-04,1045.38044836
1218,2012-06-05,1046.96520886
1217,2012-06-06,1062.40403021
1216,2012-06-07,1078.77028217
1215,2012-06-10,1082.60094986
1214,2012-06-11,1066.48870538
1213,2012-06-12,1062.8687755
1212,2012-06-13,1044.29278352
1211,2012-06-14,1037.20317704
1210,2012-06-17,1050.45657221
1209,2012-06-18,1052.42429047
1208,2012-06-19,1057.32746545
1207,2012-06-20,1050.4147959
1206,2012-06-21,1043.26713186
1205,2012-06-24,1039.02615226
1204,2012-06-25,1025.06313931
1203,2012-06-26,1020.20638473
1202,2012-06-27,1023.22717113
1201,2012-06-28,1010.98092977
1200,2012-07-01,1031.77057352
1199,2012-07-02,1026.6358133
1198,2012-07-03,1025.38341199
1197,2012-07-04,1021.91445566
1196,2012-07-05,1021.6798311
1195,2012-07-08,1019.0387751
1194,2012-07-09,1015.44108976
1193,2012-07-10,1019.35420269
1192,2012-07-11,1014.11176577
1191,2012-07-12,1010.82597683
1190,2012-07-15,1004.50323585
1189,2012-07-16,996.328870976
1188,2012-07-17,999.613441278
1187,2012-07-18,997.616803661
1186,2012-07-19,989.283932195
1185,2012-07-22,985.380285107
1184,2012-07-23,971.276780292
1183,2012-07-24,972.366004357
1182,2012-07-25,982.157386796
1181,2012-07-26,985.812118543
1180,2012-07-30,990.156975625
1179,2012-07-31,989.976666556
1178,2012-08-01,997.941506917
1177,2012-08-02,990.855549056
1176,2012-08-05,990.080345254
1175,2012-08-06,988.612954682
1174,2012-08-07,1000.38946193
1173,2012-08-08,1003.39196167
1172,2012-08-09,999.981128461
1171,2012-08-12,985.982450382
1170,2012-08-13,964.675339053
1169,2012-08-14,973.550189211
1168,2012-08-15,970.175171436
1167,2012-08-16,981.751332116
1166,2012-08-19,988.703326972
1165,2012-08-20,987.25612237
1164,2012-08-21,992.116825624
1163,2012-08-22,989.028594131
1162,2012-08-23,985.882628054
1161,2012-08-26,982.509258815
1160,2012-08-27,983.332502074
1159,2012-08-28,974.187069239
1158,2012-08-29,986.888972249
1157,2012-08-30,993.876834506
1156,2012-09-02,990.122653299
1155,2012-09-03,992.702060443
1154,2012-09-04,982.720748138
1153,2012-09-05,977.583548949
1152,2012-09-06,977.283024486
1151,2012-09-09,1004.92699155
1150,2012-09-10,1009.29030954
1149,2012-09-11,1013.18682794
1148,2012-09-12,1023.69522672
1147,2012-09-13,1027.82399857
1146,2012-09-19,1031.0639074
1145,2012-09-20,1031.2489006
1144,2012-09-23,1040.24537893
1143,2012-09-24,1061.0149306
1142,2012-09-27,1082.20294149
1141,2012-10-02,1115.56934631
1140,2012-10-03,1125.2554511
1139,2012-10-04,1114.53992037
1138,2012-10-09,1099.25688714
1137,2012-10-10,1101.32566086
1136,2012-10-11,1107.25570146
1135,2012-10-14,1105.26167249
1134,2012-10-15,1126.37270591
1133,2012-10-16,1138.44697269
1132,2012-10-17,1140.25097641
1131,2012-10-18,1136.91071959
1130,2012-10-21,1116.50076035
1129,2012-10-22,1129.93076211
1128,2012-10-23,1114.96912902
1127,2012-10-24,1125.48388162
1126,2012-10-25,1137.53864622
1125,2012-10-28,1133.56187009
1124,2012-10-29,1122.88099785
1123,2012-10-30,1135.29962235
1122,2012-10-31,1141.93608757
1121,2012-11-01,1148.84817296
1120,2012-11-04,1144.9109628
1119,2012-11-05,1148.74852109
1118,2012-11-06,1153.84512775
1117,2012-11-07,1141.56585388
1116,2012-11-08,1137.27085817
1115,2012-11-11,1135.32101318
1114,2012-11-12,1125.03642698
1113,2012-11-13,1122.01387619
1112,2012-11-14,1116.74555184
1111,2012-11-15,1108.43736897
1110,2012-11-18,1118.04158142
