,date,value
1221,2012-05-31,1.02596880442
1220,2012-06-03,1.05261198765
1219,2012-06-04,1.07994706249
1218,2012-06-05,1.10799199654
1217,2012-06-06,1.136765224
1216,2012-06-07,1.16628565778
1215,2012-06-10,1.19657270192
1214,2012-06-11,1.2276462644
1213,2012-06-12,1.25952677014
1212,2012-06-13,1.29223517449
1211,2012-06-14,1.32579297701
1210,2012-06-17,1.36022223553
1209,2012-06-18,1.39554558074
1208,2012-06-19,1.43178623099
1207,2012-06-20,1.46896800759
1206,2012-06-21,1.50711535049
1205,2012-06-24,1.54625333427
1204,2012-06-25,1.58640768469
1203,2012-06-26,1.62760479559
1202,2012-06-27,1.6698717462
1201,2012-06-28,1.71323631899
1200,2012-07-01,1.75772701789
1199,2012-07-02,1.80337308704
1198,2012-07-03,1.85020453004
1197,2012-07-04,1.89825212962
1196,2012-07-05,1.94754746792
1195,2012-07-08,1.94745456364
1194,2012-07-09,1.94736166379
1193,2012-07-10,1.94726876838
1192,2012-07-11,1.94717587739
1191,2012-07-12,1.94708299084
1190,2012-07-15,1.94699010871
1189,2012-07-16,1.94689723102
1188,2012-07-17,1.94680435776
1187,2012-07-18,1.94671148893
1186,2012-07-19,1.94661862453
1185,2012-07-22,1.94652576456
1184,2012-07-23,1.94643290901
1183,2012-07-24,1.9463400579
1182,2012-07-25,1.94624721122
1181,2012-07-26,1.94615436897
1180,2012-07-30,1.94606153114
1179,2012-07-31,1.94596869774
1178,2012-08-01,1.94587586878
1177,2012-08-02,1.94578304424
1176,2012-08-05,1.94569022413
1175,2012-08-06,1.94559740844
1174,2012-08-07,1.94550459719
1173,2012-08-08,1.94541179036
1172,2012-08-09,1.94531898796
1171,2012-08-12,1.94522618998
1170,2012-08-13,1.94513339643
1169,2012-08-14,1.94504060731
1168,2012-08-15,1.94494782262
1167,2012-08-16,1.94485504235
1166,2012-08-19,1.94476226651
1165,2012-08-20,1.94466949509
1164,2012-08-21,1.9445767281
1163,2012-08-22,1.94448396553
1162,2012-08-23,1.94439120739
1161,2012-08-26,1.94429845368
1160,2012-08-27,1.94420570438
1159,2012-08-28,1.94411295952
1158,2012-08-29,1.94402021907
1157,2012-08-30,1.94392748305
1156,2012-09-02,1.92394711023
1155,2012-09-03,1.90417210273
1154,2012-09-04,1.88460034974
1153,2012-09-05,1.86522976213
1152,2012-09-06,1.84605827226
1151,2012-09-09,1.82708383373
1150,2012-09-10,1.80830442118
1149,2012-09-11,1.78971803006
1148,2012-09-12,1.77132267642
1147,2012-09-13,1.75311639673
1146,2012-09-19,1.7350972476
1145,2012-09-20,1.71726330565
1144,2012-09-23,1.69961266724
1143,2012-09-24,1.68214344833
1142,2012-09-27,1.66485378422
1141,2012-10-02,1.64774182938
1140,2012-10-03,1.63080575725
1139,2012-10-04,1.61404376005
1138,2012-10-09,1.59745404857
1137,2012-10-10,1.581034852
1136,2012-10-11,1.56478441773
1135,2012-10-14,1.54870101116
1134,2012-10-15,1.53278291552
1133,2012-10-16,1.51702843168
1132,2012-10-17,1.50143587799
1131,2012-10-18,1.48600359007
1130,2012-10-21,1.47072992065
1129,2012-10-22,1.4556132394
1128,2012-10-23,1.44065193273
1127,2012-10-24,1.42584440366
1126,2012-10-25,1.41118907159
1125,2012-10-28,1.39668437221
1124,2012-10-29,1.38232875724
1123,2012-10-30,1.36812069435
1122,2012-10-31,1.35405866694
1121,2012-11-01,1.37570624767
1120,2012-11-04,1.39769991218
1119,2012-11-05,1.42004519338
1118,2012-11-06,1.44274771264
1117,2012-11-07,1.46581318117
1116,2012-11-08,1.48924740152
1115,2012-11-11,1.51305626899
1114,2012-11-12,1.53724577313
1113,2012-11-13,1.56182199924
1112,2012-11-14,1.58679112993
1111,2012-11-15,1.61215944662
1110,2012-11-18,1.63793333117
1109,2012-11-19,1.66411926748
1108,2012-11-20,1.69072384309
1107,2012-11-21,1.71775375085
1106,2012-11-22,1.74521579064
1105,2012-11-25,1.77311687103
1104,2012-11-26,1.80146401103
1103,2012-11-27,1.83026434188
1102,2012-11-28,1.85952510883
1101,2012-11-29,1.88925367296
1100,2012-12-02,1.91945751301
1099,2012-12-03,1.95014422731
1098,2012-12-04,1.98132153567
1097,2012-12-05,2.01299728128
1096,2012-12-06,2.04517943278
1095,2012-12-09,2.03585189206
1094,2012-12-10,2.02656689188
1093,2012-12-11,2.01732423821
1092,2012-12-12,2.00812373792
1091,2012-12-13,1.99896519876
1090,2012-12-16,1.98984842936
1089,2012-12-17,1.98077323922
1088,2012-12-18,1.97173943869
1087,2012-12-19,1.96274683903
1086,2012-12-20,1.95379525231
1085,2012-12-23,1.94488449149
1084,2012-12-24,1.93601437037
1083,2012-12-25,1.92718470361
1082,2012-12-26,1.9183953067
1081,2012-12-27,1.90964599599
1080,2012-12-30,1.90093658864
1079,2012-12-31,1.89226690268
1078,2013-01-01,1.88363675694
1077,2013-01-02,1.87504597108
1076,2013-01-03,1.86649436561
1075,2013-01-06,1.85798176182
1074,2013-01-07,1.84950798185
1073,2013-01-08,1.84107284862
1072,2013-01-09,1.83267618587
1071,2013-01-10,1.82431781816
1070,2013-01-13,1.81599757083
1069,2013-01-14,1.80771527002
1068,2013-01-15,1.79947074266
1067,2013-01-16,1.79126381649
1066,2013-01-17,1.78309432001
1065,2013-01-20,1.77496208252
1064,2013-01-21,1.76686693408
1063,2013-01-23,1.75880870555
1062,2013-01-24,1.75078722854
1061,2013-01-27,1.74280233543
1060,2013-01-28,1.73485385938
1059,2013-01-29,1.7269416343
1058,2013-01-30,1.71906549486
1057,2013-01-31,1.71122527647
1056,2013-02-03,1.74288083491
1055,2013-02-04,1.77512198216
1054,2013-02-05,1.80795955089
1053,2013-02-06,1.84140457418
1052,2013-02-07,1.87546828917
1051,2013-02-10,1.9101621409
1050,2013-02-11,1.94549778613
1049,2013-02-12,1.98148709724
1048,2013-02-13,2.01814216624
1047,2013-02-14,2.05547530885
1046,2013-02-17,2.09349906858
1045,2013-02-18,2.13222622099
1044,2013-02-19,2.171669778
1043,2013-02-20,2.21184299219
1042,2013-02-21,2.25275936133
1041,2013-02-25,2.29443263286
1040,2013-02-26,2.33687680855
1039,2013-02-27,2.38010614918
1038,2013-02-28,2.42413517933
1037,2013-03-03,2.46897869227
1036,2013-03-04,2.51465175493
1035,2013-03-05,2.56116971295
1034,2013-03-06,2.60854819585
1033,2013-03-07,2.6568031223
1032,2013-03-10,2.70595070541
1031,2013-03-11,2.75600745822
1030,2013-03-12,2.80699019927
1029,2013-03-13,2.85891605819
1028,2013-03-14,2.91180248149
1027,2013-03-17,2.96566723845
1026,2013-03-18,3.02052842701
1025,2013-03-19,3.07640447994
1024,2013-03-20,3.13331417099
1023,2013-03-21,3.19127662117
1022,2013-03-24,3.25031130524
1021,2013-03-27,3.3104380582
1020,2013-03-28,3.37167708198
