Historical Prices - TA-90
From 03/06/2012 To 03/06/2017, Frequency: Daily

Date,Index Base Price,Index Opening Price,Closing Index Value,High,Low,Overall Market Cap(NIS thousands) * 
01/06/2017,1071.79,1073.29,1062.62,1073.84,1062.62,
29/05/2017,1076.04,1075.84,1071.79,1078.11,1071.22,167175585
28/05/2017,1081.24,1085.07,1076.04,1085.19,1070.55,167834782
25/05/2017,1083.79,1082.77,1081.24,1085.67,1074.83,168701752
24/05/2017,1083.34,1082.93,1083.79,1085.70,1081.16,169096596
23/05/2017,1068.62,1072.29,1083.34,1083.34,1071.51,169063874
22/05/2017,1048.53,1051.97,1068.62,1069.78,1051.64,166921882
21/05/2017,1037.98,1045.18,1048.53,1059.06,1043.45,163873239
18/05/2017,1053.21,1048.83,1037.98,1050.40,1031.95,162263842
17/05/2017,1074.88,1075.75,1053.21,1075.86,1050.71,164671909
16/05/2017,1069.49,1070.04,1074.88,1075.63,1069.66,167891715
15/05/2017,1069.29,1070.65,1069.49,1072.00,1056.43,167064894
14/05/2017,1063.48,1064.60,1069.29,1070.31,1064.35,167323888
11/05/2017,1057.11,1058.05,1063.48,1063.48,1055.75,166567870
10/05/2017,1054.54,1054.70,1057.11,1057.16,1051.88,165917813
09/05/2017,1041.67,1044.94,1054.54,1054.54,1042.55,165773536
08/05/2017,1039.48,1042.45,1041.67,1042.52,1035.26,164163193
07/05/2017,1026.57,1027.48,1039.48,1039.48,1027.39,163671857
04/05/2017,1027.99,1026.23,1026.57,1030.39,1024.59,161621588
03/05/2017,1018.84,1021.30,1027.99,1027.99,1021.21,161489969
30/04/2017,1023.22,1024.18,1018.84,1024.52,1016.85,159715973
27/04/2017,1022.54,1033.31,1023.22,1033.31,1018.23,160360320
26/04/2017,1013.92,1017.23,1022.54,1022.86,1016.93,160159734
25/04/2017,1008.39,1008.79,1013.92,1013.92,1006.37,158940044
24/04/2017,999.99,1003.10,1008.39,1013.16,1003.10,157977284
23/04/2017,1007.40,1005.13,999.99,1006.25,997.00,156397932
20/04/2017,1005.01,1008.29,1007.40,1009.82,1000.48,157672297
19/04/2017,994.90,996.76,1005.01,1005.01,993.93,157357508
18/04/2017,994.99,996.39,994.90,1001.44,991.06,156005816
13/04/2017,1005.72,1008.16,994.99,1008.17,993.58,155949803
12/04/2017,1002.17,1005.76,1005.72,1006.92,1002.87,157634301
09/04/2017,1002.56,1003.94,1002.17,1003.94,997.28,157370655
06/04/2017,1000.43,999.86,1002.56,1002.56,996.73,157565405
05/04/2017,989.97,994.31,1000.43,1000.43,989.30,157071115
04/04/2017,982.07,982.69,989.97,989.97,981.87,155925949
03/04/2017,982.28,983.63,982.07,988.73,979.57,154824955
02/04/2017,974.81,974.56,982.28,983.76,974.07,154888330
30/03/2017,971.64,978.33,974.81,978.33,971.12,153667359
29/03/2017,976.38,976.38,971.64,982.78,970.96,153249834
28/03/2017,967.72,973.52,976.38,980.82,970.41,154054662
27/03/2017,985.82,983.09,967.72,983.78,966.71,152957324
26/03/2017,984.85,990.52,985.82,996.14,983.37,155475972
23/03/2017,978.17,978.91,984.85,985.72,978.88,155677001
22/03/2017,987.09,975.88,978.17,982.52,973.81,154794523
21/03/2017,984.03,986.19,987.09,993.25,984.96,156231253
20/03/2017,979.30,981.95,984.03,984.03,978.19,155702700
19/03/2017,981.42,984.07,979.30,984.85,976.74,155041135
16/03/2017,981.15,983.66,981.42,985.88,977.41,155763318
15/03/2017,986.70,987.38,981.15,987.59,978.78,155895371
14/03/2017,985.75,984.90,986.70,989.36,983.63,156814956
13/03/2017,980.32,981.15,985.75,985.75,981.15,156467847
09/03/2017,978.30,978.36,980.32,981.29,976.41,155571599
08/03/2017,971.32,971.94,978.30,978.30,971.48,155086167
07/03/2017,970.42,969.69,971.32,972.04,967.34,153988435
06/03/2017,981.84,981.98,970.42,981.98,967.40,153765459
05/03/2017,987.65,982.18,981.84,984.10,979.46,155407110
02/03/2017,970.57,971.91,987.65,987.65,970.94,156025160
01/03/2017,961.53,960.34,970.57,970.57,960.01,153403425
28/02/2017,964.92,963.91,961.53,965.92,960.26,151844090
27/02/2017,969.78,970.46,964.92,970.90,959.83,152138733
26/02/2017,971.92,972.48,969.78,972.48,967.09,152783751
23/02/2017,971.71,971.87,971.92,972.42,969.31,153424638
22/02/2017,969.66,971.61,971.71,972.59,965.16,153265503
21/02/2017,963.60,963.01,969.66,970.83,962.45,153020122
20/02/2017,959.87,961.18,963.60,963.83,960.01,151831020
19/02/2017,954.09,955.20,959.87,959.87,953.79,151241558
16/02/2017,946.62,947.39,954.09,954.09,947.16,150267731
15/02/2017,949.50,950.15,946.62,952.78,943.27,149122669
14/02/2017,944.89,945.74,949.50,949.50,945.73,149574160
13/02/2017,931.56,932.56,944.89,945.27,931.09,148679975
12/02/2017,926.32,931.60,931.56,933.55,926.55,146569357
09/02/2017,920.17,921.48,926.32,926.32,911.54,145863110
08/02/2017,922.82,922.24,920.17,925.45,920.17,162440443
07/02/2017,917.30,917.05,922.82,924.26,916.56,162686122
06/02/2017,916.16,916.32,917.30,918.78,912.53,161541577
05/02/2017,915.50,919.15,916.16,920.88,913.77,161367686
02/02/2017,925.52,923.60,915.50,925.46,913.63,161473375
01/02/2017,918.78,922.44,925.52,926.54,920.55,163088510
31/01/2017,911.84,909.42,918.78,918.83,909.42,161849488
30/01/2017,912.83,915.47,911.84,915.47,908.74,160548587
29/01/2017,913.22,914.37,912.83,914.96,908.85,160392895
26/01/2017,913.28,911.62,913.22,914.67,908.09,160284035
25/01/2017,902.12,906.53,913.28,913.36,903.66,160250894
24/01/2017,891.62,893.08,902.12,902.12,892.95,158522922
23/01/2017,896.15,892.09,891.62,894.23,886.81,156907701
22/01/2017,903.31,901.23,896.15,902.04,895.34,157706668
19/01/2017,909.71,908.13,903.31,910.87,902.26,158715105
18/01/2017,908.66,908.86,909.71,909.89,906.85,159819387
17/01/2017,907.29,905.23,908.66,910.91,903.34,159723104
16/01/2017,910.88,911.41,907.29,911.41,906.38,159274470
15/01/2017,910.52,911.97,910.88,915.79,908.35,159742183
12/01/2017,907.59,906.25,910.52,910.97,904.22,159642340
11/01/2017,912.94,915.06,907.59,915.06,903.90,159389785
10/01/2017,915.92,913.91,912.94,917.91,908.38,160738527
09/01/2017,916.21,917.58,915.92,919.13,912.58,161469299
08/01/2017,920.41,919.29,916.21,921.77,913.17,161791688
05/01/2017,916.31,918.20,920.41,921.67,915.91,162540959
04/01/2017,912.20,913.13,916.31,916.31,909.19,161888952
03/01/2017,905.31,907.31,912.20,912.45,905.94,161210663
02/01/2017,899.03,902.61,905.31,907.10,901.56,160139679
01/01/2017,899.09,896.23,899.03,901.12,896.23,159120933
29/12/2016,902.34,905.00,899.09,905.00,892.94,158918845
28/12/2016,896.78,896.44,902.34,906.36,894.29,159408562
27/12/2016,885.10,887.24,896.78,896.78,886.37,158246878
26/12/2016,887.03,887.13,885.10,888.17,883.38,156453014
25/12/2016,895.06,895.59,887.03,895.92,884.49,156797178
22/12/2016,898.42,898.39,895.06,899.38,892.07,157867065
21/12/2016,902.72,902.37,898.42,906.48,896.86,158450075
20/12/2016,895.12,899.40,902.72,903.38,896.91,159187793
19/12/2016,891.46,892.70,895.12,895.35,888.32,158084257
18/12/2016,891.33,892.14,891.46,895.85,889.39,157378282
15/12/2016,895.79,893.98,891.33,894.20,884.45,157480647
14/12/2016,903.48,901.82,895.79,904.04,894.37,158376324
13/12/2016,899.89,900.91,903.48,904.05,898.22,159768014
12/12/2016,907.96,907.19,899.89,908.76,899.07,159146011
11/12/2016,899.43,901.45,907.96,908.96,901.45,160037229
08/12/2016,894.91,897.66,899.43,900.13,892.49,158749709
07/12/2016,898.13,901.54,894.91,903.08,892.85,158090376
06/12/2016,892.87,891.24,898.13,901.73,891.24,158867957
05/12/2016,880.46,881.79,892.87,893.51,881.54,157824652
04/12/2016,883.24,883.32,880.46,883.32,878.45,155664278
01/12/2016,885.96,886.92,883.24,886.92,880.27,155937023
30/11/2016,882.47,883.29,885.96,886.48,882.61,156181193
29/11/2016,882.37,877.09,882.47,883.38,876.76,155673997
28/11/2016,883.56,885.24,882.37,886.94,879.30,155326263
27/11/2016,878.20,879.93,883.56,886.00,879.63,155536477
24/11/2016,880.17,879.76,878.20,882.88,877.28,154487910
23/11/2016,880.42,880.58,880.17,885.07,877.25,154891280
22/11/2016,878.26,878.62,880.42,883.09,878.62,154978806
21/11/2016,876.31,876.06,878.26,879.40,876.04,154544869
20/11/2016,868.53,873.29,876.31,878.19,872.31,154108400
17/11/2016,865.22,868.00,868.53,871.25,865.89,152882828
16/11/2016,853.85,857.42,865.22,865.53,856.91,152295769
15/11/2016,852.22,851.66,853.85,859.93,850.95,150395281
14/11/2016,849.33,850.41,852.22,853.19,845.97,150228478
13/11/2016,846.19,851.28,849.33,853.09,848.27,149949623
10/11/2016,841.20,847.64,846.19,852.28,843.36,149861023
09/11/2016,848.16,831.81,841.20,844.68,830.45,149661037
08/11/2016,849.92,851.80,848.16,852.21,846.89,150861278
07/11/2016,838.00,845.61,849.92,850.76,845.61,151384297
06/11/2016,837.16,834.19,838.00,841.25,832.91,149442980
03/11/2016,840.81,837.50,837.16,843.22,837.16,149307630
02/11/2016,848.63,844.66,840.81,845.01,835.71,149726138
01/11/2016,852.94,850.72,848.63,855.86,848.63,150997354
31/10/2016,854.56,858.89,852.94,859.04,851.44,151840585
30/10/2016,865.63,860.50,854.56,861.24,852.82,152039822
27/10/2016,865.58,861.82,865.63,866.79,861.58,153839824
26/10/2016,865.56,864.12,865.58,866.50,861.33,153841019
25/10/2016,859.12,861.76,865.56,866.23,857.83,153699267
20/10/2016,858.91,859.35,859.12,861.35,858.57,152742274
19/10/2016,860.23,859.27,858.91,862.02,854.74,152732006
18/10/2016,854.57,852.99,860.23,861.90,852.99,152999933
13/10/2016,872.26,862.80,854.57,864.08,853.12,152027353
10/10/2016,863.10,862.10,872.26,873.61,862.02,154812292
